"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Auscool (Rough In & Fit Off)"
,"Scope",,,"auscool"
,"Rows"
,,"Basement 4",,"basement 4"
,,"Basement 3",,"basement 3"
,,"Basement 2",,"basement 2"
,,"Basement 1",,"basement 1"
,,"Ground Floor",,"ground floor"
,,"Mezzanine",,"mezzanine"
,,"Upper Ground",,"upper ground"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 3 Mezzanine",,"level 3 mezzanine"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,,"Level 7",,"level 7"
,,"Tower 1",,"tower 1"
,,"Tower 2",,"tower 2"
,,"Tower 3",,"tower 3"
,"Columns"
,,"Rough In",,"rough in"
,,"Fit Off",,"fit off"

"Schiller (Rough In & Fit Off)"
,"Scope",,,"schiller"
,"Rows"
,,"Basement 4",,"basement 4"
,,"Basement 3",,"basement 3"
,,"Basement 2",,"basement 2"
,,"Basement 1",,"basement 1"
,,"Ground Floor",,"ground floor"
,,"Mezzanine",,"mezzanine"
,,"Upper Ground",,"upper ground"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 3 Mezzanine",,"level 3 mezzanine"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,,"Level 7",,"level 7"
,,"Tower 1",,"tower 1"
,,"Tower 2",,"tower 2"
,,"Tower 3",,"tower 3"
,"Columns"
,,"Rough In",,"rough in"
,,"Fit Off",,"fit off"

"SJS (Rough In)"
,"Scope",,,"sjs"
,"Rows"
,,"Ground Floor",,"ground floor"
,,"Mezzanine",,"mezzanine"
,,"Upper Ground",,"upper ground"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,,"Tower 1",,"tower 1"
,,"Tower 3",,"tower 3"
,"Columns"
,,"Rough In",,"rough in"

"Statewide (Rough In & Fit Off & Commissioning)"
,"Scope",,,"statewide"
,"Rows"
,,"Upper Ground",,"upper ground"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,,"Level 7",,"level 7"
,,"Tower 1",,"tower 1"
,,"Tower 2",,"tower 2"
,,"Tower 3",,"tower 3"
,"Columns"
,,"Rough In",,"rough in"
,,"Fit Off",,"fit off"
,,"Commissioning",,"commissioning"

"DMB (Rough In & Fit Off)"
,"Scope",,,"dmb"
,"Rows"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 4",,"level 4"
,,"Level 6",,"level 6"
,,"Level 7",,"level 7"
,,"Tower 1",,"tower 1"
,,"Tower 2",,"tower 2"
,,"Tower 3",,"tower 3"
,"Columns"
,,"Rough In",,"rough in"
,,"Fit Off",,"fit off"

