Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Apartments Commissioning (Ground - Level 4),,,,,,,,
,Scope,,,Site QA,Commissioning,Apartment (s),,
,Rows,,,,,,,
,,Ground - G-01,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-01
,,Ground - G-02,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-02
,,Ground - G-03,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-03
,,Ground - G-04,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-04
,,Ground - G-05,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-05
,,Ground - G-06,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-06
,,Ground - G-07,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-07
,,Ground - G-08,dynamic,Site QA,Commissioning,Apartment (s),Ground,G-08
,,Level 1 - L1-01,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-01
,,Level 1 - L1-02,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-02
,,Level 1 - L1-03,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-03
,,Level 1 - L1-04,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-04
,,Level 1 - L1-05,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-05
,,Level 1 - L1-06,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-06
,,Level 1 - L1-07,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-07
,,Level 1 - L1-08,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-08
,,Level 1 - L1-09,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-09
,,Level 1 - L1-10,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-10
,,Level 1 - L1-11,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-11
,,Level 1 - L1-12,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-12
,,Level 1 - L1-13,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-13
,,Level 1 - L1-14,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-14
,,Level 1 - L1-15,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-15
,,Level 1 - L1-16,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-16
,,Level 1 - L1-17,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-17
,,Level 1 - L1-18,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-18
,,Level 1 - L1-19,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-19
,,Level 1 - L1-20,dynamic,Site QA,Commissioning,Apartment (s),Level 1,L1-20
,,Level 2 - L2-01,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-01
,,Level 2 - L2-02,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-02
,,Level 2 - L2-02,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-02
,,Level 2 - L2-03,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-03
,,Level 2 - L2-04,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-04
,,Level 2 - L2-05,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-05
,,Level 2 - L2-06,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-06
,,Level 2 - L2-07,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-07
,,Level 2 - L2-08,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-08
,,Level 2 - L2-09,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-09
,,Level 2 - L2-10,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-10
,,Level 2 - L2-11,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-11
,,Level 2 - L2-12,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-12
,,Level 2 - L2-13,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-13
,,Level 2 - L2-14,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-14
,,Level 2 - L2-15,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-15
,,Level 2 - L2-16,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-16
,,Level 2 - L2-17,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-17
,,Level 2 - L2-18,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-18
,,Level 2 - L2-19,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-19
,,Level 2 - L2-20,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-20
,,Level 2 - L2-21,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-21
,,Level 2 - L2-22,dynamic,Site QA,Commissioning,Apartment (s),Level 2,L2-22
,,Level 3 - L3-01,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-01
,,Level 3 - L3-02,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-02
,,Level 3 - L3-03,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-03
,,Level 3 - L3-04,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-04
,,Level 3 - L3-05,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-05
,,Level 3 - L3-06,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-06
,,Level 3 - L3-07,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-07
,,Level 3 - L3-08,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-08
,,Level 3 - L3-09,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-09
,,Level 3 - L3-10,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-10
,,Level 3 - L3-11,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-11
,,Level 3 - L3-12,dynamic,Site QA,Commissioning,Apartment (s),Level 3,L3-12
