type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,Wall Cladding,,,,,,Wall Cladding Checklist (East Elevation - Roof Colorbond Wall Cladding),,,
section,Material Inspection,,,,,,,,,
checkpoint,Wall Cladding type: 0.42mm Panelrib / Minirib,,,,,,,,,
checkpoint,Top hat support: 0.75mm x 25mm Top Hat,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond Matt,,,,,,,,,
checkpoint,1mm Zincalume Packer,,,,,,,,,
checkpoint,Structural Plywood / FC under new capping,,,,,,,,,
checkpoint,Wall Sarking - Proctor Wrap HTR,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Is primary strucutre adequate to support cladding or secondary framing?,,,,,,,,,
checkpoint,Top hats installed at correct spacings to meet Manufacturers recommendations.,,,,,,,,,
checkpoint,Wall cladding fixed to sub frame as per Manufacturer's recommendations.,,,,,,,,,
checkpoint,Wall cladding flashed to make watertight.,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Flashing/Capping Installation,,,,,,Flashing/Capping Installation Checklist (East Elevation - Roof Colorbond Wall Cladding),,,
section,Material Inspection,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,
checkpoint,Capping Material 0.61mm Colorbond to match,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
,,,,,,,,,,
checklist,Askin Performance Panel Wall Cladding,,,,,,Askin Performance Panel Wall Cladding Checklist (East Elevation ASKIN Wall Cladding),,,
section,Material Inspection,,,,,,,,,
checkpoint,Askin Proprietary foot channel,,,,,,,,,
checkpoint,Wall Cladding type: 100mm Xflam Vivid,,,,,,,,,
checkpoint,Top hat support: 1.2mm x 25mm Top Hat,,,,,,,,,
checkpoint,Screws to suit,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond Matt,,,,,,,,,
checkpoint,Bracket screw,,,,,,,,,
checkpoint,Ledger Angle - 1.6mm to base of Panels,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Butyl Tap to Panel Top & Bottom,,,,,,,,,
checkpoint,Ledger Angle,,,,,,,,,
checkpoint,Caulking between laps,,,,,,,,,
checkpoint,Is primary strucutre adequate to support cladding or secondary framing?,,,,,,,,,
checkpoint,Top hats installed at correct spacings to meet Manufacturers recommendations.,,,,,,,,,
checkpoint,Wall cladding fixed to sub frame as per Manufacturer's recommendations.,,,,,,,,,
checkpoint,Wall cladding flashed to make watertight.,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Flashing/Capping Installation,,,,,,Flashing/Capping Installation Checklist (East Elevation ASKIN Wall Cladding),,,
section,Material Inspection,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,
checkpoint,Capping Material 0.61mm Colorbond to match,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
