resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,,step,,,First Fix - Walls,,,,,,,,
,,,,,,,,,,,step,,,,L-00,,,,,,,
,,,,,,,,,,,step,,,,,ZONE 01,,,,,,
,,,,,,,,,,,step,,,,,,00FHO005 Airlock - Entry,,,,,
,,,,,,,,,,,step,,,,,,00FHO006 Interview Room - Mana Whenua,,,,,
,,,,,,,,,,,step,,,,,,00FHO011 Reg Kiosk,,,,,
,,,,,,,,,,,step,,,,,,00FHO011 Reception - Greet,,,,,
,,,,,,,,,,,step,,,,,,00FHO012 Meeting 12,,,,,
,,,,,,,,,,,step,,,,,,00FHO013 BBEV,,,,,
,,,,,,,,,,,step,,,,,,00FHO014 Whanau Lounge,,,,,
,,,,,,,,,,,step,,,,,,00FHO015 Personal Care,,,,,
,,,,,,,,,,,step,,,,,,00FHO016 Toilet - Public,,,,,
,,,,,,,,,,,step,,,,,,00FHO017 Disposal,,,,,
,,,,,,,,,,,step,,,,,,00FHO018 Cleaner,,,,,
,,,,,,,,,,,step,,,,,,00FHO020 Parenting,,,,,
,,,,,,,,,,,step,,,,,,00FHO027 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00FHO031 Bay -HandWash Typ C,,,,,
,,,,,,,,,,,step,,,,,,00FHO049 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00PBO001 Toilet - Accessible Public,,,,,
,,,,,,,,,,,step,,,,,,00PBO002 Toilet - Public,,,,,
,,,,,,,,,,,step,,,,,,00PBO003 Toilet - Public,,,,,
,,,,,,,,,,,step,,,,,ZONE 02,,,,,,
,,,,,,,,,,,step,,,,,,00ENG086 Hyd Riser,,,,,
,,,,,,,,,,,step,,,,,,00FHO026 Courtyard,,,,,
,,,,,,,,,,,step,,,,,,00TRA033 Stairs Circ,,,,,
,,,,,,,,,,,step,,,,,ZONE 03,,,,,,
,,,,,,,,,,,step,,,,,,00CLA003 Reception/Clerical (Antenatal),,,,,
,,,,,,,,,,,step,,,,,,00CLA007 Waiting - Antenatal,,,,,
,,,,,,,,,,,step,,,,,,00CLA046 Store - Consumables,,,,,
,,,,,,,,,,,step,,,,,,00CLB001 BBEV,,,,,
,,,,,,,,,,,step,,,,,,00CLB038 Meeting 20m2,,,,,
,,,,,,,,,,,step,,,,,,00CLB039 Reception/Clerical,,,,,
,,,,,,,,,,,step,,,,,,00CLB040 Play Area,,,,,
,,,,,,,,,,,step,,,,,,00CLB041 Waiting 20m2,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - PC,First Fix - CLc,,,,,,,folder-with-checklists,,,,,,00CLB042 Ensuite - Special,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,First Fix - PI,,,,,,,folder-with-checklists,,,,,,00CLB043 Toilet - Public,,,,,
,,,,,,,,,,,step,,,,,,00CLB044 Store - Equipment,,,,,
First Fix - SA,First Fix - Ca,First Fix - CLc,,,,,,,,,folder-with-checklists,,,,,,00CLB045 Occpational Therapy Light - Paediatric,,,,,
,,,,,,,,,,,step,,,,,,00CLB046 Water Dispenser,,,,,
,,,,,,,,,,,step,,,,,,00CLB048 Reg Kiosk,,,,,
,,,,,,,,,,,step,,,,,,00CLB049 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00FHO002 Main Lobby,,,,,
,,,,,,,,,,,step,,,,,,00FHO007 Reception Clerical,,,,,
,,,,,,,,,,,step,,,,,,00FHO050 Reg Kiosk,,,,,
,,,,,,,,,,,step,,,,,,00RTO002 Retail,,,,,
,,,,,,,,,,,step,,,,,,00TRA055 Stairs Circ,,,,,
,,,,,,,,,,,step,,,,,,00FHO030 Corridor FOH,,,,,
,,,,,,,,,,,step,,,,,ZONE 04,,,,,,
,,,,,,,,,,,step,,,,,,00ENG086 Comms,,,,,
,,,,,,,,,,,step,,,,,,00FHO001 Airlock,,,,,
,,,,,,,,,,,step,,,,,,00FHO008 Volunteers Desk,,,,,
,,,,,,,,,,,step,,,,,,00FHO009 Bay - Mobile Equipment,,,,,
,,,,,,,,,,,step,,,,,,00FHO024 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00RTO001 Retail,,,,,
,,,,,,,,,,,step,,,,,,00TRA027 Lift 01,,,,,
,,,,,,,,,,,step,,,,,,00TRA021 Lift 02,,,,,
,,,,,,,,,,,step,,,,,ZONE 05,,,,,,
,,,,,,,,,,,step,,,,,,00CLA001 Meeting 12m2,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA010 Toilet - Accessible,,,,,
,,,,,,,,,,,step,,,,,,00CLA011 Waiting - General,,,,,
,,,,,,,,,,,step,,,,,,00CLA012 Bay -HandWash Typ B,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLA013 Consult,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLmc,,,,,,,,folder-with-checklists,,,,,,00CLA014 Toilet - Patient,,,,,
