"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"916f34a6-9c9f-462b-9438-9bae99efb516","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"edee3ad2-a36a-4029-9146-611fdc1d8000","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Waterproofing"
"b7aa37e7-e7eb-4c62-bb94-75aa47309f39","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor"
"1ef366d5-0e99-4e80-b31c-f0c625a48f6d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.01"
"5c3e57e7-5dbd-4682-8996-398c53ec84a2","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.01","Laundry"
"16de9047-ac98-4c97-b961-c9f746c6b8f4","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.01","Bathroom 1"
"94169af3-9430-4c66-a3eb-826f4dd06a2c","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.01","Bathroom 2"
"08523a16-e881-4cb6-83ff-bcd7d6301640","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.02"
"3a38a8f3-f635-4ca4-8b5e-69dd0dee7f9a","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.02","Laundry"
"b264a8bd-648c-4f12-a28f-6b76ee10a5a6","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.02","Bathroom 1"
"18d50823-0e50-4195-835c-61a02dc7fe92","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.02","Bathroom 2"
"b96dfc56-302e-40bb-a8ab-5c1286db2651","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.03"
"8e40d131-944c-4b2a-b3a9-9c64d1f5e3ed","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.03","Laundry"
"fdb2a9a2-570f-4edf-8d32-aae0a836ca0f","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.03","Bathroom 1"
"89c8d398-c79a-484b-a9e2-4b5cf4c0213d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.03","Bathroom 2"
"ed28efe7-c772-434f-acad-ba25dc850c04","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.04"
"a23462a9-ca60-47f5-959c-fed7fa4ad86a","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.04","Laundry"
"a43b1fe0-68b1-4911-b9e0-42b0f6a6e908","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.04","Bathroom"
"d4ab50e2-f8c1-4a1a-aa96-d51f3ec2bd5c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.05"
"6789c547-636e-43fd-a0ec-0ece5c981b9a","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.05","Laundry"
"3ab1cab4-470f-4360-a7d6-0fb781c7d2d8","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.05","Bathroom 1"
"efb99b64-7ee6-4a5e-a313-1b5afc6d0c26","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.05","Bathroom 2"
"a5d8bc56-de03-48e7-8413-f9a3663394c7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.06"
