resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,
,step,,,Site QA,,,,,,,,,,,,,,,,
,step,,,,Waterproofing,,,,,,,,,,,,,,,
,step,,,,,Ground Floor,,,,,,,,,,,,,,
,step,,,,,,G.01,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,G.02,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,G.03,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,G.04,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,G.05,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,G.06,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,G.07,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,G.08,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,G.09,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,G.10,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,,,,,
,step,,,,,,1.01,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,1.02,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,1.03,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,1.04,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,1.05,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,1.06,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,1.07,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,1.08,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,1.09,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,1.1,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,Level 2,,,,,,,,,,,,,,
,step,,,,,,2.01,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,2.02,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,2.03,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,2.04,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,2.05,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,2.06,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,2.07,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,2.08,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,2.09,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,2.1,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,Level 3,,,,,,,,,,,,,,
,step,,,,,,3.01,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,3.02,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,3.03,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,3.04,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,3.05,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,3.06,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,3.07,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,3.08,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,3.09,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,3.1,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,Level 4,,,,,,,,,,,,,,
,step,,,,,,4.01,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.02,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.03,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.04,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,4.05,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.06,,,,,,,,,,,,,
