"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba78e144-d059-4007-8332-aa13086d151f","","","","folder","TRUE","FALSE","QA / ITP's"
"4d0f75f5-41ca-4534-9ee4-26deea8c1d5d","","","","folder","TRUE","FALSE","QA / ITP's","North Roof"
"a363a50f-35bf-42b9-b45c-f3b3e8537d67","","","07246ce2ba2afc68d90d40f9798e47c00d4e646d204a952329a311c47885c660","checklist","FALSE","FALSE","QA / ITP's","North Roof","Insulation"
"f6f15a8c-ad5e-4a1f-8d5e-7c7716e0d331","","","1892b0cac5dbf59ec888947a750b92cf9c4e849efaa637bfefd2e2c41eb5c374","checklist","FALSE","FALSE","QA / ITP's","North Roof","Roof Installation"
"9b2efc1e-4c11-43f8-82ce-f1d24fd5182d","","","5ad2ea3ec721729924ef316f135235486bfb859cceca6e7dd72e784bdbd0a145","checklist","FALSE","FALSE","QA / ITP's","North Roof","Box Gutter Installation"
"f7984176-ddca-44bc-8923-b90bdcd8a433","","","a9e6603c20db0625f0c19a22d4581f5fe6d0c9c82040197936a023668bd30bb8","checklist","FALSE","FALSE","QA / ITP's","North Roof","Flashing / Capping Installation"
"986f34b4-6ef5-4fb7-becc-964e5984c2ca","","","","folder","TRUE","FALSE","QA / ITP's","North Lower Roof"
"4a7366fa-2a6c-400d-a522-85f2665dc887","","","bc5efd252d0221fb453477601bcd87f36ed3b1e2320a1ee9acf69c246459ec86","checklist","FALSE","FALSE","QA / ITP's","North Lower Roof","Insulation"
"e72b6d43-98f3-41d1-81f8-e8f556e929f0","","","a1011ffa94de826a03067aa04ec492a9b5bdb73b86efe1882170b7a6be672a69","checklist","FALSE","FALSE","QA / ITP's","North Lower Roof","Roof Installation"
"f3f45574-3373-4b49-ae4b-d9e9e3dd52a8","","","af374689da8c4cc099c6fa7f5cd2a67ab4b3d39b615291a670538b4eb37db029","checklist","FALSE","FALSE","QA / ITP's","North Lower Roof","Box Gutter Installation"
"e7f9ab90-63ad-4b4a-9a59-942836213e9e","","","b4d74dd3761568a6f23f08916f22426253ddc29e72104834939004e098a391ca","checklist","FALSE","FALSE","QA / ITP's","North Lower Roof","Flashing / Capping Installation"
"d2f70ee3-4a38-4917-b233-3e45ed13f1fe","","","1cbe403113885e660e021cd3b0d3ecd416aa49193fcb09b9ef62a00dfb172ac4","checklist","FALSE","FALSE","QA / ITP's","North Lower Roof","Roof Penetration"
"c4d1a426-02c6-40ff-ba3f-1e8e50712370","","","","folder","TRUE","FALSE","QA / ITP's","South Roof"
"a22f65a0-4dc4-4483-9e93-0260104254ef","","","2d0269238fd4e4ff9a1612b45c04429557257a9efb5ed32bbf1ba50114d77616","checklist","FALSE","FALSE","QA / ITP's","South Roof","Insulation"
"870d58e1-9c4f-442b-91bf-3098be7bf6c3","","","200de2bf0c1dcd499a7630a27884f3b88ae578bd01859d6008fc96416fa4dad4","checklist","FALSE","FALSE","QA / ITP's","South Roof","Roof Installation"
"409a2ce5-8262-466d-8017-59c8aa46bc49","","","40e62d66b7937d7e03e9d9e9723689d8adade01ab80c693d6e463589db977413","checklist","FALSE","FALSE","QA / ITP's","South Roof","Roof Penetration"
"03f34def-ec00-412b-a8fd-c6d5364ecc07","","","","folder","TRUE","FALSE","QA / ITP's","Lower Central Roof"
"dcba33e1-22ea-470f-bd8b-eaf0779f5495","","","5c6c0eedd983134b741b17d8171b2310be72425126d0ed1b186941c40c565fe6","checklist","FALSE","FALSE","QA / ITP's","Lower Central Roof","Roof Installation"
"b7721dba-916d-44de-aaa8-442d4da42457","","","c7db956e9e9fa59e21404d2b673fcfc04b7fee5d76f7807dc0c7ee95df729015","checklist","FALSE","FALSE","QA / ITP's","Lower Central Roof","Roof Penetration"
"139a0edd-5525-461b-a019-2e1699341e8b","","","","folder","TRUE","FALSE","QA / ITP's","South Tower Roof"
"6950a763-a666-4b7c-b780-474fe9116615","","","ff6c0090a5fab7a39e1a101caf76a6da67b75c2b02c72890dc7750acc3a7f7b7","checklist","FALSE","FALSE","QA / ITP's","South Tower Roof","Insulation"
"7be1e781-2aff-4306-bd72-30217735d1d1","","","b951c0c3ce0d1d91492cda5b9f6b6eed62651bc9f3ea5501c4590f57622ae7ae","checklist","FALSE","FALSE","QA / ITP's","South Tower Roof","Roof Installation"
"8eb4ab6e-8208-414d-8a76-f092517d01dc","","","4345343e6367171587d832f57a613b5f22620033d303caac09277477245b6719","checklist","FALSE","FALSE","QA / ITP's","South Tower Roof","Box Gutter Installation"
"84a07c2b-ef60-4e0a-9ddf-c8f14c5d6608","","","a2b708fa0c36f671bb0411382ead822bba7212ba394c7f7d39d9269995ae77d5","checklist","FALSE","FALSE","QA / ITP's","South Tower Roof","Flashing / Capping Installation"
"7ed684a8-2ea1-4559-ab78-d797d3cac99f","","","e16b818bca2b85378563529b7e57c9ed5766877be3deabee5c33d381fb96f49e","checklist","FALSE","FALSE","QA / ITP's","South Tower Roof","Roof Penetration"
"5ce26ba0-25ae-4610-ab32-c77763ca314e","","","","folder","TRUE","FALSE","QA / ITP's","Central Roof Under Plant Deck"
