resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4
,folder-normal,TRUE,,Project Details/ Precontract commencement,,,
,folder-normal,TRUE,,Prestart Site Visit Report,,,
,folder-normal,TRUE,,Prestart Site Visit Report,Dec 22,,
,folder-normal,TRUE,,Prestart Site Visit Report,Jan 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Feb 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Mar 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Apr 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,May 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Jun 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,July 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Aug 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Sep 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Oct 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Nov 23,,
,folder-normal,TRUE,,Prestart Site Visit Report,Dec 23,,
,folder-normal,TRUE,,Net Installation Checks,,,
,folder-normal,TRUE,,Health & Safety,,,
,folder-normal,TRUE,,Health & Safety,SSSP,,
,folder-normal,TRUE,,Health & Safety,Weekly Tool Box Talk,,
,folder-normal,TRUE,,Health & Safety,Weekly H&S Inspection,,
,folder-normal,TRUE,,QA,,,
