resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,step,,,Site QA,,,,,,,,
Document Attachment,,,,,,checklist,,,,Structural Drawings,,,,,,,
Document Attachment,,,,,,checklist,,,,Survey As Builts,,,,,,,
Document Attachment,,,,,,checklist,,,,Pour Plans,,,,,,,
Document Attachment,,,,,,checklist,,,,Progress Photos,,,,,,,
,,,,,,step,,,,Ground,,,,,,,
BKH IR 002 - Formwork Element Handover,BKH IR 003 - Finished Element Handover,BKH-IR 001 Formwork Pre Pour Inspection Checklist,BKH-IR 005-Concrete & Reinforcement Checklist,BKH - C692 - Formwork Stripping Checklist,3rd Party Sign Off,folder-with-checklists,,,,,Footings,,,,,,
BKH IR 002 - Formwork Element Handover,BKH IR 003 - Finished Element Handover,BKH-IR 001 Formwork Pre Pour Inspection Checklist,BKH-IR 005-Concrete & Reinforcement Checklist,BKH - C692 - Formwork Stripping Checklist,3rd Party Sign Off,folder-with-checklists,,,,,Pile Caps,,,,,,
BKH IR 002 - Formwork Element Handover,BKH IR 003 - Finished Element Handover,BKH-IR 001 Formwork Pre Pour Inspection Checklist,BKH-IR 005-Concrete & Reinforcement Checklist,BKH - C692 - Formwork Stripping Checklist,3rd Party Sign Off,folder-with-checklists,,,,,Slabs,,,,,,
BKH IR 002 - Formwork Element Handover,BKH IR 003 - Finished Element Handover,BKH-IR 001 Formwork Pre Pour Inspection Checklist,BKH-IR 005-Concrete & Reinforcement Checklist,BKH - C692 - Formwork Stripping Checklist,3rd Party Sign Off,folder-with-checklists,,,,,Retaining Walls,,,,,,
BKH IR 002 - Formwork Element Handover,BKH IR 003 - Finished Element Handover,BKH-IR 001 Formwork Pre Pour Inspection Checklist,BKH-IR 005-Concrete & Reinforcement Checklist,BKH - C692 - Formwork Stripping Checklist,3rd Party Sign Off,folder-with-checklists,,,,,Capping Beams,,,,,,
