"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-001 - Stripping Topsoil Clearing & Grubbing",,,,,,,,,,,,,,,,,,,
"ITP-001-A1-LOT-001 - 11 Trees - Median Ch 24640 to Ch 25040 ",,,,"pass","",,,,,,,,,"Khulood Hwayyis ","20/10/2021",,,,
"ITP-001-A1-LOT-002 - Memorial park & Hume Hwy Center Median ","18/10/2021","25/10/2021","26/10/2021","26/10/2021",," EAL- Earthworks Lot","Zone 1  - Memorial Park and Hume Hwy Tree Removal","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," ME - Median","Qassim Al-Montafjy","","Omar El-Khub","09/11/2021","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","09/11/2021"
"ITP-001-A1-LOT-003 - 9 Trees - Zone 3 - Westbound Ch 15000 to Ch 14700","11/01/2022","11/01/2022","12/01/2022","14/01/2022",," EAL- Earthworks Lot","15000 - 14700","","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","James Moran","9 x trees - Zone 3","James Moran","27/01/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","27/01/2022"
"ITP-001-A1-LOT-004 - 64 Trees - Zone 4 - Westbound Ch 14400 to Ch 13880","13/01/2022","14/01/2022","14/01/2022","21/02/2022",,"","14500 - 13900","","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","James Moran","64 Trees - Zone 4 (Golf course)","James Moran","27/01/2022","","","","27/01/2022"
"ITP-001-A1-LOT-005 - 1 Tree - Zone 1 - Hume Hwy South Center Median - Ch70139 - Ch70272","25/01/2022","25/01/2022","11/02/2022","12/02/2022",,"CIL-Civil Lot","CH70139 to CH70272","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," ME - Median","Qassim Al-Montafjy"," 1 Tree - Zone 1 - at Hume south Island and is removed due to the drainage design change.","Qassim Al-Montafjy","11/02/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","30/03/2022"
"ITP-001-A1-LOT-006 - 4Trees - Zone 4 - Golf Course - CH13800 - CH13600","9/02/2022","10/02/2022","11/02/2022","11/02/2022",," EAL- Earthworks Lot","CH13800 to CH13600","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001","","Khulood Hwayyis","4 trees to be removed","Khulood Hwayyis","11/02/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","09/03/2022"
"ITP-001-A1-LOT-007 - 2 Trees - Zone 1 -  Craigieburn  - Hardy Ave - Ch16085 - Ch16110","10/02/2022","10/02/2022","11/02/2022","11/02/2022",,"CIL-Civil Lot","Ch16085 to ch16110","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","Qassim Al-Montafjy","2 Trees removed at Zone 1 Hardy Ave.","Qassim Al-Montafjy","11/02/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","30/03/2022"
"ITP-001-A1-LOT-008 - 3 Trees - Zone 2 -  Craigieburn Road- West Bound - Ch16060 - Ch16080","10/02/2022","10/02/2022","11/02/2022","11/02/2022",,"CIL-Civil Lot","Ch16060 to Ch16080","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","Qassim Al-Montafjy","Only 2 trees removed out of 3 as the 3rd is not exist.","Qassim Al-Montafjy","11/02/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","30/03/2022"
"ITP-001-A1-LOT-010 - Topsoil Strip - Zone 4 - Westbound Ch13600 - Ch14400","16/02/2022","17/02/2022","18/02/2022","1/03/2022",," EAL- Earthworks Lot","Ch13600 to Ch14400","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","150mm topsoil strip ","Khulood Hwayyis","1/03/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","09/03/2022"
