"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c5b6f643-db07-468a-a1d2-e681093fb06d","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor"
"9c5bd1a9-f96c-46a7-96b6-7b1de3cb8585","","checklist-flat","not-started","Pool Area - POOL","checklist-flat","FALSE","FALSE","Ground Floor","Swimming Pool"
"0b5f0b37-c7d9-4fb4-ac97-00970e7d0da6","","checklist-flat","not-started","Entry Podium Area - PODIUM - 1","checklist-flat","FALSE","FALSE","Ground Floor","Entry Podium"
"aad04428-bda2-41c8-9553-b7ed77cf61f7","","checklist-flat","not-started","Exit Podium Area - PODIUM - 2","checklist-flat","FALSE","FALSE","Ground Floor","Exit Podium"
"61e37e64-212c-48c8-8563-8190a0f36eea","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Ground Floor","G1"
"5750004d-53ed-4e88-87a8-0853f0c5ecfc","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Ground Floor","G2"
"20f5f4d5-f080-42b0-9a06-d9452b40e645","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Ground Floor","G3"
"d9ecdc6d-63bc-4507-8fa5-ecd54f0ab14f","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Ground Floor","G4"
"3ba36343-f8b1-43de-9e81-7fd63b0d4715","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","G5"
"fa3163d6-3078-410e-b83e-0baf1a314430","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Ground Floor","G5","Bathroom"
"123774ce-d25e-446b-8a3c-84cd7a262e7d","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Ground Floor","G5","Kitchen Floor"
"e172d35f-4254-4d34-8b38-7b98d7ff2982","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Ground Floor","G7"
"22c3da7e-e17a-420f-a29a-f08fe5ca5cf4","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Ground Floor","G9"
"eb5cb055-7c6f-4422-b995-a41321c82366","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 1"
"52a6e3c7-9698-44f6-9849-c48c2fbce95a","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 1","101"
"ab398a30-febe-415d-b30a-d2813e905029","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 1","103"
"b9f67764-c341-4a6f-aca2-62a8fdb06314","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 1","104"
"562d9447-de50-4204-8a1d-944903d1d3cb","","folder-normal","not-started","","step","TRUE","FALSE","Level 1","111"
"b675c3cd-3765-4e48-a64e-d374ecb009fb","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 1","111","Bathroom"
"8166270d-b14a-4f61-99a3-11ab4387afa2","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 1","111","En-suite"
