type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist-flat,QA_TEM_005_Underground Conduit Installation,,,,,,,,
checkpoint,"The correct type, configuration, size, quantity split and fill out",,,,,,,,
checkpoint,Correct depth & following the correct route,,,,,,,,
checkpoint,Correctly joined,,,,,,,,
checkpoint,Layer of clean fill,,,,,,,,
checkpoint,Seal pit around conduits,,,,,,,,
checkpoint,As Built' drawings completed,,,,,,,,
checkpoint,Cleaned rodded and roped,,,,,,,,
,,,,,,,,,
checklist-flat,QA_TEM_007_Cast in Conduit Installation,,,,,,,,
checkpoint,"Correct type, size and quantity",,,,,,,,
checkpoint,Following the correct route,,,,,,,,
checkpoint,Cjoined,,,,,,,,
checkpoint,Tied in,,,,,,,,
checkpoint,Correct concrete cover,,,,,,,,
,,,,,,,,,
checklist,QA_TEM_020(QR)_Lighting & CCTV Poles,,,,,,,,
section,In Ground Bases (Before concrete pour),,,,,,,,
checkpoint,Check that the excavation :,,,,,,,,
tickbox,Is in the correct location,,,,,,,,
tickbox,"Has the correct length, breadth, depth",,,,,,,,
checkpoint,"Check that the re-inforcing materials are the correct type, size & quantity",,,,,,,,
checkpoint,Check that the rag-bolt assembly is correct type and properly positioned/orientation,,,,,,,,
section,Lighting Poles,,,,,,,,
checkpoint,Check that the lighting pole is :,,,,,,,,
tickbox,In the correct location/orientation height,,,,,,,,
tickbox,"The correct type, size and colour",,,,,,,,
tickbox,Secured/sealed correctly,,,,,,,,
checkpoint,Check that the luminaire is :,,,,,,,,
tickbox,The correct type and size,,,,,,,,
tickbox,Secured properly,,,,,,,,
tickbox,Focussed as required,,,,,,,,
tickbox,Confirm that the assembly has been installed in a workmanlike manner,,,,,,,,
tickbox,Additional accessories installed correctly,,,,,,,,
section,CCTV Poles,,,,,,,,
checkpoint,Confirm the pole has sufficient cabling pathway for Comms wiring,,,,,,,,
checkpoint,Confirm draw wires have been installed,,,,,,,,
,,,,,,,,,
checklist,QA_TEM_078_Cable Installation Checksheet,,,,,,,,
section,Rough In,,,,,,,,
checkpoint,Circuit Info,,,,,,,,
text,Circuit No.,,,,,,,,
text,Cable Size / Type,,,,,,,,
text,No. of Points,,,,,,,,
checkpoint,Feeds,,,,,,,,
checkpoint,Loops,,,,,,,,
checkpoint,Visual Check / Cables Marked,,,,,,,,
section,Fit Off,,,,,,,,
checkpoint,Field,,,,,,,,
checkpoint,Switchboard,,,,,,,,
section,Testing (QA_FRM_005_Final Installation Test Sheet and relevant ITC's Completed and Signed),,,,,,,,
checkpoint,Dead Testing,,,,,,,,
checkpoint,Live Testing,,,,,,,,
checkpoint,"Layout Dwg
Checked / Marked-Up",,,,,,,,
checkpoint,"SLD & Switchboard
Schedule Checked / Marked-Up",,,,,,,,
checkpoint,"Labelling
QA Complete",,,,,,,,
checkpoint,"Comments and
Punch List Items",,,,,,,,
,,,,,,,,,
checklist-flat,QA_TEM_079_Equipotential Bonding,,,,,,,,
checkpoint,"Earthing installation as per Electrical Earthing Layout 
* attach drawing highlighting inspected installation.",,,,,,,,
checkpoint,"Earthing networks segregated i.e., Clean Earth segregated from protective earth, intrinsically safe earth segregated from protective earth etc. 
(where applicable).",,,,,,,,
checkpoint,All conductors are suitably protected against mechanical damage.,,,,,,,,
checkpoint,Conductive water piping has been bonded to the earthing system (AS/NZS 3000 5.6.2.2) - include photographic evidence.,,,,,,,,
checkpoint,Conductive reinforcing within a concrete floor or wall of a room containing a shower or bath has been bonded to the earthing system (AS/NZS 3000 5.6.2.5) - include photographic evidence.,,,,,,,,
checkpoint,"Swimming Pools and Spas
Equipotential bonding conductor connected to the conductive pool structure, electrical equipment, conductive fixtures and fittings, and earthing conductors associated with each circuit supplying the pool or spa (AS/NZS 3000 5.6.2.6) - include photographic evidence.",,,,,,,,
checkpoint,"If the telephone and telecommunication earthing system is directly connected to the electrical installation earthing system, the requirements of AS/NZS 3000 5.6.2.7 have been met and the Communications Earth Terminal (CET) is labeled ""COMMUNICATIONS EARTH TERMINAL"".",,,,,,,,
checkpoint,"Continuity of the earthing system meets the requirements of AS/NZS 3000 8.3.5.
Resistance of the main earthing conductor or any equipotential bonding conductor is not more than 0.5 Ω. 
* attach drawing identifying Test Points & record results below. (use additional table if more points required)",,,,,,,,
checkpoint,Equipotential bonding requirements as listed in AS/NZS 3000 5.6.2.1 have been completed.,,,,,,,,
checkpoint,No.1,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.2,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.3,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.4,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.5,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.6,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.7,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.8,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.9,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.10,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.11,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.12,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.13,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.14,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.15,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.16,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.17,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.18,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.19,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.20,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.21,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.22,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.23,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.24,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.25,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.26,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.27,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.28,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.29,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.30,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.31,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.32,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.33,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.34,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.35,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
checkpoint,No.36,,,,,,,,
text,Test Point (No.) From,,,,,,,,
text,Test Point (No.) To,,,,,,,,
text,Ohms,,,,,,,,
,,,,,,,,,
checklist-flat,QA_TEM_081_Cable Pit Installation,,,,,,,,
checkpoint,"Confirm the completion of QA-TEM_004_Trench and Backfill (all tasks prior to backfilling) has not raised any non-conformances.
Photograph trench showing correct depth.",,,,,,,,
signoff,Hold Point - Prior to installation of pits,,,,,,,,
checkpoint,Confirm drainage requirements of pits,,,,,,,,
checkpoint,Check that the pit is :,,,,,,,,
tickbox,"The correct type, configuration, size, quantity of access holes",,,,,,,,
tickbox,Correct depth & following the correct route,,,,,,,,
tickbox,Correctly joined with conduits,,,,,,,,
checkpoint,"Photograph trench detail showing correct installation method.
Photograph trench showing 150mm Sand covering all conduits and installation of detectable marking tape.",,,,,,,,
signoff,Hold Point,,,,,,,,
checkpoint,Seal pit around conduits,,,,,,,,
checkpoint,As Built drawings completed,,,,,,,,
checkpoint,"Conduits are cleaned, rodded and roped",,,,,,,,
