Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Rough In (BUILDING-A),,,,,,,
,Scope,,,Rough In,BUILDING-A,,
,Rows,,,,,,
,,Level-2 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-2,Apartment Wall Closure
,,Level-2 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-2,Apartment Ceiling Closure
,,Level-3 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-3,Apartment Wall Closure
,,Level-3 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-3,Apartment Ceiling Closure
,,Level-4 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-4,Apartment Wall Closure
,,Level-4 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-4,Apartment Ceiling Closure
,,Level-5 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-5,Apartment Wall Closure
,,Level-5 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-5,Apartment Ceiling Closure
,,Level-6 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-6,Apartment Wall Closure
,,Level-6 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-6,Apartment Ceiling Closure
,,Level-7 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-7,Apartment Wall Closure
,,Level-7 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-7,Apartment Ceiling Closure
,,Level-8 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-8,Apartment Wall Closure
,,Level-8 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-8,Apartment Ceiling Closure
,,Level-9 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-9,Apartment Wall Closure
,,Level-9 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-9,Apartment Ceiling Closure
,,Level-10 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-10,Apartment Wall Closure
,,Level-10 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-10,Apartment Ceiling Closure
,,Level-11 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-11,Apartment Wall Closure
,,Level-11 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-11,Apartment Ceiling Closure
,,Level-12 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-12,Apartment Wall Closure
,,Level-12 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-12,Apartment Ceiling Closure
,,Level-13 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-13,Apartment Wall Closure
,,Level-13 (Apartment Ceiling Closure),dynamic,Rough In,BUILDING-A,Level-13,Apartment Ceiling Closure
,,Level-14 (Apartment Wall Closure),dynamic,Rough In,BUILDING-A,Level-14,Apartment Wall Closure
