Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Fitout - Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,B5,,b5,,
,,B4,,b4,,
,,B3,,b3,,
,,B2,,b2,,
,,B1,,b1,,
,,G,,g,,
,,L1,,l1,,
,,L2,,l2,,
,,L3,,l3,,
,,L4,,l4,,
,,L5,,l5,,
,,L6,,l6,,
,,L7,,l7,,
,,L8,,l8,,
,,L9,,l9,,
,,L10,,l10,,
,,L11,,l11,,
,,L12,,l12,,
,,L13,,l13,,
,,L14,,l14,,
,,L15,,l15,,
,,L16,,l16,,
,,L17,,l17,,
,,L18,,l18,,
,,L19,,l19,,
,,L20,,l20,,
,,L21,,l21,,
,,L22,,l22,,
,,L23,,l23,,
,,L24,,l24,,
,,L25,,l25,,
,,L26,,l26,,
,,L27,,l27,,
,,L28,,l28,,
,,L29,,l29,,
,Columns,,,,,
,,Wake Concepts,,wake concepts - afs tower 1,wake concepts site qa,
,,Wake Carpentry,,wake concepts - afs tower 1,wake carpentry site qa,
,,Saba Bros - Waterproofing,,saba bros - afs tower 1,waterproofing,
,,Saba Bros - Tiling,,saba bros - afs tower 1,tiling,
,,JRCW - Waterproofing,,jrcw - afs tower 1,,
,,Master Floors Group,,Master Floors Group - AFS Tower 1,Fitout,Site QA
