Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,Underslab Services,
,Rows,,,,
,,Underslab Services,grouping,Underslab Services,
,,Zone  2 & 3,,Zone  2 & 3,Underslab Services
,,Zone  4 & 5,,Zone  4 & 5,Underslab Services
,,Zone  6,,Zone  6,Underslab Services
,,Zone  6,,Zone  6,Underslab Services
,Columns,,,,
,,Pipe materials as specified,,Pipe materials as specified,
,,Current drawing rev confirmed,,Current drawing rev confirmed,
,,Changes Asbuilted,,Changes Asbuilted,
,,Is pipe sitting on Bedding ,,Is pipe sitting on Bedding ,
,,Is pipe installed at required grade,,Is pipe installed at required grade,
,,Has Pipe been Photograhed for QA,,Has Pipe been Photograhed for QA,
,,Pipework tested,,Pipework tested,
