"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aae178f8-38bf-4490-be35-92ca58c4a6d3","","checklist-flat","","Job Details","checklist-flat","FALSE","FALSE","Job Details"
"946c2e7b-24ad-4a12-a273-51e5ba65e33f","","folder-normal","","","step","TRUE","FALSE","Site QA"
"84a4baad-1c99-475b-9cf7-8fecd8afa962","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In"
"3d20c78a-f3d4-4f06-a791-bd335d36426e","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 3"
"fcb72ff8-e201-46af-afd6-a26b01fff090","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 3","JET-B3.01"
"9365532a-a43c-47ae-8cc9-05805f255cf2","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 3","JET-B3.01","Jet Fans [L]"
"f6f77426-d588-46de-9285-79416425ff19","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 3","JET-B3.01","Sign Off"
"29a286bc-c78f-45f1-bf6f-2c9ba587caaa","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 3","JET-B3.02"
"5da0b73c-7867-4d6d-bc99-d414d6c93c81","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 3","JET-B3.02","Jet Fans [L]"
"d5ee9fdf-e917-4f43-96a0-a98cfabad182","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 3","JET-B3.02","Sign Off"
"4d25c9a5-7199-42e2-9424-cb6c3e68e16f","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 3","Stair press. Ductwork"
"c1fa6245-44f6-4538-8e2f-7483aecf4c55","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 3","Stair press. Ductwork","Duct Installation Check List [C]"
"dd7bd821-c534-417f-a8cd-5dc1a2448832","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 3","Stair press. Ductwork","Sign Off"
"ece03df4-dd5c-4543-a0ce-1d6982112474","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2"
"38be0960-6624-4496-82ba-2503379e4c55","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.01"
"f2ae995c-64dc-4728-98fb-09c3a6225c02","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.01","Jet Fans [L]"
"86bbd457-aa49-40d3-8f6e-b911e64d058f","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.01","Sign Off"
"6a0c6d15-a8d7-4ae1-8532-5c738f1be717","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.02"
"fb8badf5-e734-4e25-a294-f1ff0a0ac45e","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.02","Jet Fans [L]"
"4a170f28-0dcf-4068-a439-c65dd17a1956","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.02","Sign Off"
"2ec3600d-7e0a-4cc5-a4db-3efe4a9610ba","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.03"
"90e748b8-9b70-4a1d-b4c8-3642a67ca134","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.03","Jet Fans [L]"
"a0773bfb-337a-4145-ac06-946142ba430e","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.03","Sign Off"
"b7e4cf2b-5eb0-4bc9-98e9-434e3a8e1fe6","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.04"
"824145fc-14bd-434f-b6eb-52b6e1dd3b20","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.04","Jet Fans [L]"
"23443c83-0748-4800-8647-42887b6acc76","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.04","Sign Off"
"2901e96b-11e4-4671-8c94-55612f3a283d","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.05"
"b7c21e74-734a-49f8-954c-10c3a17ee96f","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.05","Jet Fans [L]"
"6be4e6a9-e668-438e-8c93-ec29466f0447","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.05","Sign Off"
"cedb3f0a-3c12-49a1-85fb-9061c20558f9","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.06"
"b811a243-4377-4b86-9e50-9c187432a39a","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.06","Jet Fans [L]"
"c0ca14b2-ff8a-4601-b8c4-b83335882f71","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","JET-B2.06","Sign Off"
"d530bfdc-18cb-4da1-be90-ed1d179aa213","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.04"
"cf82b753-7997-43a0-b44b-08d106df4f19","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.04","Duct Installation Check List [C]"
"41b21d8c-a8d5-40ff-adb6-eef23b79bb9f","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.04","Sign Off"
"bc658c81-2aee-4bf8-a0a0-f26807655b6c","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.05"
"db0b7f63-6af2-4e1a-8cc6-7c281bc58a80","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.05","Duct Installation Check List [C]"
"6489aa89-0582-47be-b1f8-6e1476ef301b","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.05","Sign Off"
"8c1015d1-8f1d-4c6d-815b-be2f602674f1","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B3.02"
"ee1cb295-b741-4c7b-9afb-ebb7f22e652c","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B3.02","Duct Installation Check List [C]"
"fd07bfab-f8b7-4098-b9ae-bcda0fc98e4a","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B3.02","Sign Off"
"2ab58738-fc07-4881-be63-0071b27c1a94","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","LSF-B2.01"
"1bddbea0-81d1-4c0d-a1f0-4c2979eedb6c","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","LSF-B2.01","Duct Installation Check List [C]"
"a71c5cbd-dc25-4e9f-9341-064ca6c18e0e","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","LSF-B2.01","Sign Off"
"adadd736-143f-4d93-8814-00a0d68e8599","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","GEF-C-R.01"
"700dc42b-60a3-4f7b-bb1d-0f454cadba3c","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","GEF-C-R.01","Duct Installation Check List [C]"
"ff0cb16d-33d7-4ce6-a177-6d489f64a5be","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","GEF-C-R.01","Sign Off"
"2c2f6e08-bf74-42f3-9352-8a8ff29c158f","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","GEF-C-R.02"
"2e0888fc-18c9-4217-9c82-77e7a1cc50fb","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","GEF-C-R.02","Duct Installation Check List [C]"
"293c6df7-d0e4-4009-b2e3-231a667e0d08","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","GEF-C-R.02","Sign Off"
"7453ec63-d0e4-476d-9663-dbedf902083c","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.01"
