"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"365b4b8f-3270-4752-8dbb-bb73d7987f14","","pass","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"4347c85a-eaf1-42cb-ba10-ae63bdcf99b1","","fail","","folder","TRUE","FALSE","Bathrooms"
"c0f19f7e-b61b-4325-8a3c-890258437e83","","fail","","folder","TRUE","FALSE","Bathrooms","Male WC"
"d4f9992b-2f78-4588-825a-fc6a4c6a316c","","fail","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Male WC","QA - Floor Prep Bathrooms"
"fd4b3177-66d3-49c9-a56c-e0a986e3755f","","pass","QA - Acoustics and waterproofing","checklist","FALSE","FALSE","Bathrooms","Male WC","QA - Acoustics and waterproofing"
"4558e23f-61ca-4c31-8bb5-19c8ecb4d526","","fail","QA - Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Male WC","QA - Tiling Installation"
"7d698536-653a-4aa9-96b3-0ffa93780c77","","fail","","folder","TRUE","FALSE","Bathrooms","Female WC"
"a1cdf8e8-9ad2-41b5-8a1a-d81c150bb88f","","fail","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Female WC","QA - Floor Prep Bathrooms"
"56e5d2b9-5290-41e1-a9ca-b5af3629cc95","","pass","QA - Acoustics and waterproofing","checklist","FALSE","FALSE","Bathrooms","Female WC","QA - Acoustics and waterproofing"
"e68cd4cc-7a49-463a-bf06-e6b3b2494090","","work-in-progress","QA - Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Female WC","QA - Tiling Installation"
"03b74aa8-1888-4686-bbc9-521d9e4e0b3e","","work-in-progress","","folder","TRUE","FALSE","Bathrooms","Accessible"
"54035f36-8d84-417e-8239-b5f73308821e","","pass","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Accessible","QA - Floor Prep Bathrooms"
"02e47274-a1e9-47a7-a233-23333b304413","","pass","QA - Acoustics and waterproofing","checklist","FALSE","FALSE","Bathrooms","Accessible","QA - Acoustics and waterproofing"
"a770d41d-4e88-44ab-a23e-4eb7b4678c48","","work-in-progress","QA - Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Accessible","QA - Tiling Installation"
