"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f2b6475a-88ba-40ec-9766-73727dbc65fd","","not-started","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"27a8bf4b-8fc5-4ca7-a205-369100d6aa3c","","work-in-progress","Tile Supply","checklist","FALSE","FALSE","Tile supply"
"ee367ac4-4a49-4c54-b910-0d9b226f1642","","not-started","","folder","TRUE","FALSE","Bathrooms"
"2e02b241-a4f6-4e3c-869b-d2294ebd49aa","","not-started","","folder","TRUE","FALSE","Bathrooms","Mens Locker/Amenities"
"87b075b5-36ba-46f8-aed8-83e3229bd1c9","","not-started","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Mens Locker/Amenities","QA - Floor Prep Bathroom"
"b41ffb30-68f5-4c60-ad14-cf4fa3f3c0d6","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Bathrooms","Mens Locker/Amenities","QA -Waterproofing"
"41767500-a262-4889-b6af-fe27e9887f32","","not-started","QA Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Mens Locker/Amenities","QA - Tiling Installation"
"45341f00-3728-4a22-a1df-c7973d6643df","","not-started","","folder","TRUE","FALSE","Bathrooms","Female Locker/Amenities"
"97c2e413-d652-4be8-9707-12fdd772f96c","","not-started","QA - Floor/wall Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Female Locker/Amenities","QA - Floor/Wall Prep Bathroom"
"8b9e9695-0298-4458-a258-eb599be6eb0c","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Bathrooms","Female Locker/Amenities","QA -Waterproofing"
"44102094-f775-49be-9b2d-18e3bce1ee78","","not-started","QA Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Female Locker/Amenities","QA - Tiling Installation"
"a801cf2f-b44a-436d-aa1c-e944cabc75b7","","not-started","","folder","TRUE","FALSE","Bathrooms","Unixsex WC Room"
"cd5fc75b-9cb9-47aa-bb44-341027b905ff","","not-started","QA - Floor/wall Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Unixsex WC Room","QA - Floor/Wall Prep Bathroom"
"bad0822c-940c-4d88-a640-af65fd856d20","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Bathrooms","Unixsex WC Room","QA -Waterproofing"
"dc6978f7-d56a-400a-9371-2f2387baa14a","","not-started","QA Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Unixsex WC Room","QA - Tiling Installation"
"3fe6ef7e-7689-4275-af01-1c056938cd5b","","not-started","","folder","TRUE","FALSE","Bathrooms","Accessible WC Room"
"bf91f4b8-aad3-42fa-87bf-957028ccb8ec","","not-started","QA - Floor/wall Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Accessible WC Room","QA - Floor/wall Prep Bathroom"
"a849c816-f3b8-4e20-84d2-e8e2b8e58f9e","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Bathrooms","Accessible WC Room","QA -Waterproofing"
"d76ea46b-379c-443a-91d5-91bc6462fff3","","not-started","QA Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Accessible WC Room","QA - Tiling Installation"
"f5b1246c-0a04-45e7-baa5-3f2b70517c55","","not-started","","folder","TRUE","FALSE","Bathrooms","Cleaners Room"
"555d434a-e8a9-450a-81eb-c086f5de3eda","","not-started","QA - Floor/wall Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Cleaners Room","QA - Floor/wall Prep Bathroom"
"e088de4f-74dd-4d74-a502-a87ea86f99b7","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Bathrooms","Cleaners Room","QA -Waterproofing"
"a9e93403-4b09-43f3-8a24-5e7eece43e69","","not-started","QA Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Cleaners Room","QA - Tiling Installation"
"99e5f4e5-d15a-43af-a79a-8a894325015a","","not-started","","folder","TRUE","FALSE","Bathrooms","Main Floor"
"71bedfda-a921-4242-9214-3deba8972408","","not-started","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Main Floor","QA - Floor Prep"
"2124f73b-aea3-42a7-a3f3-95e832002c91","","not-started","QA - Acoustics","checklist","FALSE","FALSE","Bathrooms","Main Floor","QA - Acoustics"
"518a5ab4-f374-46c7-89d3-45d3fbcf43e5","","not-started","QA Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Main Floor","QA - Tiling Installation"
"0dd51a7e-e99e-44f9-ba6b-ab321338a1d7","","not-started","","folder","TRUE","FALSE","Bathrooms","Drinking Fountain Wall"
"ccf77a6e-83aa-4d52-989b-591e1666ea68","","not-started","QA - Floor/wall Prep Bathrooms","checklist","FALSE","FALSE","Bathrooms","Drinking Fountain Wall","QA - Wall Prep"
"1315b840-a0c8-4880-9e07-70ebaec76f20","","not-started","QA Tiling Installation","checklist","FALSE","FALSE","Bathrooms","Drinking Fountain Wall","QA - Tiling Installation"
