"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f578d366-4477-4c15-910c-0d5ddc886ede","","work-in-progress","","folder","TRUE","FALSE","BC1"
"32fe7d95-cb90-44d9-a583-6d9bbd7182db","","work-in-progress","","folder","TRUE","FALSE","BC1","Site QA"
"3866bf06-e67e-46d9-83fe-f18f5870c7e0","","work-in-progress","","folder","TRUE","FALSE","BC1","Site QA","Civil"
"cae6d94c-d8f0-4348-9344-763849d5b4bd","","work-in-progress","","folder","TRUE","FALSE","BC1","Site QA","Civil","Drainage"
"6b21a2f4-77bb-41a4-9edc-60e275c11b87","","not-started","Civil - Drainage Checklist","checklist","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage"
"d3522c82-964e-57cb-a66f-96e9dc286b05","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Pre-start"
"e7c3e422-d1da-5574-9c73-45adb1b72db3","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Pre-start","Locates done on site – confirm no clash with pre-existing underground services"
"61582599-70da-59b1-a692-cdc02f739ab5","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Pre-start","Appropriate permits in place"
"69bb181d-5e4c-5d42-8cf3-f49eb1f2ddf0","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Pre-start","GL and datum provided"
"e633c273-39d5-5661-95d4-d868b4dcbf90","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Pre-start","Upload drawings / check services depths, confirm location, filling/digging"
"92032ab4-08e1-5728-861a-bd2d3ab3d437","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Pre-start","Clear work area"
"96f9d2c3-6a40-588d-bf3d-820e19495e72","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Trenching"
"62423c6b-cc90-5707-96ed-525bd74175ed","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Trenching","Delineation of area"
"9ee603cd-c362-51a5-82ea-e3dc9849735f","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Trenching","Benching appropriate for ground conditions"
"2f7bf55a-e84b-5c18-accd-f54430f9d2bd","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Trenching","Safety of trenching conditions and edge protection"
"4d5b4fb1-74de-5947-99c4-870f7e78417e","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Trenching","Civil Eng inspection report received and close-out if unsuitable subgrade conditions exist"
"b4db3d68-ecf2-5183-89da-901d3d13cb72","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Installation"
"1451d26a-3fe8-5f33-8444-7f73390344f1","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Installation","Confirm correct bedding material being used and spot check RL’s"
"8febb4ec-694e-537d-aa44-65ede86dcb36","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Installation","Manhole installation"
"6ebd4f31-f559-5df6-91f6-e6b6d8c7e2e5","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Installation","Pipes installed and correct junctions/connections"
"517547f1-605c-5b96-9b4f-559c2a2248a8","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Installation","Civil Eng inspection report received and close-out for first pipe run"
"d591e94b-32b0-516b-b8eb-d6a55e5b67aa","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Installation","Council inspection report received and close-out"
"9a5981d5-1a50-5b35-bdd4-12a58e152bba","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Backfilling"
"5edc8a33-bce3-552c-8ed4-cc088d2c81a3","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Backfilling","Appropriate backfill material"
"b6bf6221-0727-580b-9348-92bebcbcb120","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Backfilling","Backfill at 150mm lifts and compact as per Civil spec"
"e75571e9-b7fb-5fcd-94ef-f29951ae21b1","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Post Backfilling"
"36f40789-db11-507e-8948-7b1953016340","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Post Backfilling","Internal manhole works"
"d1478a6f-eec5-5bc9-8fb2-d58f7ccda344","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Post Backfilling","Soakholes"
"5afb650c-59da-5f08-930f-c72f6d56d6fc","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Post Backfilling","Drainage QA received and as built"
"dfa260f8-fd7a-4010-987e-5ef03fb15ed8","","work-in-progress","Civil - Drainage Checklist","checklist","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater"
"ba8f4128-2caf-5f2d-9827-7ff055403121","","pass","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Pre-start"
"e04901e6-fb30-54cd-b8bb-71691cbb7b8d","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Pre-start","Locates done on site – confirm no clash with pre-existing underground services"
"1241a6d7-9d65-549b-88bd-8c9800baac5e","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Pre-start","Appropriate permits in place"
"2ceb1223-2e0d-5e1e-801a-c735dcf6852c","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Pre-start","GL and datum provided"
