resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,B3,,,,,,,,
,step,,,,,JET-B3-1,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,JET-B3-2,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,CPEF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Grilles,checklist,,,,,,Grilles,,,,,,
,step,,,,,CPSF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Grilles,checklist,,,,,,Grilles,,,,,,
,step,,,,B2,,,,,,,,
,step,,,,,JET-B2-1,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,JET-B2-2,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,JET-B2-3,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,JET-B2-4,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,CPEF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Grilles,checklist,,,,,,Grilles,,,,,,
,step,,,,,CPSF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Grilles,checklist,,,,,,Grilles,,,,,,
,step,,,,B1,,,,,,,,
,step,,,,,Comms Room,,,,,,,
Door Grilles,checklist,,,,,,Door Grilles,,,,,,
,step,,,,,JET-B1-1,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,JET-B1-2,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,JET-B1-3,,,,,,,
Jet Fans,checklist,,,,,,Jet Fans,,,,,,
,step,,,,,CPEF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Grilles,checklist,,,,,,Grilles,,,,,,
,step,,,,,CPSF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
,step,,,,,Services Room (FPEF makeup air),,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Grilles,checklist,,,,,,Grilles,,,,,,
,step,,,,,FPEF-B1-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Ducts,checklist,,,,,,Ducts,,,,,,
Grilles,checklist,,,,,,Grilles,,,,,,
Fire Dampers,checklist,,,,,,Fire Dampers,,,,,,
Fans,checklist,,,,,,Fans,,,,,,
Elec Connections,checklist,,,,,,Elec Connections,,,,,,
Fire Pump Elec,checklist,,,,,,Fire Pump Elec,,,,,,
Labelling,checklist,,,,,,Labelling,,,,,,
,step,,,,,BREF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
Ducts,checklist,,,,,,Ducts,,,,,,
,step,,,,Ground,,,,,,,,
,step,,,,,LDEF-R-1,,,,,,,
Penetrations,checklist,,,,,,Penetrations,,,,,,
