Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,
checklist-sectioned,,,checklist,Postline Walls,,,,7,Yes,QA - Postline Walls,1a437830-9089-47d7-b792-221e3dff86ca,,,,
checkpoint-group,,,section,Post-Line Checks,,,,,,,,,,,
checkpoint-status,,,checkpoint,Location Recorded,,,,,,,,,,,
label,5d5b36a4-33f4-5229-9ea5-3fe1e64a9a20,,note,Zone / Level / Grid(s) recorded,,,,,,,,,,,
checkpoint-status,,,checkpoint,Wall Construction - Overall Pass,,,,,,,,,,,
button,390ae5b6-a7a2-5ded-b2a8-48a9d4b059d3,,button,FF&E / Equipment Nogs Installed,"Yes,No,N/A",,,,,,,,,,
button,3af89163-57c4-58ba-af84-a436962b11a3,,button,Services Nogs Installed,"Yes,No,N/A",,,,,,,,,,
button,0dd92ea6-d8a5-53ff-af66-877ac1608d22,,button,Correct Wall Type,"Yes,No,N/A",,,,,,,,,,
button,ff064f95-d3c6-57d9-88ea-0e4ac7bc8123,,button,Walls Anchored Correctly,"Yes,No,N/A",,,,,,,,,,
button,a8c3dfe6-ca12-536f-a6af-62fe6edaeafd,,button,"Plumb, Level & Square","Yes,No,N/A",,,,,,,,,,
button,7ed1be2c-f20a-574e-b480-3be8c2348272,,button,Seismic Deflections & Bracing Installed,"Yes,No,N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Services QA Received & Installed,,,,,,,,,,,
button,efc31123-9b18-5302-bc45-fa1c4e1a136e,,button,Mechanical QA Received,"Yes,No,N/A",,,,,,,,,,
button,d27d3801-48db-53fc-b60b-b94c103baae0,,button,Electrical QA Received,"Yes,No,N/A",,,,,,,,,,
button,16a28747-b1c0-5a96-9cb6-40d6bb1fc908,,button,Plumbing QA Received,"Yes,No,N/A",,,,,,,,,,
button,dbb7bb51-4a6b-548c-9d82-0d9bfb565a3f,,button,Data QA Received,"Yes,No,N/A",,,,,,,,,,
button,f2446a96-3796-57f1-a4aa-cf00f2f96b20,,button,Fire QA Received,"Yes,No,N/A",,,,,,,,,,
button,a77e8f62-067f-5157-88bb-f9c8e00c61e3,,button,Security QA Received,"Yes,No,N/A",,,,,,,,,,
holdpoint,,,signoff,Services QA Received,,,,,,,,,,,
checkpoint-status,,,checkpoint,Insulation Installed - Overall Pass,,,,,,,,,,,
checkpoint-status,,,checkpoint,Subcontractors QA Received & Complete,,,,,,,,,,,
checkpoint-status,,,checkpoint,Consultant Inspection,,,,,,,,,,,
checkpoint-status,,,checkpoint,Council Inspection,,,,,,,,,,,
checkpoint-status,,,checkpoint,Relative Design Information,,,,,,,,,,,
holdpoint,,,signoff,Council Inspection Completed & Closed-Out,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,,,checklist,QA - Spa - Pool Postline Final Finishes,,,,0,Yes,QA - Spa - Pool Postline Final Finishes,64ba74a9-9be1-4101-b215-8b8d09f4635e,,,,
checkpoint-status,,,checkpoint,Location Recorded,,,,,,,,,,,
label,62eac90e-8d36-5a28-8009-0e4793eb3661,,note,Zone / Level / Grid(s) recorded,,,,,,,,,,,
checkpoint-status,,,checkpoint,Tiling Complete,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pool Stainless,,,,,,,,,,,
checkpoint-status,,,checkpoint,FF&E/Accessories Installed,,,,,,,,,,,
checkpoint-status,,,checkpoint,Relative Design Information,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,,,checklist,QA - Spa - Pool Postline Ceilings,,,,0,Yes,QA - Spa - Pool Postline Ceilings,76043fa4-22d5-43c7-ae59-8987356c19d8,,,,
checkpoint-status,,,checkpoint,Location Recorded,,,,,,,,,,,
label,d91a5dc7-84c4-55d3-a4c1-d81913f6b494,,note,Zone / Level / Grid(s) recorded,,,,,,,,,,,
checkpoint-status,,,checkpoint,Ceiling Construction - Overall Pass,,,,,,,,,,,
boolean,9ee8af0a-63a2-5795-b518-1374063d046a,,tickbox,Seismic Restraints Installed,"Yes, No, N/A",,,,,,,,,,
boolean,6abfc836-95d3-506f-9bac-437ebfc06281,,tickbox,Correct Ceiling Type,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Painting Complete,,,,,,,,,,,
boolean,83d9cc31-21a9-5ebc-8dfb-36814534f0fc,,tickbox,Correct Paint,"Yes, No, N/A",,,,,,,,,,
boolean,ebee2eb8-6a90-560d-bc39-7a5c05e0f27b,,tickbox,Correct No. of Coats,"Yes, No, N/A",,,,,,,,,,
boolean,c0446ea6-f134-5d15-92ec-6c42ae76799f,,tickbox,Acceptable Level of Finish,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Vapour Barrier,,,,,,,,,,,
checkpoint-status,,,checkpoint,Blinds Installed,,,,,,,,,,,
checkpoint-status,,,checkpoint,Fire Rating Complete,,,,,,,,,,,
label,3390a636-4108-50de-be05-508d29838012,,note,Services / Underslab / Wall to Slab / Penetrations / Smoke Seal,,,,,,,,,,,
checkpoint-status,,,checkpoint,Subcontractors QA Received & Complete,,,,,,,,,,,
checkpoint-status,,,checkpoint,Secondary Steel Installed,,,,,,,,,,,
boolean,da915e55-576f-5fb5-8578-d531f95a7166,,tickbox,Secondary Steel QA Received,"Yes, No",,,,,,,,,,
checkpoint-status,,,checkpoint,Services Tested & Commissioned,,,,,,,,,,,
boolean,ff3efee0-389b-54cd-b783-56c69d69951a,,tickbox,Electrical,"Yes, No, N/A",,,,,,,,,,
boolean,3dbb8c4a-7f7c-5764-a3c0-9fa7b2a1b749,,tickbox,Mechanical,"Yes, No, N/A",,,,,,,,,,
boolean,b7c4d575-f13e-5b20-96e6-97881d6806d8,,tickbox,Fire,"Yes, No, N/A",,,,,,,,,,
boolean,19c290f4-172f-5c97-980a-2dfb775dae93,,tickbox,Security,"Yes, No, N/A",,,,,,,,,,
boolean,1190cb9e-9b27-5357-8f02-cf70abb7ce9e,,tickbox,Plumbing,"Yes, No, N/A",,,,,,,,,,
boolean,2fa3d6f5-24d3-51e0-9075-a025a69891c1,,tickbox,Natare,"Yes, No, N/A",,,,,,,,,,
boolean,70c528c2-83f2-58f6-b10b-a80aeb283cb4,,tickbox,Data,"Yes, No, N/A",,,,,,,,,,
boolean,c37a681b-8fa2-5512-8959-b3236dce7f04,,tickbox,AV,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Consultant Inspection,,,,,,,,,,,
boolean,e3327ff3-7af6-5177-b7b4-fabd307c6d19,,tickbox,Appropriate Consultants Reviewed,"Yes, No",,,,,,,,,,
boolean,0923e425-f84f-53bd-9859-8234ff8fd439,,tickbox,Acoustic Engineer,"Yes, No, N/A",,,,,,,,,,
boolean,fb5a155f-e649-5944-8ec4-2d680b7c3366,,tickbox,Fire Engineer,"Yes, No, N/A",,,,,,,,,,
boolean,3584c4b2-1924-50d8-a5c0-ee4219cc7e91,,tickbox,Seismic Engineer,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Relative Design Information,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-sectioned,,,checklist,QA - Postline Ceilings,,,,1,Yes,QA - Postline Ceilings,7a9f850d-474f-47ef-a1b2-0474695bc9ac,,,,
checkpoint-group,,,section,Post Line Checks,,,,,,,,,,,
checkpoint-status,,,checkpoint,Location Recorded,,,,,,,,,,,
text,73dcc201-0cf3-586c-9531-a3e91f76fd1b,,textbox,Zone / Level / Grid(s) recorded,,,,,,,,,,,
checkpoint-status,,,checkpoint,Ceiling Construction - Overall Pass,,,,,,,,,,,
button,f67482bc-c326-505a-9999-5a5d87f3d86a,,button,Seismic Restraints Installed,"Yes,No,N/A",,,,,,,,,,
button,01c6dcdf-4d2e-5ffa-a9bb-ae03e47b8e50,,button,Correct Ceiling Type,"Yes,No,N/A",,,,,,,,,,
button,194c9db8-8227-5674-8d5e-653c23ae9059,,button,"Plumb, Level & Square","Yes,No,N/A",,,,,,,,,,
button,127abde8-e2c1-5909-8f0d-96ba430ffabb,,button,Correct Linings Installed,"Yes,No,N/A",,,,,,,,,,
button,3c6450b5-2acf-5d3d-8ab4-a2ef21e225ac,,button,Correct Level of Finish,"Yes,No,N/A",,,,,,,,,,
button,bc5b3cd0-1bd6-50fe-bff8-78b767554922,,button,Correct No. of Coats,"Yes,No,N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Painting Complete,,,,,,,,,,,
button,63383bb7-c1e8-51fe-8f39-43a5fcf3440c,,button,Correct Paint Type & Colour,"Yes,No,N/A",,,,,,,,,,
button,8f26d379-efe7-5e71-83c7-0a683af5a830,,button,Correct No. of Coats,"Yes,No,N/A",,,,,,,,,,
button,2d83f025-e2ed-5a00-96e4-ec3ab2c07158,,button,Acceptable Level of Finish,"Yes,No,N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Fire Rating Complete,,,,,,,,,,,
text,7007321b-496e-5252-8e5f-775a35c9f67c,,textbox,Services / Underslab / Wall to Slab / Penetrations,,,,,,,,,,,
checkpoint-status,,,checkpoint,Subcontractors QA Received & Complete,,,,,,,,,,,
checkpoint-status,,,checkpoint,Consultant Inspection,,,,,,,,,,,
button,984d516e-71a5-5e48-a665-3e159e05fad9,,button,Appropriate Consultants Reviewed,"Yes,No",,,,,,,,,,
button,6961406e-3b73-5a2b-8d50-45595794be3b,,button,Acoustic Engineer,"Yes,No,N/A",,,,,,,,,,
button,8bab54c1-11a5-5f94-b03e-b27d225cf4a0,,button,Fire Engineer,"Yes,No,N/A",,,,,,,,,,
button,5d6817cb-c2bb-5fa2-8a63-a2f692d86d91,,button,Seismic Engineer,"Yes,No,N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Relative Design Information,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,,,checklist,QA - Spa - Pool Postline Finishes,,,,0,Yes,QA - Spa - Pool Postline Finishes,8e350867-6be8-42d5-91b7-07fab36a87a2,,,,
checkpoint-status,,,checkpoint,Location Recorded,,,,,,,,,,,
label,86bc8807-bb29-5537-870a-f71ebbef9c21,,note,Zone / Level / Grid(s) recorded,,,,,,,,,,,
checkpoint-status,,,checkpoint,Concourse Levels,,,,,,,,,,,
boolean,ddc3d374-6c67-530f-b6a9-afd64c7d7d76,,tickbox,Subcontractors QA Received,"Yes, No",,,,,,,,,,
boolean,79a73c20-6fba-521d-aa3c-ad22e7682d0e,,tickbox,Hawkins QA,"Yes, No",,,,,,,,,,
checkpoint-status,,,checkpoint,Earthing,,,,,,,,,,,
