type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,ITP - Bay Road FS (General),itp,,,,,ITP - Bay Road FS (General),,,
section,Contract,,,,,,,,,
checkpoint,1 - D1.3,,,,,,,,,
label,"Inspection / Test Point - Site Management Plan (QEHS, SSST, KSA)",,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,"Conformance Criteria (What's Required) - Ensure Quality, Environment, Health & Safety Management Systems Plan Site Specific Safety Plan and Key Step Analysis are approved.",,,,,,,,,
label,"○ Living document to be adjusted and updated as required. A copy of QEHS plan, SSSP and KSA to be on site at all times.",,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,Inspection / Test Method - Submission (NTE),,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, LN-01, FM-83, FM-69",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,2 - D1.18,,,,,,,,,
label,Inspection / Test Point - TMP,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - traffic management plan to be submitted and approved by Road Controlling Authority,,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,Inspection / Test Method - Sumission (NTE),,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, TMP",,,,,,,,,
label,Standard - Code of practice for temporary traffic management (CoPTTM),,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,3 - D1.4,,,,,,,,,
label,Inspection / Test Point - Works Access Permit,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - TMP and Corridor Access Request to be sumbitted on myWorksites,,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,Inspection / Test Method - Document,,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, WAP",,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,4,,,,,,,,,
label,Inspection / Test Point - Permit to Enter,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - KiwiRail,,,,,,,,,
label,Frequency / When? - Prior to any work near the railway area,,,,,,,,,
label,Inspection / Test Method - Document,,,,,,,,,
label,"Records / evidence, WCL form - Permit to Enter",,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,5 - D1.14,,,,,,,,,
label,Inspection / Test Point - Client start-up meeting,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,"Activity by - ICC, WCL",,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,Inspection / Test Method - Document,,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, MoM",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,6 - C1.8 D1.6,,,,,,,,,
label,Inspection / Test Point - NZ Heritage induction,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,"Activity by - WCL, ICC",,,,,,,,,
label,Conformance Criteria (What's Required) - Contractor briefing is to be completed by all personnel working on the project,,,,,,,,,
label,Frequency / When? - 48 hours prior to any work,,,,,,,,,
label,Inspection / Test Method - Induction,,,,,,,,,
label,"Records / evidence, WCL form - induction record",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
section,Material,,,,,,,,,
checkpoint,7 - D2.4.2,,,,,,,,,
label,Inspection / Test Point - Bedding material,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - Lab,,,,,,,,,
label,Conformance Criteria (What's Required) - Material to comply with contract specification,,,,,,,,,
label,Quantity - 650 m3,,,,,,,,,
label,Frequency / When? - Prior to installation,,,,,,,,,
label,Inspection / Test Method - Lab report,,,,,,,,,
label,"Records / evidence, WCL form - Grading Results",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS G3 of AS/NZS 2566.2,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,8 - D2.4.3 D1.29.3,,,,,,,,,
label,Inspection / Test Point - Sub Base Aggregate AP65,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - Lab,,,,,,,,,
label,Conformance Criteria (What's Required) - Materials to comply with contract specification,,,,,,,,,
label,Quantity - 2500 m3,,,,,,,,,
label,Frequency / When? - Prior to installation,,,,,,,,,
label,Inspection / Test Method - Lab report,,,,,,,,,
label,"Records / evidence, WCL form - MDD and Grading Results",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,9 - D1.29.4,,,,,,,,,
label,Inspection / Test Point - Crushed Basecource Aggregate M/4 AP40,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - Lab,,,,,,,,,
label,Conformance Criteria (What's Required) - Materials to comply with contract specification,,,,,,,,,
label,Quantity - 250 m3,,,,,,,,,
label,Frequency / When? - Prior to installation,,,,,,,,,
label,Inspection / Test Method - Lab report,,,,,,,,,
label,"Records / evidence, WCL form - MDD and Grading Results",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS NZTA M/4,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,10 - C1.4 D2.4.1,,,,,,,,,
label,Inspection / Test Point - Pipe material (F25402 - F25403),,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - DN300 uPVC SN16 RESTRAIN,,,,,,,,,
label,Quantity - 30 m,,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,"Inspection / Test Method - Material approval, Document",,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, Data sheet",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS AS/NZS 1260:2017,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,11 - C1.4 D2.4.1,,,,,,,,,
label,Inspection / Test Point - Pipe material (F25403 - F25406),,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - DN300 uPVC SN8,,,,,,,,,
label,Quantity - 328 m,,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,"Inspection / Test Method - Material approval, Document",,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, Data sheet",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS AS/NZS 1260:2017,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,12 - C1.4 D2.4.1 (1),,,,,,,,,
label,Inspection / Test Point - Pipe material (F25406 - F25410),,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - DN225 uPVC SN8,,,,,,,,,
label,Quantity - 378 m,,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,"Inspection / Test Method - Material approval, Document",,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, Data sheet",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS AS/NZS 1260:2017,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,12 - C1.4 D2.4.1 (2),,,,,,,,,
label,Inspection / Test Point - Pipe material (ridermain connection),,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - Dn150 uPVC SN8,,,,,,,,,
label,Quantity - 13 m,,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,"Inspection / Test Method - Material approval, Document",,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, Data sheet",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS AS/NZS 1260:2017,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,13 - D4.3,,,,,,,,,
label,Inspection / Test Point - Pipe material lateral,,,,,,,,,
label,"ACTION (W, M, H) - H",,,,,,,,,
label,Activity by - WCL,,,,,,,,,
label,Conformance Criteria (What's Required) - DN100 uPVC SN6,,,,,,,,,
label,Quantity - 780 m,,,,,,,,,
label,Frequency / When? - Prior to commencement,,,,,,,,,
label,"Inspection / Test Method - Material approval, Document",,,,,,,,,
label,"Records / evidence, WCL form - Sign This ITP, Data sheet",,,,,,,,,
label,Standard - ICC STANDARD SPECIFICATIONS AS/NZS 1260:2017,,,,,,,,,
label,"Print, sign and date: Wilson - YES",,,,,,,,,
label,"Print, sign and date: ICC - YES",,,,,,,,,
