type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
checklist,ITP-STR-Soil Nails,itp,,,,Yes,ITP-STR-Soil Nails Rev 1,613f7709-8c75-4936-9f45-67bd76112139,,,,
section,Referenced Documentation,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,
note,ITP Description: Soil Nails,,,,,,,,,,,
note,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,
note,Revision Number: 1,,,,,,,,,,,
note,Revision Date: 3/08/2021,,,,,,,,,,,
note,ITP created by: Mike Freeman,,,,,,,,,,,
note,ITP approved for use by: Mike Freeman,,,,,,,,,,,
note,1.1 Non Dependent,,,,,,,,,,,
label,REFERENCE: VicRoads Section 610 June 2019,,,,,,,,,,,
note,1.1 Non Dependent,,,,,,,,,,,
label,REFERENCE: VicRoads Section 611 November 2018,,,,,,,,,,,
note,1.1 Non Dependent,,,,,,,,,,,
label,REFERENCE: VicRoads Section 683 April 2019,,,,,,,,,,,
section,2 - Preliminaries,,,,,,,,,,,
checkpoint,2.1 Design,,,,,,,,,,,
note,REFERENCE: 683.04,,,,,,,,,,,
note,683.04 (d) (i - xi),,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: The Contractor shall submit construction drawings for review by the Superintendent prior to soil nail installation.,,,,,,,,,,,
note,See: MRP-DPK-072-00-CSW-0021 (Robinsons Road),,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,"FREQUENCY: Once, 4 weeks prior to installation of soil nails",,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,VERIFYING DOCUMENTS: ConQA Hold Point Release (note this hold point is already released),,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,
checkpoint,2.2 Nail Certification - Steel,,,,,,,,,,,
note,REFERENCE: 683.06 (a),,,,,,,,,,,
note,683.07 (b),,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Current ACRS certification for Grade 500N materials including couplers (where applicable).,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,"FREQUENCY: Where applicable, once for each supplier, prior to installation of soil nails",,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,CATEGORY: WP,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,
checkpoint,2.3 Nail Certification - Carbon or Fibre Reinforced Polymer (FRP),,,,,,,,,,,
note,REFERENCE: 683.06 (b),,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Carbon or FRP nails shall not be installed until the material certificates for all batches of nails have been reviewed and approval granted by the Superintendent.,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,
textbox,Enter: Teambinder Approval Number,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,"FREQUENCY: Where applicable, once for each supplier, prior to installation of soil nails",,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,
signoff,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,
checkpoint,2.4 Corrosion Protection (for All Steel Componentry),,,,,,,,,,,
note,REFERENCE: 683.07 (b),,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Coatings for corrosion protection on all steel  materials shall be either:,,,,,,,,,,,
note,i. Galvanised to thickness as per AS/NZS 4680,,,,,,,,,,,
note,ii. Thermo-diffusion coated to Coating Class 80 or ≥80µm,,,,,,,,,,,
note,iii. ≥80% zinc-rich product with ≥100µm DFT,,,,,,,,,,,
note,Attach: Coating Certificate of Compliance,,,,,,,,,,,
note,"Or alternatively, include in the nail certification in the Teambinder Material Approval.",,,,,,,,,,,
textbox,Enter: Teambinder Material Approval Number,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,"FREQUENCY: Once for each batch of materials, prior to installation of soil nails",,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,CATEGORY: WP,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,
checkpoint,2.5 Grout Mix Design,,,,,,,,,,,
note,REFERENCE: 683.11 (a) (i - iii),,,,,,,,,,,
note,IFC Drawings,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: The proposed low shrinkage grout mix design with supporting test results to be submitted for review to the Nominated Authority.,,,,,,,,,,,
note,The following test results and information shall be provided:,,,,,,,,,,,
note,i. Water cement ratio between 0.38 - 0.45,,,,,,,,,,,
note,ii. The chemical admixture,,,,,,,,,,,
note,iii. 7 day compressive strength test results ≥32MPa,,,,,,,,,,,
note,iv. 28 day compressive strength results ≥40MPa (Robinson's Road),,,,,,,,,,,
note,v. Flow cone test result between 10-30 seconds,,,,,,,,,,,
note,"vi. Bleed test result ≤2% 3 hours after mixing, ≤4% at any time and separated water absorbed within 24 hours",,,,,,,,,,,
note,vii. Chloride-ion content ≤0.07%,,,,,,,,,,,
note,viii. Sulphate content ≤5%,,,,,,,,,,,
note,"The grout shall be made strictly in accordance with the approved grout mix design and in the event of changes, re-submitted for review and approval to the Nominated Authority.",,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,
note,FREQUENCY: 2 weeks prior to installation of design verification testing,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,CATEGORY: WP,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,
checkpoint,"2.6 Soil Nail Installation, Grouting & Testing Work Procedure",,,,,,,,,,,
note,REFERENCE: 683.12 (b),,,,,,,,,,,
note,683.11 (b),,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,"ACCEPTANCE CRITERIA: Soil nail installation WP, fully detailing the proposed drilling, grouting & testing equipment, methodologies and reporting, to be submitted for review to the Nominated Authority.",,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,
note,FREQUENCY: 2 weeks prior to installation of design verification testing,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,
textbox,---------------------------------,,,,,,,,,,,
note,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,
