"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4f3dc76a-dccc-4d43-887c-e18140e532ed","","no-status-started","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"bf07faba-b817-46c4-a549-77452e131f2f","","work-in-progress","","folder","FALSE","FALSE","Health & Safety"
"be607963-2b63-4350-9306-3f7106362146","","no-status-started","SYS - PT - Prestart H&S Documents","checklist","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"28b6ba9d-82db-4cff-a6b2-1e42a5929fe7","","work-in-progress","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety"
"69b8603a-c594-49de-9634-b0e3a605b564","","work-in-progress","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks"
"295783c8-768d-4265-bf1f-13c25da56c58","","work-in-progress","H&S - Toolbox Minutes","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Minutes 24/01/2025"
"c5af00f2-7417-4b70-b38a-941f26172c90","","work-in-progress","H&S - Toolbox Minutes","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Minutes 30/01/2025"
"ef62c4a8-3c46-4dca-b847-db2be794a741","","work-in-progress","H&S - Toolbox Minutes","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Minutes 04/02/2025"
"4ebde441-e569-4c21-8ce1-7378144f0a47","","work-in-progress","H&S - Toolbox Minutes","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Minutes 11/02/2025"
"ae5b4403-356b-40a3-9b18-d67dafec7355","","work-in-progress","H&S - Toolbox Minutes","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Minutes 18/02/2025"
"6d5b1b76-7936-4511-b3a3-16bc0daffbe6","","pass","H&S - Toolbox Minutes","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Minutes 25/02/2025"
"672bc59a-fbaa-43b5-bfbf-1d944240a025","","work-in-progress","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections"
