Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Painting,,,,,Yes,POST - S - Painting,795aff5a-665a-4d08-982c-d347d4bf3d5c
checkpoint-status,,,checkpoint,Any prep work & sealer coat completed,,,,,,,
checkpoint-status,,,checkpoint,Light inspection completed and approved to continue,,,,,,,
checkpoint-status,,,checkpoint,"Any additional prep work completed (stopping, filling, sanding etc)",,,,,,,
checkpoint-status,,,checkpoint,First top coat completed,,,,,,,
checkpoint-status,,,checkpoint,Additional top coat applications completed,,,,,,,
checkpoint-status,,,checkpoint,Final coat completed as per specifications,,,,,,,
checkpoint-status,,,checkpoint,Painting work completed - specified level of finish achieved,,,,,,,
checkpoint-status,,,checkpoint,Inspections completed and issued to Foreman,,,,,,,
holdpoint,,,signoff,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,,
