resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Ripley Sub-Acute QA,,,,,,,,,
,step,,,,Switchboards,,,,,,,,
,step,,,,,Main Switchboards,,,,,,,
,step,,,,,,SMSB-1,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,Earth Electrode,,,,,
QA_TEM_011_Mains & Submains Installation,checklist,,,,,,,Mains & Submains Installation,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,checklist,,,,,,,Switchboard & DB Installation,,,,,
QA_TEM_041_Power Cable Commissioning,checklist,,,,,,,Power Cable Commissioning,,,,,
Final Installation Checklist,checklist,,,,,,,Final Installation Test Sheet,,,,,
,step,,,,,,SMSB-2,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,Earth Electrode,,,,,
QA_TEM_011_Mains & Submains Installation,checklist,,,,,,,Mains & Submains Installation,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,checklist,,,,,,,Switchboard & DB Installation,,,,,
QA_TEM_041_Power Cable Commissioning,checklist,,,,,,,Power Cable Commissioning,,,,,
Final Installation Checklist,checklist,,,,,,,Final Installation Test Sheet,,,,,
,step,,,,,,MDB-SA-1,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,Earth Electrode,,,,,
QA_TEM_011_Mains & Submains Installation,checklist,,,,,,,Mains & Submains Installation,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,checklist,,,,,,,Switchboard & DB Installation,,,,,
QA_TEM_041_Power Cable Commissioning,checklist,,,,,,,Power Cable Commissioning,,,,,
Final Installation Checklist,checklist,,,,,,,Final Installation Test Sheet,,,,,
,step,,,,,,MDB-SA-2,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,Earth Electrode,,,,,
QA_TEM_011_Mains & Submains Installation,checklist,,,,,,,Mains & Submains Installation,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,checklist,,,,,,,Switchboard & DB Installation,,,,,
QA_TEM_041_Power Cable Commissioning,checklist,,,,,,,Power Cable Commissioning,,,,,
Final Installation Checklist,checklist,,,,,,,Final Installation Test Sheet,,,,,
,step,,,,,,MSB-CP,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,Earth Electrode,,,,,
QA_TEM_011_Mains & Submains Installation,checklist,,,,,,,Mains & Submains Installation,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,checklist,,,,,,,Switchboard & DB Installation,,,,,
QA_TEM_041_Power Cable Commissioning,checklist,,,,,,,Power Cable Commissioning,,,,,
Final Installation Checklist,checklist,,,,,,,Final Installation Test Sheet,,,,,
,step,,,,,,EXISTING MSB-SHP,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,Earth Electrode,,,,,
QA_TEM_011_Mains & Submains Installation,checklist,,,,,,,Mains & Submains Installation,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,checklist,,,,,,,Switchboard & DB Installation,,,,,
QA_TEM_041_Power Cable Commissioning,checklist,,,,,,,Power Cable Commissioning,,,,,
Final Installation Checklist,checklist,,,,,,,Final Installation Test Sheet,,,,,
,step,,,,,Distritbution Boards,,,,,,,
,step,,,,,,DB-FPR,,,,,,
QA_TEM_011_Mains & Submains Installation,checklist,,,,,,,Mains & Submains Installation,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,checklist,,,,,,,Switchboard & DB Installation,,,,,
