"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b4480306-744a-4a01-a3ac-f3887d73bf63","","work-in-progress","","folder","TRUE","FALSE","Level 1"
"483a34d6-f116-4010-b51a-62024c843ea3","","pass","","folder","TRUE","FALSE","Level 1","Pearsons Waiting Room"
"748df4e0-b043-48ae-ad55-1f3d4fe467ed","","pass","Commissioning","checklist","FALSE","FALSE","Level 1","Pearsons Waiting Room","Commisioning"
"02a8a977-ed71-4a5c-9913-97fc47175916","","pass","Corridor","checklist","FALSE","FALSE","Level 1","Pearsons Waiting Room","Corridor"
"42f8f4be-1eaa-43b5-9c56-92c767272dce","","pass","Drains","checklist","FALSE","FALSE","Level 1","Pearsons Waiting Room","Drains"
"8d0f0210-0027-44ba-8a89-3026f02af7c1","","pass","Rough In","checklist","FALSE","FALSE","Level 1","Pearsons Waiting Room","Rough In"
"6ea87b1a-1b2f-4f0c-b72f-acd66202c453","","pass","","folder","TRUE","FALSE","Level 1","Staff Work Space"
"be85b1d5-7407-4eca-b635-35d6e358e552","","pass","Commissioning","checklist","FALSE","FALSE","Level 1","Staff Work Space","Commisioning"
"948a94bf-257a-4c7d-a8b1-bac3027f665f","","pass","Drains","checklist","FALSE","FALSE","Level 1","Staff Work Space","Drains"
"56822228-a0eb-4943-8f5a-aa653d37e750","","pass","Fit Off","checklist","FALSE","FALSE","Level 1","Staff Work Space","Fit Off"
"4f4bbfbe-5721-4881-bfd8-bd9530dcec36","","pass","Rough In","checklist","FALSE","FALSE","Level 1","Staff Work Space","Rough In"
"aac91627-b2b4-4540-8848-57ba78f7f2b6","","work-in-progress","","folder","TRUE","FALSE","Level 1","Testing waiting room"
"80ae21eb-1e2f-4585-8af7-5eff9a255e9a","","pass","Commissioning","checklist","FALSE","FALSE","Level 1","Testing waiting room","Commisioning"
"5be51683-5aaf-4ff0-aecb-406b16a79e6d","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 1","Testing waiting room","Drains"
"68677b5e-be1d-4935-a514-271bf3f21527","","pass","Fit Off","checklist","FALSE","FALSE","Level 1","Testing waiting room","Fit Off"
"5b6e0a2b-a5a7-492b-9c15-3f446b2dc55b","","pass","Rough In","checklist","FALSE","FALSE","Level 1","Testing waiting room","Rough In"
"40ab88a9-cd33-408a-a931-07e8f3fd7f64","","work-in-progress","","folder","TRUE","FALSE","Level 1","Speaking waiting room"
"3d1696b6-f4fe-4b00-ad4f-c8420d44e0cc","","pass","Commissioning","checklist","FALSE","FALSE","Level 1","Speaking waiting room","Commisioning"
