"Warnings","Id","Type","Name","Values","Prompting Name","Prefix","Postfix","Usage Count","Resource Id"
"","531f2512-5464-5ad5-9375-cf532c19b953","checklist-flat","Add Fire Penetration Checklist","","Fire Penetration:",,,0,"0ee42fe2-897b-4384-b45d-434068f7f524"
"","41ae2d91-a6ac-52bd-b5d3-a07a5297e838","checkpoint","Treatment Type",,,,,,
"","dda08e40-7dd9-531a-a2a2-34cae406e2c6","dropdown","Treatment Type:","A1,A2,B,C,D,E,F,G,H1,H2,H3,J,K,M,N1,N2,O,P,Q,R,S,T,V",,,,,
"","4f16d8a7-40e7-5f2f-8120-ee5531a4c1d7","checkpoint","Photo of penetration and sticker must be taken",,,,,,
"","6bebe046-7503-5351-8608-2524b69b0fd5","textbox","Installed by:",,,,,,
"","1f933fe7-d624-5fb9-9385-a1b250206f58","textbox","Comments / Reasons why cannot complete:",,,,,,

"","0588dd2a-d440-5502-9cc1-2a984d2e6c8d","checklist-flat","Add Project Photos","","Project Photos",,,2,"d9446279-f7c0-4a90-9209-5a3263e25abd"
"","b3a47312-e99b-57a3-b655-b50313c2200a","checkpoint","Attach Photos and Comments",,,,,,

"","72644a6c-34e1-530c-a7e8-5351e29f25a3","checklist","Backflow Test Report","","Backflow Test Report",,,0,"a70d30b6-d859-4b46-a45f-343af06bb8c8"
"","45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,,,
"","585974c6-02cb-514b-9e87-5b7ac108700e","checkpoint","Description of property or vehicle",,,,,,
"","91e79822-8dde-5aaa-81f9-ad08e78269e1","note","The description must identify all land or vehicles covered in the application",,,,,,
"","d284e6b4-f929-58b8-94d5-0b328a9cf63d","textbox","Street address (number, street, suburb and postcode)",,,,,,
"","4a848919-0a0e-541f-a59c-c2625acc7dab","textbox","Water authority property service / installation number",,,,,,
"","9dc5fb52-17c2-530c-a000-50835cf81245","textbox","Water meter number",,,,,,
"","eb7d2055-3881-5790-b5ce-e9490cc3e55d","checkpoint","Type of test",,,,,,
"","38a9d5f6-b05a-5498-98c5-4bce9616c23c","tickbox","Commissioning of new device",,,,,,
"","8815a749-aa74-5e87-ab81-c49f5d75a947","tickbox","Replacement",,,,,,
"","1abf7be1-a725-53fe-86df-cd47f8d1769d","tickbox","Annual",,,,,,
"","8d5f7a6e-e223-5aec-9068-1f6429463172","tickbox","Repairs",,,,,,
"","eabc2bab-5633-5361-806d-02a5912b0381","tickbox","Decommission",,,,,,
"","b0097003-182e-5bee-9086-d9aecfce067d","checkpoint","Backflow prevention device location",,,,,,
"","dabf55fa-a50b-5e34-aa0f-f1178dd403b7","textbox","Location of device (eg: Northwest side of building @ FHR external)",,,,,,
"","0f7e2599-45b6-5ae7-aeff-a9e32a79ea55","textbox","Mains pressure (kPa)",,,,,,
"","167cc3d1-a150-5625-91b7-98a2ff866f98","textbox","Time and date of test",,,,,,
"","195a525d-2640-51ef-86c4-48fc1bd7b51f","checkpoint","Main device",,,,,,
"","3f607054-57b2-56fd-b5a3-bdd681f9125b","tickbox","RPZD (E)",,,,,,
"","4451b81e-49c5-5893-a754-f1aabfbea05a","tickbox","DCV (F)",,,,,,
"","62c14501-fdb5-5157-8ba8-a68b3c58c61c","tickbox","SCVT (I)",,,,,,
"","4184f236-50c4-5177-9856-70f36e54b629","tickbox","Containment",,,,,,
"","279b225c-e44e-5aa9-a574-3ca1b344a48e","tickbox","Zone",,,,,,
"","8eed17e7-55b9-5e08-bab3-9e3a37d050e4","tickbox","Individual",,,,,,
"","c9db3a6a-76e1-5823-bf3f-a52d6a8e51d2","textbox","Make",,,,,,
"","9457a020-8737-57ff-858b-75daf7e11cfe","textbox","Size mm",,,,,,
"","7b3015ab-e9e0-5035-9c59-7fb0cbf10929","textbox","Model",,,,,,
"","09e8e5b3-85e2-53c5-885b-451cc7ba6d26","textbox","Serial number",,,,,,
"","a2a6c3c8-2301-5317-91a1-aae5b5896c45","button","Cleaned strainer","Yes,No,N/A",,,,,
"","58b40ab6-c938-530b-bc7b-d08afedd0d60","button","Upstream IV","Leaked,Tight",,,,,
"","e1b28486-56bd-59ee-aa85-4ce4c68719a8","button","Downstream IV","Leaked,Tight",,,,,
"","037c66ea-b7d8-5f7f-9602-7acb9d67cae9","textbox","Check valve #1 (kPa)",,,,,,
"","5ebdaeaf-8ef3-52ef-ba56-5233fb655e6f","textbox","Check valve #2 (kPa)",,,,,,
"","afc60cf1-7e69-554c-a659-1b74fa1489e5","textbox","Relief valve opened",,,,,,
"","0cba4129-b150-5f77-a2f5-6454677b69d6","checkpoint","Device installation notes",,,,,,
"","fdd1c243-3089-52b3-af5c-90b48c74adfa","button","Isolating padlocks installed","Yes,No",,,,,
"","0344672a-becd-5883-9173-5ac4205d9314","button","Installation complies with AS/NZS 3500.1","Yes,No",,,,,
"","4c6f0025-e719-525b-81ac-ef265d68a9e7","checkpoint","Test kit",,,,,,
"","ae15db3e-6952-5cef-95d1-8ada9b262ca1","textbox","Test kit serial number",,,,,,
"","aadc8d9f-7ee3-56a0-9656-caa41158d9ca","date","Date last calibrated",,,,,,
"","b65a095e-ac93-52c6-b0db-1e184e5966f0","checkpoint","Authorised testers details",,,,,,
"","10c31868-8c42-5421-8cd4-4a74de251d0d","textbox","Testers name",,,,,,
"","d5dcd8c6-8dcd-5d91-996f-dfc18faf8517","textbox","Registration licence number",,,,,,
"","a93227d5-1a19-5a17-88a6-a5daeab6485d","textbox","Phone number",,,,,,
"","3d9483e0-efb8-5e50-ad56-69f06fa15b7b","checkpoint-no-value","Licence person",,,,,,
"","bdc0c5c3-19f3-57aa-8610-ec2e6d576a0a","note","Full company name - Geschke plumbing",,,,,,
"","10d62ae7-66af-5714-bd04-14174f6d98d4","note","Licensed tester name – David Geschke",,,,,,
"","01ba6182-b263-5b04-ba70-d2c8917ea205","note","Licence number -50043",,,,,,
