type,name,values
checklist-flat,Job Sheet,
checkpoint-no-status,Details,
text,Date,
text,Customer,
text,Address,
text,Job Description Procedure:,
text,Location or Gridline:,
text,Measure:,
text,Materials Used,
text,"Employee name, Start time and Finish time:",
holdpoint,Signoff/Approval Required,
checkpoint,Before Photos (attach to this checkpoint),
button,Job Measured? ,"Yes, No"
button,Photos Taken?,"Yes, No"
button,Clean up?,"Yes, No"
button,Tools collected?,"Yes, No"
button,Customer Informed?,"Yes, No"
checkpoint,After Photos (attach to this checkpoint),
holdpoint,Site Foreman to signoff,
,,
checklist-flat,Variation #,
checkpoint-no-status,Details,
text,Date,
text,Job Description Procedure:,
text,Location or Gridline:,
text,Measure:,
text,Materials Used,
text,"Employee name, Start time and Finish time:",
holdpoint,Signoff/Approval Required,
checkpoint,Before Photos (attach to this checkpoint),
button,Job Measured? ,"Yes, No"
button,Photos Taken?,"Yes, No"
button,Clean up?,"Yes, No"
button,Tools collected?,"Yes, No"
button,Customer Informed?,"Yes, No"
checkpoint,After Photos (attach to this checkpoint),
holdpoint,Site Foreman to signoff,
