"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0d94120e-6c03-41a5-9292-02cb6fda4b48","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP001 - Demolition of Existing Infrastructure"
"46d46c53-4b35-484b-8875-71d3ada4b9e6","","work-in-progress","FH-ZU2-QU-ITP001 - Demolition of Existing Pavements - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP001 - Demolition of Existing Infrastructure","FH-ZU2-QU-ITP001-LOT-001 - Stage 1 - Asphalt Demolition - TWY Papa"
"e91e11e4-9343-4fb7-a3af-bf3776a5cb72","","not-started","FH-ZU2-QU-ITP001 - Demolition of Existing Pavements - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP001 - Demolition of Existing Infrastructure","FH-ZU2-QU-ITP001-LOT-002 - Stage 2 - TWY Alpha - Rigid and Flexible Pavements"
"517dbdae-4a57-4fa5-a436-eb43033e90c9","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP002 - Site Establishment"
"00346bd0-d239-477b-bfad-64419153457f","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation"
"36e7b7cd-eeb9-4aaa-a65b-0aea259d8b7c","","work-in-progress","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation","FH-ZU2-QU-ITP003-LOT-001 - Stage 1"
"c337db70-3fd2-43ac-bd6d-191421def4ab","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP004 - Select Fill Placement"
"f7f5af3a-47a1-4667-919d-e30f1340adf8","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP005 - Stormwater Drainage"
"49c9fcad-5a58-42b2-b857-a98e6116c26e","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage"
"ce86ebc2-5e0c-4b41-8df1-8d90ba097bf9","","work-in-progress","FH-ZU2-QU-ITP006 - Subsoil Drainage - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage","FH-ZU2-QU-ITP006-LOT-001 - SS-FR-18 - DR-PT-Z-005"
"3b3db7bd-f913-4ec2-950e-93d56a9b6305","","work-in-progress","FH-ZU2-QU-ITP006 - Subsoil Drainage - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage","FH-ZU2-QU-ITP006-LOT-002 - SS-FR-19 - SS-S0-007"
"a0374a00-94cf-412d-955c-041ce1eb1854","","work-in-progress","FH-ZU2-QU-ITP006 - Subsoil Drainage - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage","FH-ZU2-QU-ITP006-LOT-003 - SSC-PI-37"
"ea70804f-3742-45d1-8b2c-a20a92304c67","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP007 - Precast Drainage Structures"
"7e8bf027-3bd3-4075-85ef-01468e126857","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement"
"a62b1a8f-278f-46b3-a761-3131020ace36","","not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","test"
"a8ef467f-d4f7-4c93-b231-5fa5abbdb173","","not-started","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","test","ITP008 - Lime Stabilisation Works - test"
"fae1f856-5c24-4dad-9b1b-4645f7f58a70","","work-in-progress","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-001 - Stage 1 Outer Shoulders"
"28d880f6-7046-453b-b391-4e484550f72a","","work-in-progress","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-002 - Stage 1 PT1"
"3ee48245-35f8-447f-8b46-6ddd47d6c7a2","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)"
"fcfa55a1-39c1-452b-afee-36ba373bce3c","","work-in-progress","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC) - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)","FH-ZU2-QU-ITP009-LOT-001 - Stage 1 PT1"
"846d8206-65dc-499b-8d49-d592d6fe9c48","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP010 - Cement Treated Base"
"283efbf0-48d5-44be-a837-5c4eb11d17ab","","work-in-progress","FH-ZU2-QU-ITP010 - Cement Treated Base - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP010 - Cement Treated Base","FH-ZU2-QU-ITP010-LOT-001 - Stage 1 - Pavement Type 1"
"f973f49e-4c6c-48ff-abd7-460fda27262b","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP011 - Concrete Production"
"f37cdb7e-ae45-46eb-8dd2-7606d9b19fea","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP012 - High Early Strength Lean Concrete Pavement Production"
"585cbe56-0a2a-4a7e-83ad-32e5c58ad51b","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements"
"a4d4e822-a012-40c3-a3d2-6c6bdd78bfa2","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP014 - Sawcutting & Joint Sealing"
"6faac85f-2b97-41c8-a4c0-fc8142151af6","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP015 - High Early Strength Lean Concrete Placement"
"d1884a1c-5dd1-484a-b6fb-455fc66885f1","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP016 - Asphalt Production - Airport Mix"
"796d398c-caac-48fb-8b35-084daa4d2d50","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP017 - Asphalt Production - 14H Mix"
"96367f0b-378b-4c7f-8ae9-165947c2ccaf","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP018 - Asphalt Placement"
"cdd20f2f-94ee-44ef-bb23-77fcca06f374","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP019 - Spray Seal Placement"
