"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"Working area clean & ready for work to commence",,"working area is clean and ready for work to commence"
,,"Latest revision working documents provided",,"latest revision working documents provided"
,,"Storage area agreed",,"storage area agreed"
,,"Datum & gridlines provided",,"datum & gridlines provided"
,,"Correct opening sizes confirmed",,"correct opening sizes confirmed"
,,"Windows/Doors in correct location",,"windows/doors in correct location"
,,"Frames fixed level & secure",,"frames fixed level & secure"
,,"Flashings weathertight",,"flashings weathertight"
,,"Sealants correctly applied & weathertight",,"sealants correctly applied & weathertight"
,,"Glass & frames cleaned & protected",,"glass & frames cleaned & protected"
,,"Glass as per approved shop drawing/s",,"glass as per approved shop drawing/s."
,,"Glass is defect free",,"glass is defect free (scratches, shells, excessive roller wave, internal sucker marks of dgu)."
,,"Depth of cover is correct",,"depth of cover is correct."
,,"Bite & aesthetic of silicone seal is acceptable",,"bite and aesthetic of silicone seal is acceptable."
,,"Decals are installed if required.",,"decals are installed if required."
,,"Hardware (Locks/handles) fitted & operation tested",,"hardware (locks & handles) fitted & operation tested"
,,"Glass Installed correctly",,"glass installed correctly"
,,"Gasket Wedge applied",,"gasket wedge applied"
,,"All Stickers & Dots removed",,"all stickers & dots removed"
,,"Glass cleaned to trade standard",,"glass cleaned to trade standard"
,,"Window Completed - New Era Glazing signoff",,"window completed - new era glazing signoff (attach signature)"

