"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"352bf097-d621-46f5-b055-1dd656adfcca","","checklist-flat","pass","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"79bfed24-1812-509f-99d8-300e562907df","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"f03d9d67-c647-5ac3-9319-7836b7c580ae","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"6f410b5b-737a-54c2-b748-0e10ca63d405","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"339e9df9-a4c8-5568-98dd-81cf32c2d0a0","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"3fdb1e79-ff31-5f4e-9f79-2b319fa2bf9f","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"6426e837-e8ab-4234-bd8c-a6385a9418f6","Child Signoffs(8eca5d83-a2c9-5b28-85fb-911e06467390) -- Area Complete (Request MC Signoff)(09a46069-f0e5-5d2b-b589-eb15845a8262): Signoff Request Signoff(3615a6a0-db0c-5eb9-82b9-5f1db412965f) must be dependant","checklist-sectioned","work-in-progress","FibreTite Checklist","checklist","FALSE","FALSE","FiberTite Checklist 44 bowen  - Area:level 8 and 9"
"b5434c8f-6e72-57f2-8a42-57bc7f8a6e37","","checkpoint-group","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Pre Start"
"b1ebca82-736c-5d59-ad29-ff96e0460480","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Pre Start","Area Accessible"
"0f1a9286-89c3-5b07-a38d-7ec7c7bd32fc","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Pre Start","Edge protection and safety installed"
"c289036e-acc8-51de-b115-4f79bc9b26d1","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Pre Start","Substrate complete and ready for SWP (metal/concrete/ply)"
"da1bf893-bad4-5aa1-a002-e5326a90b9e2","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Pre Start","Perimeter support installed installed if metal deck substrate"
"e1fa60f4-3116-5493-8b3b-f5a791148175","","checkpoint-group","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Metal Deck"
"c9280e70-48f3-56fa-bb86-6c9ceb1f2cc9","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Metal Deck","Timber to have separation barrier"
"2b5fa1f4-b4a1-5e3d-84a1-2430d8936745","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Metal Deck","Base deck screwed down in every pan"
"6acc0587-b3f4-5009-b733-6f30a699b718","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Metal Deck","Sheet edges stiched together at 300mm centres"
"b6f93471-b84d-520f-afc8-25db043a2941","","checkpoint-group","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Vapour Control Layer"
"00a8139d-ac3a-54f5-8640-9b032c73eb57","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Vapour Control Layer","Is the substrate clean, dry and clear of swarf"
"b7dc2328-6a40-59af-ba5b-c33578467548","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Vapour Control Layer","All areas covered and sheets lapped 50mm"
"a7d6da35-0798-5bd8-aa8a-ebe239bc4a59","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Vapour Control Layer","All holes/penetrations patched and water tight"
"9ba272d4-fe72-50c6-b63e-285d91d708ef","","checkpoint-group","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Insulation"
"df9d60b9-bf53-5e06-9f9f-136707c7d0b9","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Insulation","Surface is dry prior to install"
"b3986601-d926-545f-9373-c49edd60f225","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Insulation","Vapour control layer has been checked for no damage"
"d8dad78e-e405-5db7-bc44-20de5af25eb4","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Insulation","Insulation board installed in a brick pattern"
"f948eb4f-55bd-5b68-b759-45602f798a10","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Insulation","Joints flush (no gaps between boards on ends)"
"22734870-700b-5345-ac64-cbecdec6bef9","","checkpoint-status","not-applicable","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Insulation","Fixings at correct spacing according to spec if no Securock in system."
