"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b4bd17f8-9a3f-4ebc-b530-c9e632a8e424","","checklist-flat","pass","145daa2aaf83ce100e03308fa2592b119272de55359c236a0b0a3350dee5e8a6","checklist-flat","FALSE","FALSE","Job Details"
"988c93c1-ee55-4f13-8680-dba4b9bfc4e6","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"69ca30a8-388c-4243-a47e-725981d90278","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"ea81aac3-b0be-477d-81fd-8022384c1c70","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"56eb1e80-078c-4e89-9de9-985dfc7edceb","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"a11e67e2-16b5-42ce-b985-97abf3e99ed3","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"50f585bd-cf31-42ba-8bf8-f88d8abecaaa","Child Signoffs(cd232b88-940f-4921-a34e-c643f1f512f8) -- Area Complete (Request MC Signoff)(54303386-f29f-426f-8274-c0fe43e6761f): Signoff Request Signoff(45df9b0e-9223-41dc-856c-513f22907a70) must be dependant","checklist-sectioned","work-in-progress","FibreTite Checklist","checklist","FALSE","FALSE","FiberTite Checklist - Area:main roof"
"18c6a54a-efce-4885-84ab-b5dd3a674c1e","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Pre Start"
"cece0719-7728-441d-b94b-e33e84bd5395","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Pre Start","Area Accessible"
"a231c078-127e-450c-b053-8d44b4eddd4d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Pre Start","Edge protection and safety installed"
"4c0e53dc-397d-4893-a7c1-41bfddaf42a6","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Pre Start","Substrate complete and ready for SWP (metal/concrete/ply)"
"869d5e45-1ffb-4aca-9ac0-8a63aa9eb95d","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Pre Start","Perimeter support installed installed if metal deck substrate"
"4384bf1d-cd6d-4020-b212-2b66dffc388a","","checkpoint-group","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Metal Deck"
"5f641d76-3390-45eb-b25f-42337eb9af88","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Metal Deck","Timber to have separation barrier"
"8daa3805-a6fe-43d2-9e8f-78eff20ee543","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Metal Deck","Base deck screwed down in every pan"
"5e6e2a34-6689-4b8b-bd6d-9f690b89d593","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Metal Deck","Sheet edges stiched together at 300mm centres"
"de74f721-e1cd-4c04-a0b1-2e1b298bcff7","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Vapour Control Layer"
"44ca4a6f-2103-47bd-be64-2517ac0c25bb","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Vapour Control Layer","Is the substrate clean, dry and clear of swarf"
"a4195d14-a730-4776-b775-06fb563bbca1","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Vapour Control Layer","All areas covered and sheets lapped 50mm"
"07ea1a2f-6884-46b9-86fd-adc9fb78fa7e","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Vapour Control Layer","All holes/penetrations patched and water tight"
"3a103374-7126-4133-a032-546a16202a57","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Insulation"
"fc01714a-5b7c-476a-b4db-c7214d2ea0d3","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Insulation","Surface is dry prior to install"
"b14c0d93-8654-44d5-ae1d-7f0fc414475e","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Insulation","Vapour control layer has been checked for no damage"
"59110c46-db43-4d25-a69f-66b0f638cc8d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Insulation","Insulation board installed in a brick pattern"
"6bcd003d-5281-4b2e-89d1-bb21f0a8dad0","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Insulation","Joints flush (no gaps between boards on ends)"
"39b6e88d-dd4e-45e1-a4a8-80021ecab371","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Insulation","Fixings at correct spacing according to spec if no Securock in system."
"2118edad-d0e7-4929-8d60-8e8079a1dcd7","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Securock"
"6c7a078a-fc00-480a-a005-78fcb8cfe98e","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Securock","Is the surface dry"
