Type,Id,Name,Values,Prompting Name,Resource Id
checklist,,ITP - ASPHALT SURFACE RENEWAL INSPECTION TESTING PLAN Rev 1,itp,ITP - ASPHALT SURFACE RENEWAL INSPECTION TESTING PLAN,cbab5044-b574-4f15-a7a0-29971a18fe72
section,,Milling,,,
checkpoint,,1.01 - Field,,,
note,5eb17e16-6356-5f43-a14b-79dafd28ecce,"Material Test Method Requirement - Surface Level, Shape, and crossfall",,,
note,c13a3f16-f236-58a5-9e71-384ca82b6f43,"Reference Documents - RITS Table 3.24, NZTA M10:2020 10.1",,,
note,8505615c-e2b6-5615-a277-ab2a2d93647a,Material Acceptance Criteria (Method) - String line or GPS rover,,,
note,565479aa-f30d-55fc-8215-bc93083f6cd4,"Material Test Frequency - 5 Points across full width of carriageway at 10m frequency, Edge of Seal, Centre of Lane, Centerline, Centre of Lane, Edge of Seal",,,
note,1ff1e347-0ad1-52fb-848b-56966e927462,"Target Criteria - +10mm/-0mm from design or nominated level, No more than 8mm deviation from a 3m straight edge",,,
note,0817965a-86a6-510c-a2aa-ade0a05c30b6,Action Point Records Required - Survey record,,,
note,48d7e28f-e00f-54e1-a643-3466125c790e,Responsibility - QA / SE / PE,,,
checkpoint,,1.02 - Field,,,
note,825f2aa7-8b1d-594c-8cfc-9105e6682714,Material Test Method Requirement - Surface Inspection,,,
note,2d3b74d9-e5d2-51f4-9f67-9846278eacee,Reference Documents - NZTA M10:2020 9.2,,,
note,b85949d8-b3f0-581c-829c-6b2612e1800b,Material Acceptance Criteria (Method) - Visual Inspection,,,
note,a80fda84-103a-522e-90ab-034c797e1ae5,Material Test Frequency - 100% of Surface Prior to paving,,,
note,290466be-8ed3-5a53-9bd8-0cec0f1a6d46,"Target Criteria - The surface on which the paving is to be laid shall be free from standing water, and any loose material, dust, clay or foreign matter shall be removed by sweeping.",,,
note,be6a2bae-d61e-5245-af2e-68e5c2160e5c,Action Point Records Required - Hold Point,,,
note,033b0fd7-9876-59d0-96a0-aae5c6ff57d6,Responsibility - QA / SE / PE,,,
signoff,,AUTHORITY HOLDPOINT,,,
checkpoint,,1.03 - Field,,,
note,f4a515d3-e0fe-57d4-a902-6273f72ec948,Material Test Method Requirement - Does the surface pre-treatment meet project requirments?,,,
note,7ad8e5a7-63ec-52d8-9de2-587e7a52acd0,"Reference Documents - NZTA M27:2020 9.3, NZTA M10:2020 9.2, NZTA SP-M-032",,,
