Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,External Wall Lining,,,,0,Yes,ICS - External Wall Lining,8a2d45db-e048-43d6-8b4e-71553e920cfa
checkpoint-status,,,checkpoint,Ensure All Materials are checked as per approved drawings,,,,,,,
checkpoint-status,,,checkpoint,Ensure Suface Cleanliness & MEP clearance check,,,,,,,
checkpoint-status,,,checkpoint,Check External Insulation Installation,,,,,,,
checkpoint-status,,,checkpoint,Check External Thermal Break installation,,,,,,,
checkpoint-status,,,checkpoint,Check External Wall Lining Installation as per approved shop drawings and manufacturer specification,,,,,,,
checkpoint-status,,,checkpoint,Ensure External Wall Linings joints treated with approved Sealant,,,,,,,
checkpoint-status,,,checkpoint,Check External Waterproofing application check,,,,,,,
checkpoint-status,,,checkpoint,External Buildwrap/Breather Membrane installation Check as per approved drawing & manufacturer specification,,,,,,,
checkpoint-status,,,checkpoint,"Application of flasing tape as per approved drawing & manufacturer specification in heads, sill & jambs of Windows/Sliding Doors",,,,,,,
checkpoint-status,,,checkpoint,Check & Ensure all MEP Service Penetrations on Buildwrap/ Breather membrane is treated as per manufacturer specification,,,,,,,
checkpoint-status,,,checkpoint,Final Acceptance and Wrapping,,,,,,,
checkpoint-status,,,checkpoint,TLC Inspector Name,,,,,,,
holdpoint,,,signoff,Add Signature / Request Sign Off,,,,,,,
