"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78513a7e-4171-41aa-be68-a0795577b93a","","folder-normal","pass","","step","TRUE","FALSE","ITP-001 - Clearing and Grubbing"
"9e7c5096-698d-499b-8900-b19e74130ac4","","checklist-sectioned","pass","FHC-ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-003 - Subgrade Preparation","708-0242 - Sub-grade Preperation - South East Carpark - FHC-ITP-003-03"
"06321330-97f4-4a33-bb17-9aee41616a0a","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-004 - Type A Placement"
"62cb2396-4081-4a0d-8821-36f9a034df91","","checklist-sectioned","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-004 - Type A Placement","708-0206 - Capping - South East Carpark - FHC-ITP-004-01"
"b17bc95d-a064-40fe-bb1c-33b403f2e456","","checklist-sectioned","not-started","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-004 - Type A Placement","708-0207 - Capping - South East Carpark - FHC-ITP-004-02"
"5a303c37-00ad-45f2-8457-e1a27144aa70","","checklist-sectioned","not-started","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-004 - Type A Placement","708-0208 - Capping - South East Carpark - FHC-ITP-004-03"
"03293bd9-8987-44a8-9bbd-26db70f80303","","folder-normal","not-started","","step","TRUE","FALSE","ITP-006 - Class 3"
"541ed79f-d29f-4ee2-b4b5-0caa5283e4d3","","checklist-sectioned","not-started","FHC-ITP-001 - Clearing and Grubbing","checklist","FALSE","FALSE","ITP-006 - Class 3","708-0209 - Class 3 - South East Carpark - FHC-ITP-006-01"
"73cac400-3733-4858-a13e-8c1467952254","","checklist-sectioned","not-started","FHC-ITP-005 - Class 2 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-006 - Class 3","708-0210 - Class 3 - South East Carpark - FHC-ITP-006-02"
"19be3123-3ace-4723-bffa-d7d8d91e3107","","checklist-sectioned","not-started","FHC-ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-006 - Class 3","708-0211 - Class 3 - South East Carpark - FHC-ITP-006-03"
"d95bf28f-08ad-4daf-b63b-faad9398a426","","folder-normal","not-started","","step","TRUE","FALSE","ITP-008 - Stormwater Drainage"
"0bd46b9e-ca50-4c86-b832-0fb46d69aafb","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0191 - Stormwater Drainage - South East Carpark - FHC-ITP-008-01"
"ad32d7aa-9549-4531-812f-adf8d4630e04","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0192 - Stormwater Drainage - South East Carpark - FHC-ITP-008-02"
"05b5e178-4db6-4c80-9126-8534110262d1","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0193 - Stormwater Drainage - South East Carpark - FHC-ITP-008-03 "
"12447ba9-c74c-4602-9031-be38718aadf5","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0194 - Stormwater Drainage - South East Carpark - FHC-ITP-008-04 "
"7894609d-1706-481a-96a9-34b68bcbc797","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0195 - Stormwater Drainage - South East Carpark - FHC-ITP-008-05 "
"d4a73f7f-d536-4323-8c06-138a3d80ee68","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0196 - Stormwater Drainage - South East Carpark - FHC-ITP-008-06 "
"60e38c4a-4b85-46b6-adf0-b628e303084d","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0197 - Stormwater Drainage - South East Carpark - FHC-ITP-008-07 "
"67a7053a-f295-4563-b999-1b368394612c","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0198 - Stormwater Drainage - South East Carpark - FHC-ITP-008-08 "
"8c2e79fb-c30c-4a6a-a33b-e831e6e46647","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0199 - Stormwater Drainage - South East Carpark - FHC-ITP-008-09"
"e4c1bea6-c381-4be0-acb8-2c824748eaef","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage"," 708-0200 - Stormwater Drainage - South East Carpark - FHC-ITP-008-10"
"56284ff1-a000-48f0-a7b2-e8b281211336","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-201 - Stormwater Drainage - South East Carpark - FHC-ITP-008-11 "
"689d6e7f-4045-4383-acdb-5e683c2e7180","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0202 - Stormwater Drainage - South East Carpark - FHC-ITP-008-12 "
"7bd55265-a009-42ff-b507-62a3ead2c3bc","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0203 - Stormwater Drainage - South East Carpark - FHC-ITP-008-13"
"f76dac86-a8c3-4490-bd8f-0123a3921405","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0204 - Stormwater Drainage - South East Carpark - FHC-ITP-008-14"
"7bd61d88-118b-4cf5-877a-87a058c99708","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0205 - Stormwater Drainage - South East Carpark - FHC-ITP-008-15 "
"85ac2add-60b6-4f91-8ece-60830f170a62","","folder-normal","pass","","step","TRUE","FALSE","ITP-013 - Protection Slab"
"0a2da7f0-16fc-49c6-bb21-a8672d8f10fd","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-013 - Protection Slab","708-0174 - Protection Slab - South East Carpark - FHC-ITP-013"
"e6cecc11-a43a-41d8-a8bf-1ab88f9955b0","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-014 - Subsurface Drainage"
"b063d925-f2ae-4d4f-af8a-f6187b29557e","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0182 - Subsoil Drainage - South East Carpark - FHC-ITP-014-01"
"b4f422bc-3aca-4281-a228-ef00c393f756","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0183 - Subsoil Drainage - South East Carpark - FHC-ITP-014-02"
"c377151c-e8fe-4d99-9b0d-2acda7be47fd","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0184 - Subsoil Drainage - South East Carpark - FHC-ITP-014-03"
"4b602700-345c-4b1b-88f4-9a2c843c654c","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0185 - Subsoil Drainage - South East Carpark - FHC-ITP-014-04"
"020bf5ec-b944-4d30-b2b2-7edf5389ff73","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0186 - Subsoil Drainage - South East Carpark - FHC-ITP-014-05"
"667bd97f-3ded-4816-9450-b15e7be42494","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0187 - Subsoil Drainage - South East Carpark - FHC-ITP-014-06"
"48bebc16-f64f-4e72-a9e5-f82daa1a8da6","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0188 - Subsoil Drainage - South East Carpark - FHC-ITP-014-07"
"92cf3d9b-f060-4b51-8b32-56ec3bb0ea13","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0189 - Subsoil Drainage - South East Carpark - FHC-ITP-014-08"
"322f614c-7f4f-405a-a273-21cc0c8ef52d","","checklist-sectioned","not-started","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","708-0190 - Subsoil Drainage - South East Carpark - FHC-ITP-014-09"
"36efcf42-9f70-4861-85a3-7c97024bc37e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ITP-021 - Type B Placement"
"17724092-654f-421b-b974-ea9137d78275","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-025 - Kerb "
"6e334619-9dcd-4e96-aa72-99e010e8634f","","checklist-sectioned","not-started","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-025 - Kerb ","708-0175 - Kerb and Channel - South East Carpark - FHC-ITP-015-01"
"fb69e7c8-e9d9-476a-91ab-77ec618892c4","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-025 - Kerb ","708-0176 - Kerb and Channel - South East Carpark - FHC-ITP-015-02"
"a20576ca-afae-4c82-80fe-67a2b04edb49","","checklist-sectioned","not-started","FHC-ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-025 - Kerb ","708-0177 - Kerb and Channel - South East Carpark - FHC-ITP-015-03"
"b2578456-fbde-4c96-a3c6-c949a95ce7c1","","checklist-sectioned","work-in-progress","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-025 - Kerb ","708-0178 - Kerb and Channel - South East Carpark - FHC-ITP-015-04"
"c764478e-0755-4b8d-ac92-06158270bca2","","checklist-sectioned","not-started","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-025 - Kerb ","708-0179 - Kerb and Channel - South East Carpark - FHC-ITP-015-05"
"0e27d93e-f1bd-4a1f-9ae0-7523f0e2c8e5","","checklist-sectioned","work-in-progress","FHC-ITP-005 - Class 2 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-025 - Kerb ","708-0180 - Kerb and Channel - South East Carpark - FHC-ITP-015-06"
"c19b43a9-9c5c-4902-8337-ce13328e6c35","","checklist-sectioned","not-started","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-025 - Kerb ","708-0181 - Kerb and Channel - South East Carpark - FHC-ITP-015-07"
"d488b8ea-2a90-4dc9-a3f5-c8f84dec3160","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-027 - Pile Footing Construction"
"1e92b4f7-3d1e-4239-a17c-07319603381f","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0218 - Pole Footings - South East Carpark - FHC-ITP-027-01"
"1ec0d98c-2a4c-4626-b857-bfc98003d477","","checklist-sectioned","not-started","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0219 - Pole Footings - South East Carpark - FHC-ITP-027-02"
"ebdb80d9-0a96-4da5-8d36-3c973c762693","","checklist-sectioned","not-started","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0220 - Pole Footings - South East Carpark - FHC-ITP-027-03"
"4fe248a9-f123-4a2b-93ac-d7dbb90dd946","","checklist-sectioned","not-started","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0222 - Pole Footings - South East Carpark - FHC-ITP-027-04"
"8753f2fe-384e-473d-9d3b-a6bcbf2c6510","","checklist-sectioned","not-started","FHC-ITP-032 - Concrete Base and Lean Mix Concrete Subbase Rev1","checklist","FALSE","FALSE","FHC-ITP-032 - Concrete Base and Lean Mix Concrete Subbase"
"00d9fd67-ff65-48d4-addc-b35c825c4582","","folder-normal","pass","","step","TRUE","FALSE","Tarneit Station - General Concrete Paving"
"18b6cd0b-97a2-44d5-944a-4b36cc5bb291","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","Tarneit Station - General Concrete Paving","FHC-ITP-013 - General Concrete Paving - 01"
"eb6a329e-a17e-4b46-a69b-d602286c2fb5","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","Tarneit Station - General Concrete Paving","FHC-ITP-013 - General Concrete Paving - 02"
"a9bd6db3-4940-4219-b769-d4f935957a12","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","Tarneit Station - General Concrete Paving","FHC-ITP-013 - General Concrete Paving - 03"
"f5ad189f-27ff-4844-a1dd-b7d0baabe03b","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","Tarneit Station - General Concrete Paving","FHC-ITP-013 - General Concrete Paving - 04"
"055deb5c-aceb-4f59-83eb-242fcac5bc04","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","Tarneit Station - General Concrete Paving","FHC-ITP-013 - General Concrete Paving - 05"
"9d4682a4-bf65-4749-8cf0-ccdf8bb8037b","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","Tarneit Station - General Concrete Paving","FHC-ITP-013 - General Concrete Paving - 06"
"bd3265c6-913f-4c4f-b95d-1837467553cd","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","Tarneit Station - General Concrete Paving","FHC-ITP-013 - General Concrete Paving - DDA Bays"
"b2dc999c-dcba-44b7-a592-d6323a3f89ef","","folder-normal","pass","","step","TRUE","FALSE","Tarneit Class 3 crushed rock"
"3a132922-c5a3-46d4-bd4a-1dd51a93dd51","","checklist-sectioned","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","Tarneit Class 3 crushed rock","FHC-ITP-006 - Class 3 Crushed Rock - Lot 07"
"18f3763b-1be9-4c87-a27b-9ecd07b46ef7","","folder-normal","pass","","step","TRUE","FALSE","Tarneit North Carpark - Basin"
"8bb5c498-6806-422d-955d-f2cf302f1ed2","","checklist-sectioned","pass","FHC-ITP-017 - Basin Construction","checklist","FALSE","FALSE","Tarneit North Carpark - Basin","708-0281 - Basin Construction - North Carpark - FHC-ITP-017-01"
