resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,
,,step,,,Conduit,,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Basement CEP,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Basement Service Tunnel,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Ground Floor,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Level 1,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Level 2,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Level 3,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Level 4,,,,,,,,,,,,,,
AE-ITCX-007 - Conduit Checklist (Rev 0 +Names),,checklist,,,,Level 5 / Roof,,,,,,,,,,,,,,
,,step,,,House/Common area ,,,,,,,,,,,,,,,
,,step,,,,Distribution boards and sub-circuits,,,,,,,,,,,,,,
,,step,,,,,Basement ,,,,,,,,,,,,,
,,step,,,,,,DB.UPS.BASEMENT,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.BASEMENT,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.BASEMENT,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.HYDRAULICS,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.TUNNEL.,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.DAS,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,Ground Floor,,,,,,,,,,,,,
,,step,,,,,,DB.UPS.GROUND,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
