resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,step,,,Site QA,,,,,,,,
,,,,,,,,,,step,,,,Block A,,,,,,,
,,,,,,,,,,step,,,,,Lot 01,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 02,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 03,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 04,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 05,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 06,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 07,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 08,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 09,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 10,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,Gas Appliance Installation,folder-with-checklists,,,,,,Fit-off Plumbing Installation,,,,,
"Water Heating, Boiling, Chilling, Unit Installation",,,,,,,,,,folder-with-checklists,,,,,,Hot Water Unit Installation,,,,,
Testing Drainage Pipework (Air Test),Testing Drainage Pipework (Water Test),Testing Water Pipework (Water Test),Testing Gas Service (Air Test),,,,,,,folder-with-checklists,,,,,,Testing,,,,,
Commission Fixture Group,Commission Hot Water Generating Plant,Commission Reduced Pressure Zone Device,,,,,,,,folder-with-checklists,,,,,,Commissioning,,,,,
,,,,,,,,,,step,,,,,Lot 11,,,,,,
Authority Main to Meter Installation,Drainage Installation (In-ground),Water Service Installation (In-ground),Gas Service Installation (In-ground),,,,,,,folder-with-checklists,,,,,,Inground Plumbing Installation,,,,,
Waste & Vent Installation,Water Service Installation (Rough-ins),Gas Service Installation (Rough-ins),,,,,,,,folder-with-checklists,,,,,,Rough-in Plumbing Installation,,,,,
