"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9c0af9bf-bf99-4c33-971e-17bc0647017f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA"
"608b4351-264d-4fb1-8031-1a7d18b6d345","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety"
"9f6b50b2-b932-495b-9cad-d6a0c3c66d04","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"4de6b4bb-0b03-4ea2-83c7-e9c046440d7a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2022"
"95720ffa-6599-4168-b953-c662f34f52c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2022"
"b9c6d7a0-3498-44c6-8b6b-1f0d77a2b834","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2022"
"81e73abd-8375-420e-8878-6065b366d125","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","November 2022"
"ddc9213a-ecc8-4cd7-ae05-18d1afd4222d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","December 2022"
"e1bb5de6-33c6-4f0a-9c4f-9d0e98c83eec","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","Pre-Start","January 2023"
"a8226bd8-a889-42e6-9b52-e2413ccf021b","","checklist-flat","pass","Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","January 2023","Date:18/01/2023"
"ed1d7ae6-a1a3-47aa-8a30-5967c4fa099b","","checklist-flat","pass","Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","January 2023","Date:19/01/23"
"4d4cf1a7-eb44-4222-bf76-faadb756ebfd","","checklist-flat","pass","Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","January 2023","Date:20/01/2023"
"5db92641-a05c-477c-802c-1d344060515b","","checklist-flat","pass","Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","January 2023","Date:23/01/2023"
"131e2ea9-86a5-4a9a-a514-42febfb329bb","","checklist-flat","pass","Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","January 2023","Date:24/01/2023"
"0929c113-456e-41f2-b9d1-01dd53ea5175","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","February 2023"
"9a3e3dd1-4aa8-45d2-9faf-cda8b177dc4a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","March 2023"
"28d8f93c-9a35-4db1-b629-5171959f630c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","April 2023"
"7fc64674-eaae-4f07-b308-9cfaac36eef2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","May 2023"
"aea7f884-1777-4558-be74-8d8a724ba126","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","June 2023"
"e18cdbb4-773e-4c05-832c-3bbcd8d1bb02","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","July 2023"
"d1015d0c-29c1-4905-8575-a479a35520d8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2023"
"00792d7f-5330-4215-aea0-a0a1001946bb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2023"
"5eb3bdf7-bb68-4b1c-8bc8-c1c7f2470f61","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2023"
"ad48e983-2729-4565-b4c8-9dddd482a449","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","November 2023"
"4e162825-24ee-411d-8cab-2ecfad5f9d87","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","December 2023"
"94add1fb-18c4-4cbd-bc64-215eac8de1df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox"
"0cc1e1ca-5e23-4095-878f-ee5f043bd97b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","August 2022"
"a33e5c6f-54bb-404f-b236-070ae06e4bad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","September 2022"
"dca36af3-aca3-4404-aa39-3cf500a55b6c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","October 2022"
"9f517e81-e2aa-402a-858c-56e10a009758","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","November 2022"
"cebcf18b-b504-4538-94a1-0e2062977ce6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","December 2022"
"72187710-b397-4274-9a5e-c64cd3b63f0b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","January 2023"
"5051e754-1f59-4b8d-b0ff-857a78f1a3f9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","February 2023"
"80459278-537a-4669-8ba6-5a9151943d74","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","March 2023"
"38f217e6-6573-4c88-9899-072a0c1b575d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","April 2023"
"891cd8e2-c11e-43cb-a0a0-4ae75361f96d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","May 2023"
"06e60796-965e-495b-b0f6-cc876efb72d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","June 2023"
"67d33e02-7f3f-4995-a8fc-b56fb5d87ba5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","July 2023"
"21943772-3ed5-49cd-9e14-72699a573d44","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","August 2023"
"d3409120-9676-4926-9713-93f0d0b1a324","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","September 2023"
"e98a3440-7697-4c26-82ec-13e5c68f9d68","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","October 2023"
"6ec80c22-2d46-4c40-be7d-ab427d2af211","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","November 2023"
"6f27d6bd-00f6-4af4-a1b9-6947f04fbd08","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","December 2023"
"f5e27bca-b8ed-4731-9316-ad5c2469f4c6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection"
"7766a501-5a9f-404b-8586-7697e4c881a0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","August 2022"
"85e8e087-92b1-43a2-9a5a-da1cc95f56ea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","September 2022"
"fa9c9df4-7f27-4894-a856-bbcaeff78c81","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","October 2022"
"fbd80983-caff-48c8-abb1-ed74c5bc1071","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","November 2022"
"171d0657-f9cc-4182-ab18-055894c61afe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","December 2022"
"d70a3bc8-ec06-41dc-b65d-7d9ddc8dc183","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","January 2023"
"2974c150-6018-436e-95f8-99239b570cf3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","February 2023"
"6a82cecf-8196-4358-8e42-4237b0de3f5d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","March 2023"
"384f21cc-6f16-4170-a6a4-9528f289bbe3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","April 2023"
"4bcd03bf-31bf-4a5e-ace6-ff2ac6d0b98c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","May 2023"
"44ef4627-c4eb-4368-bf39-a6df53a8ae1e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","June 2023"
"4f1dc597-d02b-4892-956d-51f960a97878","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","July 2023"
"af804ccb-e5ff-4053-bab7-b55cc72bf89c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","August 2023"
"5954ce2a-5a2c-44e0-b631-0bac2dfe78d2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","September 2023"
"f5a6f59c-7230-4ee7-8d1d-e2cdccbf66ad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","October 2023"
"d706ecc3-5ca6-4ecc-83ef-513c68d6676d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","November 2023"
"41ac9b58-294d-449e-9090-fc9aa7e4cd97","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","December 2023"
"11c2b4b3-2af1-46e6-8a65-7639a88489aa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"afcdde86-8d3a-4c26-9f7b-fc06b05506c7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","August 2022"
"51334ba6-13e4-402a-a295-b7afbd518d87","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","September 2022"
"d66e96c9-c5df-4222-9b1e-adb7ce57f6dc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","October 2022"
"a95f0614-db36-4b85-a2a9-7cc26c4ee7fe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","November 2022"
"ea5e775d-1395-4733-bad9-d951f147b080","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","December 2022"
"81d78fbf-404f-4f1c-894b-84d569307ca7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","January 2023"
"e0deb8a7-3515-471e-9e34-b42a306da5f3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","February 2023"
"04e74e73-46cf-450f-9fc8-5cb47be2c619","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","March 2023"
"0a55a536-4c61-4175-955b-142b9738a2e8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","April 2023"
"0b08931a-0081-4b29-a417-cda2d5770b4f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May 2023"
"5f6697ed-3c5d-477d-8011-e6793622d16e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","June 2023"
"9fc20212-8590-4dfc-ad06-cf110b14bb67","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","July 2023"
"946ab60c-581a-4a57-b404-c63373ba1939","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","August 2023"
"a3814f3e-0143-4aba-b615-d1623da768e9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","September 2023"
"2436cc1d-f02c-4dba-8ba3-e1d4414ddbea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","October 2023"
"02398b0d-15a6-4d39-a7c0-8246ed3fd647","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","November 2023"
"b3b374dc-b0f7-4c51-882a-d34817cb6568","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","December 2023"
"d05d6432-8a32-4ab0-8795-d7918807ac9f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"2004be88-12ca-4008-b0c6-0a49cb036e6e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","August 2022"
"f82712a4-ea33-4b80-8f52-8076df95940c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","September 2022"
"10c3e083-d407-4ffd-991c-e88a4eb2c4b0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","October 2022"
"3bf8ffbc-73b9-433b-a678-4c2d29941595","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","November 2022"
"962d6c61-c679-490e-9d75-db6ead04e582","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","December 2022"
"e229e6d0-3616-4509-b00e-75e51a295c0d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","January 2023"
"be154e2b-9b9d-4cce-ba3c-6010458cb47b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","February 2023"
"b61a8ce1-b7c1-4d18-a733-a654ab0cfc61","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","March 2023"
"37815b17-27fe-42f1-8956-499a08d47543","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","April 2023"
"5d3aaf93-093e-4080-bec0-34daa080ccac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May 2023"
"bf00eade-9650-4ecc-b5ea-fb9017ce308c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","June 2023"
"940f1933-be2c-475e-ad91-b796b29272f5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","July 2023"
"dbeb55ca-6692-4c2f-bbcb-7a247bb6a152","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","August 2023"
"83a8f442-c1b1-4a51-bb51-f400bf3bb6df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","September 2023"
"7511dbc5-9f85-44b7-a98f-8d7feb5c96b0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","October 2023"
"4af13b8b-99ec-480b-9579-4312967b3e10","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","November 2023"
"0ee8c804-9e94-4d07-815d-ba96eeef5f95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","December 2023"
"bb52368f-6599-46f3-80ab-ee40b3f95151","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","TA/JSEA"
"559e06b3-d337-4376-b7e7-016f95015099","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","August 2022"
"9a03210c-2d9c-4e3f-8133-6ea67791c0f2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","September 2022"
"ba928aae-e702-4709-9b3d-5b381b1dd8ba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","October 2022"
"1b8575ee-ceaf-4f54-ac42-650c5d19cfb4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","November 2022"
"6a05fd31-bf4e-493b-8560-0d932a3992c2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","December 2022"
"31af6c3b-f17f-4c69-a78d-3658113724a0","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","TA/JSEA","January 2023"
"35414933-d91c-42f4-a25a-fac63adec020","","checklist-flat","pass","Miscellaneous Docs","checklist-flat","FALSE","FALSE","Health and Safety","TA/JSEA","January 2023","Name TA Reviewed- Forklift Operating at the yard 19.01.23"
"b6c30b24-df76-439e-86b5-9ac2ec166bf6","","checklist-flat","pass","Miscellaneous Docs","checklist-flat","FALSE","FALSE","Health and Safety","TA/JSEA","January 2023","Name:TA Reviewed - Stacking cages, stillages, pallets , frames & bundles - 23/01/23"
"ad60d8b2-34b6-4f72-b3d3-e708d7b416b0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","February 2023"
"02a5f1ee-c3de-4dfe-b108-aa6a57e99e4f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","March 2023"
"6bf436fc-73d4-4567-b17f-a19fd05cc98e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","April 2023"
"cbb78ac3-b865-4efa-ba52-58416a32c011","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","May 2023"
"53b7ae09-126b-4cc9-8370-5ac24ebf7e00","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","June 2023"
"c87ccf12-96de-48b5-8829-25ff52ae529e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","July 2023"
