"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4c7bc325-759e-4dec-a623-5598a487f836","","","","folder","TRUE","FALSE","Site QA"
"0cf95069-3cd1-470b-95c2-6f0023ad45fd","","","","folder","TRUE","FALSE","Site QA","Ground"
"567fd4c0-ba64-44a1-9216-1e8854257ab8","","","Lobby","checklist","FALSE","FALSE","Site QA","Ground","West Tower Residential Lobby"
"0fb877e4-1a3e-4e7c-b4d9-5a6fbce49294","","","Lobby","checklist","FALSE","FALSE","Site QA","Ground","East Tower Residential Lobby"
"db0cffed-e9ac-4026-a6e0-0df91a13686b","","","Lobby","checklist","FALSE","FALSE","Site QA","Ground","Hotel Lobby"
"f0181950-5ec0-4256-9cb1-3ecfb1150fd9","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","Ground","Hotel Staff Locker Room"
"94852bf5-986a-4e9b-9b2b-1d0c628569d7","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","Ground","Hotel Lobby Toilets"
"86fad516-e38c-4256-b6e4-19552b0ffbf9","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","Ground","Pub Kitchen"
"cc984841-366c-4385-9b78-a2e3cb741517","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","Ground","Pub Toilets"
"27e8d090-7059-44ed-aebe-9feb7e82e4c2","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","Ground","Pub"
"142f5b55-4cd7-4735-aabd-903f9c9b1498","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","Ground","Gaming Room"
"28b592cf-5126-4e10-97ae-54ff784c642b","","","","folder","TRUE","FALSE","Site QA","Level 1"
"379598d1-840a-400f-aba5-7f920a5d768f","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 1","West Tower Lift Lobby"
"355380f5-a65f-421a-865a-a931eb286f2a","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 1","East Tower Lift Lobby"
"11bd0a9f-4826-4c5f-9f9f-48b0c68123d8","","","","folder","TRUE","FALSE","Site QA","Level 2"
"35e6100f-3a0a-4ef2-8e76-372138f26531","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 2","West Tower Lift Lobby"
"7a92bf92-6e6a-42fb-a749-ae584a01a229","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 2","East Tower Lift Lobby"
"31f949c1-361e-4422-ad24-bbc4b128295e","","","","folder","TRUE","FALSE","Site QA","Level 3"
"30db35e0-52c6-4f21-8b1e-317684266272","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 3","West Tower Lift Lobby"
"a2639209-5fed-4c04-ad2a-a23bfa9c3f51","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 3","East Tower Lift Lobby"
"f5d163a6-eb4e-4ff0-a550-a52a8dbc181d","","","","folder","TRUE","FALSE","Site QA","Level 4"
"2d13947b-20f0-4388-aafb-551f34d88d12","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 4","West Tower Lift Lobby"
"58f017c1-521d-458d-9468-8095826b6f76","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 4","East Tower Lift Lobby"
"b2a8e649-7b0d-4bbc-92ea-02e1f73ff36b","","","","folder","TRUE","FALSE","Site QA","West Tower"
"1817e8ee-343e-4266-9319-955cbb6edc7e","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5"
"a125086d-ac29-4c4c-ac9b-829a5b6fe27a","","","Lobby","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","Lobby"
"86677bb0-a0be-4ca4-9458-bf6843aaaa9e","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","501"
"b8a754db-0b7e-439f-8c05-5731a1fee7f1","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","501","Kitchen, Lounge & Dining"
"4a5e63f5-3089-4840-acdf-f87b7b90383f","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","501","Bathroom & Laundry"
"8c8eca8f-c6db-48ab-b0c6-cb81e0152391","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","501","External Wet Areas"
"127d0146-0717-446a-b88a-54bbb815c0dc","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","502"
"c758deb9-7ee8-44bc-9ed6-6d35e3a2689c","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","502","Kitchen, Lounge & Dining"
"374ada72-4431-42b6-8b29-02448dbf5cfe","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","502","Bathroom & Laundry"
"7c296d15-91ca-4e91-ae72-1563087060d0","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","502","External Wet Areas"
"c68ecb4b-26bb-46de-9967-1b90b2f1cb19","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","503"
"12848235-b5c9-4b36-aa4d-6e9bc8790210","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","503","Kitchen, Lounge & Dining"
"49d3a37b-163e-4afd-b38e-ff5f1b97da8d","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","503","Bathroom & Laundry"
"bc07b7ed-8478-4363-82c6-5dc7b26efac9","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","503","External Wet Areas"
"18056e79-b303-47aa-a4cc-1365a0455e5e","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","504"
"329f8523-57f8-41c9-b651-bbf4c41ab930","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","504","Kitchen, Lounge & Dining"
"2a29f096-6171-4815-ae9e-2be9285f16bd","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","504","Bathroom & Laundry"
"f2f9b7ef-91ef-4e15-9997-6282f71baeea","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","504","External Wet Areas"
"d07a7d52-556a-43de-a686-eedcdd6e8bfa","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","505"
"9d36518d-8e44-40a8-8343-ced3b23909a9","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","505","Kitchen, Lounge & Dining"
"b749a6d1-7d1e-4e77-85fc-37815bc00800","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","505","Bathroom & Laundry"
"91d72df1-01e7-4b88-8e20-c7ba6a73e3c5","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","505","External Wet Areas"
"05da3684-3223-4b3b-a101-92b585f377a5","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","506"
"f4d41936-235a-4b50-a7ce-03713e95c68f","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","506","Kitchen, Lounge & Dining"
"4a645d95-58d9-4e88-9b76-63f2ecad2fea","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","506","Bathroom & Laundry"
"28ee12b3-e49b-48bf-a0e9-b4f5a05ee92c","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","506","External Wet Areas"
