type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist-flat,Smoke Clearance Fans,,,,,,Smoke Clearance Fans Checklist,,
checkpoint,"Technical data from Unit, Motor & drives match equipment schedules",,,,,,,,
checkpoint,Equipment Identification labels installed.,,,,,,,,
checkpoint,All components installed as per Mechanical shop drawings,,,,,,,,
checkpoint,Transport bolts and packing material Removed,,,,,,,,
checkpoint,Mounting and anti vibration mounts installed,,,,,,,,
checkpoint,Fan & motor rotate freely,,,,,,,,
checkpoint,Plenums / ducting & balance area clean and clear of debris,,,,,,,,
checkpoint,Electrical connections complete and Mains power available,,,,,,,,
checkpoint,Control wiring complete including any local operating controllers,,,,,,,,
checkpoint,Mechanical electrical contractor preformed Pre Commissioning ITP/ITC,,,,,,,,
checkpoint,Mechanical electrical contractor has verified operating voltage & amps,,,,,,,,
checkpoint,Fan rotation verified by electrical contractor,,,,,,,,
checkpoint,Controls functionality programmed and operational,,,,,,,,
checkpoint,System is ready to be put into manual / automatic operation.,,,,,,,,
checkpoint,System has been commissioned & balanced.,,,,,,,,
checkpoint,Fire interface connected and operational,,,,,,,,
checkpoint,System correctly operational & placed into Automatic service.,,,,,,,,
,,,,,,,,,
checklist-flat,MSSB,,,,,,MSSB Checklist,,
checkpoint,MSSB mounted in position,,,,,,,,
checkpoint,MSSB labelled correctly,,,,,,,,
checkpoint,Required clearance provided to MSSB,,,,,,,,
checkpoint,Cables connected into MSSB and all terminated and labelled,,,,,,,,
checkpoint,Main power connected to MSSB,,,,,,,,
checkpoint,MSSB energisation form provided to builder,,,,,,,,
checkpoint,Fire interface cable supplied & fitted off.,,,,,,,,
checkpoint,MSSB commissioned and operational,,,,,,,,
,,,,,,,,,
checklist-flat,Fire Damper,,,,,,Fire Damper Checklist,,
checkpoint,Fire damper installed correctly,,,,,,,,
checkpoint,Fire damper labelled,,,,,,,,
checkpoint,Fire damper sealed correctly,,,,,,,,
checkpoint,Photo required of installation,,,,,,,,
,,,,,,,,,
checklist-flat,Fans,,,,,,Fans Checklist,,
checkpoint,"Technical data from Unit, Motor & drives match equipment schedules",,,,,,,,
checkpoint,Equipment Identification labels installed.,,,,,,,,
checkpoint,All components installed as per Mechanical shop drawings,,,,,,,,
checkpoint,Transport bolts and packing material Removed,,,,,,,,
checkpoint,Mounting and anti vibration mounts installed,,,,,,,,
checkpoint,Fan & motor rotate freely,,,,,,,,
checkpoint,Plenums / ducting & balance area clean and clear of debris,,,,,,,,
