"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e53a9537-c066-45f9-9559-bec26411afab","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements"
"85ebbe8d-117f-409b-997c-a6c5a9e5e037","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements","Type A"
"4d1b6ea5-5d56-4232-96d9-0a53a7577580","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Type A","DTM-ITP-003- Type A - LOT-001 CH10100-CH10180"
"b047b855-03a9-44e2-8fca-04f20f4249e5","","no-status-not-started","","folder","TRUE","FALSE","Unbound Flexible Pavements","Class 4"
"9e66ced9-41b5-4c8a-a949-88cd8e5e2aec","","work-in-progress","","folder","TRUE","FALSE","Earthworks and Demolition"
"7499c34a-5534-4c86-9e5d-13e57d39fb2b","","work-in-progress","","folder","TRUE","FALSE","Earthworks and Demolition","Subgrade"
"a8cc6c8e-2546-412f-846c-f5ea3e844f5a","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Earthworks and Demolition","Subgrade","DTM-ITP-003- Subgrade - LOT-001 CH10040-CH10170"
"0ff88d05-7a78-46c0-bb2b-ff5922015f29","","pass","","folder","TRUE","FALSE","Clearing and Grubbing"
"5b81ea8c-fdf8-4925-83be-9c356d4f9c37","","pass","DTM-ITP-001- Clearing and Grubbing Rev0","checklist","FALSE","FALSE","Clearing and Grubbing","DTM-ITP-001-LOT-001- Clearing and Grubbing (South of Davey)"
"06158f1a-3de5-4aef-96b0-ea6aa6802b20","","pass","DTM-ITP-001- Clearing and Grubbing Rev0","checklist","FALSE","FALSE","Clearing and Grubbing","DTM-ITP-001-LOT-002- Clearing and Grubbing (North of Davey)"
"ebe79ac1-77e3-4db0-90b4-268533e09399","","work-in-progress","","folder","TRUE","FALSE","Service Relocations - Telstra and NBN"
"4ba13762-f7fc-43e4-a124-31d3faa13f9f","","work-in-progress","DTM-ITP-004- Service Relocations - Telstra and NBN Rev1","checklist","FALSE","FALSE","Service Relocations - Telstra and NBN","DTM-ITP-004-A2-LOT-001 - PF12-05 to PF12-06"
