"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"df302a38-8d6d-42d6-9b0d-813786e8ea81","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"45be4b7f-8814-47ca-aaa8-987c58a84163","","checklist-flat","not-started","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Structural Drawings"
"e1250702-8f16-42a7-a52d-67a5fc8569d5","","checklist-flat","not-started","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Survey As Builts"
"c37eca0e-e901-4097-a356-d97c53203722","","checklist-flat","not-started","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Pour Plans"
"2f870675-b2c7-4920-b7c7-f7a7ee03154f","","checklist-flat","not-applicable","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Progress Photos"
"14d2bd7a-3508-4355-ad0f-c25805cd2017","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft"
"50065f0b-7779-4cd6-859d-cbedc14046ee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Base Slab"
"9c575108-620b-4d68-8d37-1a44026ccb20","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Formwork Element Handover"
"6011b406-646f-41f6-89bc-ff05293a3c73","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Finished Element Handover"
"ec9c2214-c48a-4496-915a-a519816608a5","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Pre Pour ITP"
"188b8197-f2b3-427a-bd1a-8d9f3098dcec","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Concrete & Reinforcement ITP"
"5d9e753d-b021-4515-bd61-0504df616138","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Formwork Stripping"
"af31a100-ab07-445e-a0b5-403163592a4a","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","3rd Party Sign Off"
"69c98f5e-8f6c-45fc-91a8-ef2d561c5cd1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 2"
"69dd31da-c2df-4e60-bae8-c8567bc1e527","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs"
"a9589c01-a31e-4b95-8656-cbd1f85c974f","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs","Formwork Element Handover"
"c11a8a2d-36dc-4a47-80e3-f83e57039054","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs","Finished Element Handover"
"c401f981-a7fe-40c6-a448-9407113eb68c","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs","Pre Pour ITP"
"c7aaace1-0acb-4485-bf83-7bce1178d8f1","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs","Concrete & Reinforcement ITP"
"efdbdc27-ff6f-4e95-a279-0f22cc82670d","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs","Formwork Stripping"
"7900bb89-e603-4048-b3f1-25d60e60141e","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs","3rd Party Sign Off"
"0b346715-5a7e-4c81-b8a7-35cf6d835f6a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Retaining Walls"
"2c7d1637-a56a-46fd-948d-ba59834c2f87","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Retaining Walls","Formwork Element Handover"
"bf4a239c-c2e3-4164-9e68-0ff4f1473a6a","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Retaining Walls","Finished Element Handover"
"130511d1-c862-4420-9144-ee464cb95a80","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Retaining Walls","Pre Pour ITP"
"37efa040-3c0f-4285-8b54-8ce174964da8","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Retaining Walls","Concrete & Reinforcement ITP"
"d0a7faaf-08d4-4404-8271-d0d1b4a09f0d","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Retaining Walls","Formwork Stripping"
"683ee80b-9935-482d-bf75-ff774dad3289","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Retaining Walls","3rd Party Sign Off"
"92fadc39-9822-4ae7-8b84-794a7b2e40a7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Waler & Strut Beams"
"f29eea6c-cd85-4078-b0aa-7e3e17c4357e","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Waler & Strut Beams","Formwork Element Handover"
"970f211d-64b6-4c6d-a26e-20971c0cbea5","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Waler & Strut Beams","Finished Element Handover"
"9377d167-ece1-44a0-9235-7441499ee9be","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Waler & Strut Beams","Pre Pour ITP"
"49816a4c-48fb-4b33-a829-e9e289b17955","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Waler & Strut Beams","Concrete & Reinforcement ITP"
"965444d1-746d-47c5-835c-30995d4d7a7d","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Waler & Strut Beams","Formwork Stripping"
"bd0d905e-e72d-4bc9-9cc2-9cb2418b439f","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Waler & Strut Beams","3rd Party Sign Off"
"d2991116-3dfb-4572-b40e-08bcec6279fd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Columns"
"3c01677b-043d-42a3-b554-f3057af65122","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Columns","Formwork Element Handover"
"7c511b80-f12a-42ed-85cc-921fe0965b49","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Columns","Finished Element Handover"
"bc196a70-eb8c-4166-8bdf-1fef3a68bdc3","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Columns","Pre Pour ITP"
"b4216d0f-1256-4ade-bdfd-8ff47cab22b2","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Columns","Concrete & Reinforcement ITP"
"c327c3b8-c17f-4425-b659-2f9cf114d266","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Columns","Formwork Stripping"
"9bf736fd-d178-4e68-8679-7cd64b1b667e","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Columns","3rd Party Sign Off"
"a844f2f5-1a57-427b-be0f-763a102b085d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 1"
"a0593cf2-ab37-4d2c-b180-114d7fcb79a3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Slabs"
"dabcd5ad-98f3-40f0-a319-5775fdb79fa9","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Slabs","Formwork Element Handover"
"5664efb9-6336-46f3-b7b8-d2eeb653f387","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Slabs","Finished Element Handover"
"2cb2b650-afdd-4cf2-ac6f-e33c028ad0b4","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Slabs","Pre Pour ITP"
"4f398a1f-8e6c-445a-99a7-36bd6a0e827a","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Slabs","Concrete & Reinforcement ITP"
"3851d810-5552-4e45-b003-67a494a18244","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Slabs","Formwork Stripping"
"6c9a75fa-67a1-49d3-b663-d642541fc87f","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Slabs","3rd Party Sign Off"
"200b2c38-620a-4eab-a248-3037f762867e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Retaining Walls"
"eb805270-a063-4dbe-8919-af50c73e5392","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Retaining Walls","Formwork Element Handover"
