"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ce96fd72-8c70-44af-ba1c-3181e3dae6dd","","work-in-progress","","folder","TRUE","FALSE","Contract QA"
"e946b725-5229-47b2-aaeb-619f6a3017ca","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Whole Project"
"faa7de1e-c9c6-40ae-9772-8ec57b218d00","","work-in-progress","26.00 - Contractor's Site Establishment","checklist","FALSE","FALSE","Contract QA","Whole Project","CSF-26.00-LOT-001 - Site Establishment"
"214556fe-336a-45f1-a5a5-0da156a6771c","","work-in-progress","29.00 - Environmental Management","checklist","FALSE","FALSE","Contract QA","Whole Project","ENV-29.00-LOT-001 - Environmental Management"
"25a6790a-1713-40fd-8d03-e856f339a662","","work-in-progress","33.00 - Signage Installation","checklist","FALSE","FALSE","Contract QA","Whole Project","TTM-33.00-LOT-001 - Traffic Management"
"ed4c3b98-90bb-4aad-a309-454810367147","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Whole Project","Traffic Signals"
"100046e0-ac67-4dd9-bc9e-8427dfdd1f75","","work-in-progress","36.00 - MRTS92 Traffic Signal and Road Lighting Footings","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","PNC-36.00-LOT-001 - Traffic Signal Pits and Conduits Survey"
"378ab1f9-0176-4da6-a6ae-35f98201c443","","not-started","","folder","TRUE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits"
"a154babd-3d69-47c4-9d8a-5cef84467dcb","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-001 - Conduit Run - E02-E02A"
"7a073e38-acfd-48cb-be02-3f3717d19cf2","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-002 - Conduit Run - E02A-E05A"
"a6043a63-ec37-4766-94f9-eb29c25bd12f","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-003 - Conduit Run - E02A-E05A"
"f5c94157-a6d0-4e20-9813-2619a58a413d","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-004 - Conduit Run - C02-C03A"
"09e93f48-fcd4-49ee-82a7-b136fff36253","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-005 - Conduit Run - E02A-E06A"
"bf4fb660-ecd1-4618-bfb3-0e072c2d0824","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-006 - Conduit Run - E06A-E06"
"4171311d-7d22-4c39-aa83-ecca318f8b36","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-007 - Conduit Run - E06-E11"
"719d8cfa-e54e-4290-8d88-c3e5fb635b62","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-008 - Conduit Run - E02-E09"
"ac523dee-14ee-43b8-992b-910b322f38e8","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-009 - Conduit Run - E11-E10"
"c168ef5c-3ada-43a4-aeb2-7cc2bf2e6d05","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-010 - Conduit Run - C04-C05"
