Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Overall Progress,,,,,,,
,Scope,,,Site QA ,,,
,Rows,,,,,,
,,WP3,dynamic,WP3,Site QA ,,
,,WP4,dynamic,WP4,Site QA ,,
,Columns,,,,,,
,,Site QA ,,Site QA ,,,
,,,,,,,
Temp Boards,,,,,,,
,Scope,,,Site QA ,,,
,Rows,,,,,,
,,WP3 - JOCKEY AREA/MOUNTING YARD,grouping,WP3 - JOCKEY AREA/MOUNTING YARD,,,
,,TEMP BOARDS ,,WP3,JOCKEY AREA/MOUNTING YARD,TEMP BOARDS ,INSTALLATION OF TEMP BOARDS 
,,WP4 - TEMP BOARDS/TEMP LIGHTING,grouping,WP4 - TEMP BOARDS/TEMP LIGHTING,,,
,,GROUND ,,WP4,TEMP BOARDS/TEMP LIGHTING,GROUND ,INSTALLATION OF TEMP BOARDS 
,,LEVEL 1 ,,WP4,TEMP BOARDS/TEMP LIGHTING,LEVEL 1 ,INSTALLATION OF TEMP BOARDS 
,,LEVEL 2 ,,WP4,TEMP BOARDS/TEMP LIGHTING,LEVEL 2 ,INSTALLATION OF TEMP BOARDS 
,Columns,,,,,,
,,Area accessible & ready,,Area accessible & ready,,,
,,"Locate & fix into position, bolt temporary board down",,"Locate & fix into position, bolt temporary board down with at least 2 fixings",,,
,,Install submains cabling as appropriate,,Install submains cabling as appropriate eg: glands/tray/duct,,,
,,Install lugs & terminate,,Install lugs and terminate,,,
,,Cables not terminated prior to energisation removed from cubicle,,Any cables not terminated prior to energisation must be removed from cubicle at origin and have ends covered in heat shrink. At destination cables must be covered in heat shrink and be contrained in a junction box,,,
,,Clearly identify services,,Clearly identify services,,,
,,When ready to energise proceed in accordance with energisation procedure,,When ready to energise proceed in accordance with energisation procedure,,,
,,Energise & record results on Vast RCD test sheet,,Energise & record results on Vast RCD test sheet,,,
,,Install A3 laminated sign on face of temp board with floor plan,,Install A3 laminated sign on face of temp board with floor plan and where the board is fed from,,,
,,Update Temporary Power Board register,,Update Temporary Power Board register & save to project folder/design control/temp const.,,,
,,Determine what temporary board is controlling & confirm action,,Determine what the temporary board is controlling and confirm what action is required before board can be decommissioned.,,,
,,,,,,,
Temp Lighting,,,,,,,
,Scope,,,Site QA ,,,
,Rows,,,,,,
,,WP3 - TEMP LIGHTING,grouping,WP3 - TEMP LIGHTING,,,
,,HORSE AREA 1,,WP3,HORSE AREA 1,TEMP LIGHTING ,INSTALLATION OF TEMP LIGHTS 
,,HORSE AREA 2,,WP3,HORSE AREA 2,TEMP LIGHTING ,INSTALLATION OF TEMP LIGHTS 
,,JOCKEY AREA/MOUNTING YARD,,WP3,JOCKEY AREA/MOUNTING YARD,TEMP LIGHTING ,INSTALLATION OF TEMP LIGHTS 
,,WP4 - TEMP BOARDS/TEMP LIGHTING,grouping,WP4 - TEMP BOARDS/TEMP LIGHTING,,,
,,GROUND ,,WP4,TEMP BOARDS/TEMP LIGHTING,GROUND ,INSTALLATION OF TEMP LIGHTING 
,,LEVEL 1 ,,WP4,TEMP BOARDS/TEMP LIGHTING,LEVEL 1 ,INSTALLATION OF TEMP LIGHTING 
,,LEVEL 2 ,,WP4,TEMP BOARDS/TEMP LIGHTING,LEVEL 2 ,INSTALLATION OF TEMP LIGHTING 
,Columns,,,,,,
,,Area accessible & ready,,Area accessible & ready,,,
,,Refer to temporary wiring setout plan,,Refer to temporary wiring setout plan,,,
,,Fit off plug base and or powerpoint/isolator,,Fit off plug base and or powerpoint/isolator,,,
,,"Install light fitting, exit/emg, power",,"Install light fitting, exit/emg, power",,,
,,Terminate cable to temp board,,Terminate cable to temp board. Ensure temp board is isolated! Test Test Test,,,
,,Test & commission,,Test & commission,,,
,,,,,,,
Cable Tray,,,,,,,
,Scope,,,Site QA ,,,
,Rows,,,,,,
,,WP3 - HORSE AREA 1,grouping,WP3 - HORSE AREA 1,,,
,,INSTALLATION OF CABLE TRAY,,WP3,HORSE AREA 1,CABLE TRAY,INSTALLATION OF CABLE TRAY
,,WP3 - HORSE AREA 2,grouping,WP3 - HORSE AREA 2,,,
,,INSTALLATION OF CABLE TRAY,,WP3,HORSE AREA 2,CABLE TRAY,INSTALLATION OF CABLE TRAY
,,WP3 - JOCKEY AREA/MOUNTING YARD,grouping,WP3 - JOCKEY AREA/MOUNTING YARD,,,
,,INSTALLATION OF CABLE TRAY,,WP3,JOCKEY AREA/MOUNTING YARD,CABLE TRAY,INSTALLATION OF CABLE TRAY
,,WP4 - GROUND ,grouping,WP4 - GROUND ,,,
,,INSTALLATION OF CABLE TRAY ,,WP4,CABLE TRAY ,GROUND ,INSTALLATION OF CABLE TRAY 
,,WP4 - LEVEL 1,grouping,WP4 - LEVEL 1,,,
,,INSTALLATION OF CABLE TRAY ,,WP4,CABLE TRAY ,LEVEL 1 ,INSTALLATION OF CABLE TRAY 
,,WP4 - LEVEL 2,grouping,WP4 - LEVEL 2,,,
,,INSTALLATION OF CABLE TRAY ,,WP4,CABLE TRAY ,LEVEL 2 ,INSTALLATION OF CABLE TRAY 
,Columns,,,,,,
,,CO-ORDINATE WITH OTHER SERVICES,,CO-ORDINATE WITH OTHER SERVICES (CHECK FOR ANY CLASHES),,,
,,CONFIRM SIZE OF CABLE TRAY,,CONFIRM SIZE OF CABLE TRAY,,,
,,INSTALL FIXINGS & SUPPORTS AS NEEDED,,INSTALL FIXINGS AND SUPPORTS AS NEEDED,,,
,,INSTALL CABLE TRAY,,INSTALL CABLE TRAY,,,
,,COMPLETE SKETCH/MARK UP DRAWING FOR FUTURE AS BUILTS,,COMPLETE SKETCH/MARK UP DRAWING FOR FUTURE AS BUILTS,,,
,,,,,,,
Rough In,,,,,,,
,Scope,,,Site QA ,,,
,Rows,,,,,,
,,WP3 - WESTERN CAPRARK,grouping,WP3 - WESTERN CAPRARK,,,
,,MAINS/SUBMAINS,,WP3,WESTERN CAPRARK,ROUGH IN ,MAINS/SUBMAINS
,,LIGHT & POWER ROUGH IN ,,WP3,WESTERN CAPRARK,ROUGH IN ,LIGHT & POWER ROUGH IN 
,,STRUCTURED CABLING ROUGH IN,,WP3,WESTERN CAPRARK,ROUGH IN ,STRUCTURED CABLING ROUGH IN
,,WP3 - INTEGRITY BUILDING,grouping,WP3 - INTEGRITY BUILDING,,,
,,MAINS/SUBMAINS,,WP3,INTEGRITY BUILDING,ROUGH IN ,MAINS/SUBMAINS
,,LIGHT & POWER ROUGH IN ,,WP3,INTEGRITY BUILDING,ROUGH IN ,LIGHT & POWER ROUGH IN 
,,STRUCTURED CABLING ROUGH IN,,WP3,INTEGRITY BUILDING,ROUGH IN ,STRUCTURED CABLING ROUGH IN
,,WP3 - HORSE AREA 1,grouping,WP3 - HORSE AREA 1,,,
,,MAINS/SUBMAINS,,WP3,HORSE AREA 1,ROUGH IN ,MAINS/SUBMAINS
,,LIGHT & POWER ROUGH IN ,,WP3,HORSE AREA 1,ROUGH IN ,LIGHT & POWER ROUGH IN 
,,STRUCTURED CABLING ROUGH IN,,WP3,HORSE AREA 1,ROUGH IN ,STRUCTURED CABLING ROUGH IN
,,WP3 - HORSE AREA 2,grouping,WP3 - HORSE AREA 2,,,
,,MAINS/SUBMAINS,,WP3,HORSE AREA 2,ROUGH IN ,MAINS/SUBMAINS
