Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Fit Off Checklist - Anchor,,,,,Yes,Fit Off Checklist - Anchor,1c4e7432-a99e-44a6-a77d-71118f19c1e5
checkpoint-status,,,checkpoint,Confirm the structure is in accordance with the details supplied by Alta,,,,,,,
label,b10f16e7-1750-527a-bef0-cc9c3c802c1d,,note,If FAILED add brief explanation in comments and click below to email PM,,,,,,,
holdpoint,,,signoff,EMAIL PM,,,,,,,
checkpoint-status,,,checkpoint,Required number of photo(s) taken of installed anchor(s),,,,,,,
select,875be6d5-570f-560c-85fb-2d01c0f566f5,,dropdown,Anchor Type,"FROG 1 photo req,L4543 2 photos req,L4544 3 photos req,L4550 2 photos req,L4551 2 photos req,L4552 2 photos req,M16 Chemset 2 photos req,M16 Through BOLT 2 photos req,SAFETOR 3 photos req,Spiratech 1 photo req, 3M Engineered Anchor (2 photos - topside and underside) Nogging in accordance with Alta fixing details (1 photo required)",,,,,,
checkpoint-status,,,checkpoint,Installed as per Alta drawings supplied and manufacturer's requirements,,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Fit Off Checklist - Line,,,,,Yes,Fit Off Checklist - Line,3a5e84c5-0a10-449a-8fc9-33945ece2eed
checkpoint-status,,,checkpoint,Confirm the structure is in accordance with the details supplied by Alta,,,,,,,
label,6242ec89-db8b-4c92-ac8b-40331fb90cc3,,note,If FAILED add brief explanation in comments and click below to email PM,,,,,,,
holdpoint,,,signoff,EMAIL PM,,,,,,,
checkpoint-status,,,checkpoint,Photo taken of line pull test and swages,,,,,,,
checkpoint-status,,,checkpoint,Photo taken of Engraved Line Plate / ID Tag,,,,,,,
checkpoint-status,,,checkpoint,Video taken of system,,,,,,,
checkpoint-status,,,checkpoint,Installed as per Alta drawings supplied and manufacturer's requirements,,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Pre-Fit Off Checklist,,,,,Yes,Pre-Fit Off Checklist,65a620ce-6306-41f9-89a4-c5765e893d18
checkpoint-status,,,checkpoint,Confirm structure is in accordance to the details provided,,,,,,,
label,f33b5857-8198-41c5-971a-8ab0ef42c8f7,,note,If FAILED add brief explanation in comments and click below to email PM,,,,,,,
holdpoint,,,signoff,EMAIL PM,,,,,,,
checkpoint-status,,,checkpoint,Plinths/ bases/post installed in accordance with details provided,,,,,,,
checkpoint-status,,,checkpoint,Photos taken,,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Fit Off Checklist - Ladder System,,,,,Yes,Fit Off Checklist - Ladder System,777d045c-82f7-4ada-afa0-cd3b4f46cb33
checkpoint-status,,,checkpoint,Installed to manufacturer or Alta Installation instructions,,,,,,,
checkpoint-status,,,checkpoint,Installed as per AS1657:2018,,,,,,,
checkpoint-status,,,checkpoint,All fixings secure,,,,,,,
checkpoint-status,,,checkpoint,Top step of ladder flush with either walk-off kit or building edge,,,,,,,
checkpoint-status,,,checkpoint,No unsealed penetrations to the roof,,,,,,,
checkpoint-status,,,checkpoint,"If caged, cage start between 2m and 2.2m from ground level?",,,,,,,
checkpoint-status,,,checkpoint,"If ladder is above 3.5m, does it contain a cage?",,,,,,,
checkpoint-status,,,checkpoint,"If ladder is above 6m, does it have a mid-way platform?",,,,,,,
checkpoint-status,,,checkpoint,Photo uploaded of clean work area,,,,,,,
label,5f50f80d-11fd-53e4-bb26-26011948e759,,note,1 photo required,,,,,,,
checkpoint-status,,,checkpoint,Video taken,,,,,,,
label,839524b8-34f2-5de6-bd5c-f2d1b61c5f40,,note,1 photo required,,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Practical Completion,,,,,Yes,Practical Completion,bbe480ac-d302-4f69-aa3f-e7334c2f03e8
checkpoint-no-status,,,checkpoint,System installed and ready for review from Project Manager.,,,,,,,
holdpoint,,,signoff,Request Review from PM,,,,,,,
checkpoint-status,,,checkpoint,"Project Manager has reviewed, checked and approved system.",,,,,,,
checkpoint-status,,,checkpoint,PM to send to Alta admin to close out and archive,,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Fit Off Checklist - Miscellaneous Item,,,,,Yes,Fit Off Checklist - Miscellaneous Item,caffdbd8-d83b-414c-92c1-df8f638ba8fb
checkpoint-status,,,checkpoint,Confirm the structure is in accordance with the details supplied by Alta,,,,,,,
label,31d45639-4a4a-4893-9d3e-5407e3a8b1f5,,note,If FAILED add brief explanation in comments and click below to email PM,,,,,,,
holdpoint,,,signoff,EMAIL PM,,,,,,,
checkpoint-status,,,checkpoint,Photos taken of installed item,,,,,,,
checkpoint-status,,,checkpoint,Installed as per Alta drawings supplied and manufacturer's requirements,,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Rail Checklist,,,,,Yes,Rail Checklist,d47befb5-2c5c-4349-b10c-17c147749a17
