"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Building A","dynamic","building a"
,,"Building B","dynamic","building b"
,,"Building C","dynamic","building c"
,,"Building D","dynamic","building d"
,,"Building E","dynamic","building e"
,"Columns"
,,"Slab Penetration",,"slab penetration"
,,"Above Ground Sewer Drainage",,"above ground sewer drainage"
,,"Cold Water",,"cold water"
,,"Hot Water",,"hot water"
,,"Sanitary Waste & Vents",,"sanitary waste & vents"
,,"Stormwater Above Ground",,"stormwater above ground"
,,"Downpipe Installation",,"downpipe installation"
,,"Recycled Water",,"recycled water"
,,"Sanitary Fixture",,"sanitary fixture"
,,"Commissioning",,"commissioning"

