"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"63cf5b72-7515-4487-b8b3-8e71d72b0990","","checklist-flat","pass","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"302300d8-caff-5972-b968-8528d81554c8","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"41a837c2-518b-5ca4-9f3c-284ac44381af","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"76eef4db-b534-5806-8746-2011a3e7e2cb","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"e926c7e1-7e1e-5b64-9c51-d3dff8902946","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"8c83359f-c878-53f9-9912-2965bca1e506","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"4573d7e6-9395-48ea-b0cc-d9c5cda3d9b4","","folder-normal","pass","","step","TRUE","FALSE","QA"
"77d940d3-d9c4-4667-a357-80d6be7216fc","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems"
"b2500eed-4f3c-4cec-be3e-c7264b22c58f","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01"
"3aa53658-f05a-4fd5-aab6-66cb459a6597","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01"
"6da4e7a8-3879-54a9-b650-32e640f96700","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"86271e18-8f08-564d-8f17-97f3e4db7daa","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"ad71d920-79ec-54da-b006-3da8f2aafbb5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"8a213903-83a8-585c-ac27-b898efba4068","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"01af5d4b-7eae-575a-a1a5-3e8436e2deba","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"d324a408-3fcd-586e-9d94-7ec6145b26a3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Video taken of system"
"d3ceaf55-cce9-578d-83cf-7436991af668","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"95838c76-0b26-4249-9705-a18ca44a3ab9","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02"
"064e3110-73e2-4a43-8cfe-df43e2d19bcc","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02"
"d90f563c-2b36-5210-bbe6-bcbda29efdaa","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
