resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,step,,,BASEMENT,,,,,,,,
Site Establishment and Safety Checklist,,,,,,,,checklist,,,,OHS,,,,,,,
Ductwork Checklist,Grille Fit-Off Checklist,,,,,,,folder-with-checklists,,,,DUCTWORK:,,,,,,,
,,,,,,,,step,,,,FANS:,,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,EAF-B1-01,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,EAF-B1-02,,,,,,
All Subbie Rough-in Progression Checklist,All Subbie Fit off & Testing Progression Checklist,As Builts Checklist,Indoor Equipment Checklist,,,,,folder-with-checklists,,,,SITE QA,,,,,,,
,,,,,,,,step,,,GROUND FLOOR,,,,,,,,
Site Establishment and Safety Checklist,,,,,,,,checklist,,,,OHS,,,,,,,
Ductwork Checklist,Grille Fit-Off Checklist,,,,,,,folder-with-checklists,,,,DUCTWORK:,,,,,,,
Pipework Checklist,Pipework Testing Checklist,,,,,,,folder-with-checklists,,,,PIPEWORK:,,,,,,,
,,,,,,,,step,,,,FCU UNITS: ,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-G-01,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-G-02,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-G-03,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-G-04,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-G-05,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-G-06,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-G-07,,,,,,
,,,,,,,,step,,,,FANS:,,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,OAF-GF-01,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,OAF-GF-02,,,,,,
All Subbie Rough-in Progression Checklist,All Subbie Fit off & Testing Progression Checklist,As Builts Checklist,Indoor Equipment Checklist,,,,,folder-with-checklists,,,,SITE QA,,,,,,,
,,,,,,,,step,,,LEVEL 1,,,,,,,,
Site Establishment and Safety Checklist,,,,,,,,checklist,,,,OHS,,,,,,,
Ductwork Checklist,Grille Fit-Off Checklist,,,,,,,folder-with-checklists,,,,DUCTWORK:,,,,,,,
Pipework Checklist,Pipework Testing Checklist,,,,,,,folder-with-checklists,,,,PIPEWORK:,,,,,,,
,,,,,,,,step,,,,FCU UNITS: ,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-01-01,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FACU-01-02,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-01-03,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-01-04,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-01-05,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-01-06,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,,,,,folder-with-checklists,,,,,FCU-01-07,,,,,,
,,,,,,,,step,,,,FANS:,,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,OAF-01-01,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,OAF-01-02,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,OAF-01-03,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,OAF-01-04,,,,,,
Fan Checklist,,,,,,,,checklist,,,,,OAF-01-05,,,,,,
,,,,,,,,step,,,,VAVs:,,,,,,,
VAV Checklist,Ductwork Checklist,,,,,,,folder-with-checklists,,,,,VAV--01-01,,,,,,
VAV Checklist,Ductwork Checklist,,,,,,,folder-with-checklists,,,,,VAV--01-02,,,,,,
VAV Checklist,Ductwork Checklist,,,,,,,folder-with-checklists,,,,,VAV--01-03,,,,,,
VAV Checklist,Ductwork Checklist,,,,,,,folder-with-checklists,,,,,VAV--01-04,,,,,,
All Subbie Rough-in Progression Checklist,All Subbie Fit off & Testing Progression Checklist,As Builts Checklist,Indoor Equipment Checklist,,,,,folder-with-checklists,,,,SITE QA,,,,,,,
,,,,,,,,step,,,ROOF,,,,,,,,
Site Establishment and Safety Checklist,,,,,,,,checklist,,,,OHS,,,,,,,
All Subbie Rough-in Progression Checklist,All Subbie Fit off & Testing Progression Checklist,As Builts Checklist,Ductwork Checklist,Pipework Checklist,Plantroom / Outdoor Equipment Checklist,Drains Checklist,Pump Checklist,folder-with-checklists,,,,ROOF:,,,,,,,
