"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b2921985-f068-4ac2-b6e1-e19368bd955e","","folder-normal","fail","","step","TRUE","FALSE","BASEMENT 4"
"d56dcbeb-651d-4925-91aa-693260dff32c","","folder-normal","fail","","step","TRUE","FALSE","BASEMENT 4","WATER TANK"
"a98b5cc2-6155-44a6-aa71-555c8f6f8ded","","checklist-sectioned","fail","Pre-Inspection Checklist","checklist","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist"
"3e241961-ee88-5927-8b26-fe8cae262111","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area"
"9a33c212-9ac2-56ea-91ad-4172cbab687b","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area","Has the builder provided a marked up plan on each area to be waterproofed?"
"28265c42-ab57-5354-9b66-6f56edf8ae65","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area","Has the concrete been cured for 28 days, date of pour to be provided?"
"ed7098b8-c25f-58e7-9a35-3bc7275b9be6","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area","Has concrete moisture test been carried out and the result was provided for the locations on a marked up plan?"
"685a7c4e-8754-531b-82a4-26b4cf5fc62f","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area","Is the concrete finished to an acceptable steel trowel class finish?"
"696f3ae6-b080-59ae-9b2e-bad669707215","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area","Have all tape, steel wire, nails, plywood or formwork, bracing, dyna bolt and/or steel brackets been removed and patched?"
"9dca4e6e-ab00-539a-ba95-6e52605f2457","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area","Is there any cracking in the substrate? If yes, an engineer’s report will need to be provided or the builder must sign off prior to commencement of works"
"b0acb04a-dc3f-5e20-9cb3-17ab9e4a7326","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area","Has any chemicals been used in the concrete process that may affect the membrane adhesion?"
"41a1dee5-398e-5c9f-9ace-6006aad95927","","checkpoint-group","not-applicable","","","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Hobbs"
"d02bdab3-184d-5311-98bc-56bea234214c","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Hobbs","Spalling"
"4a9b607b-6a57-597c-aa2c-06e1e491fb14","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Hobbs","Laitance"
"b8eb8dce-bd04-56fd-998b-46092ef71d81","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Hobbs","Boney Concrete"
"0cf9ccdc-bf6a-5f8a-acb9-22927fcf709c","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Hobbs","Prework was under standard"
"4d26dd4c-d469-5a4c-ae14-762a86ce0807","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Hobbs","Form Ply Ridges"
"c79a621d-6a63-58a1-8c0c-f0df11b71bc7","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Wall"
"7bd83814-7c92-5fdc-a7fb-dbc22a4a5596","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Wall","Spalling"
"a0737f8d-c84a-5d16-878d-b60fcc699f8d","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Wall","Laitance"
"dd3e107d-f760-572b-825a-7b4b4cd0cc20","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Wall","Boney Concrete"
"285becf7-51b7-5cd0-bae0-0000a971977e","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Wall","Prework was under standard"
"242801df-dede-55f8-ba84-cfd398705aca","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Wall","Form Ply Ridges"
"d9428a64-63b9-5820-b136-72d170ea07a4","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Floor"
"00aedbfd-ff03-579a-ae5a-79673cf86947","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Floor","Spalling"
