"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc407afe-e1aa-4b17-acaf-457592b840f3","","work-in-progress","","folder","TRUE","FALSE","Basement (B)"
"3e695419-d439-4a1f-b8f4-d0877d8d38af","","work-in-progress","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","L01","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"64b4bf8f-c8cc-46ba-8964-c8f7090b31c7","","work-in-progress","","folder","TRUE","FALSE","Level 02 Carstacker"
"17a940b6-880f-4009-bfef-c3c4512b4289","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Level 02 Carstacker","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"fba2460b-b8d9-406f-9f0c-2d8fc5374beb","","not-started","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Level 02 Carstacker","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"5ade7c5c-47b2-4510-9d69-34560a25511d","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Level 02 Carstacker","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"d9f3c950-aa46-4bda-a34e-f1cb88afc470","","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Level 02 Carstacker","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"c53d35f3-5cb7-49f6-a8f6-22b773bad534","","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Level 02 Carstacker","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"d2003868-4c6d-454b-bb90-ebaef0f533c6","","work-in-progress","","folder","TRUE","FALSE","L02"
"37c73226-df9a-44f6-8522-22d23d55def9","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L02","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"ca2800e8-72d9-45be-99f2-942cbd7a2dd5","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L02","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"d6ff2b4a-2de4-4a0c-804e-991390299b8f","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L02","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"52c1dbb3-b169-4c28-949e-f1cdd06c2018","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L02","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"a2dd41ba-9acc-43ce-a260-7f2a23c50bba","","work-in-progress","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","L02","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"82b0d7a4-2f70-44d5-bc62-4c3eb7a63eef","","work-in-progress","","folder","TRUE","FALSE","L03"
"d654cca4-e38d-4716-980b-ecf16b920afc","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L03","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"70285835-d008-48d9-a86f-d5f88f19ab31","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L03","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"2aacbaf0-4eea-451a-805b-fae064bfc21a","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L03","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"5dcb4ece-85ed-47c1-af5d-19dbaf391ebd","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L03","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"41b40e45-2ba4-4a3e-92fb-11ddb2008b97","","work-in-progress","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","L03","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"40572a63-44ec-4a2d-b117-7fbbfd3454aa","","work-in-progress","","folder","TRUE","FALSE","Level 04 Carstacker"
"971fdc97-4264-440d-b25b-48549f47c404","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Level 04 Carstacker","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"caf5efd2-ca94-42a9-b7b3-a62f7659d1a8","","not-started","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Level 04 Carstacker","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"4bf0c20e-eb3f-486d-b773-5a5d4e0e318c","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Level 04 Carstacker","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"0ab06eb0-65ad-4e4a-85f0-08f93962ba2c","","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Level 04 Carstacker","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"84ddbc29-3884-4234-b18c-beec39af2b64","","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Level 04 Carstacker","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"077b0b6d-d2a3-4ae2-9666-b27fccdbf3cf","","work-in-progress","","folder","TRUE","FALSE","L04"
"1e17d097-5dd0-4b15-a750-bef89500b802","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L04","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"90d70d37-907c-467a-883e-5e10bc26d498","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L04","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"be54e3ae-6307-4c0a-901e-00005c216ac2","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L04","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"c6e929da-9266-4177-ae68-170ac19bfa12","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L04","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"fce5d1ed-483b-461b-b315-bff204a82fb3","","work-in-progress","","folder","TRUE","FALSE","L05"
"f61590a2-4ea1-4361-b142-06a853017fc5","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L05","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"55c38b54-b97e-4b69-9d9c-ea322080076c","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L05","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"1e2ec2f9-6030-4d7d-856a-6d3f09a51514","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L05","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"5fc61b57-99e6-4812-babd-97c96d24d0ad","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L05","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"e48edcab-99a6-4de0-88e7-ff22a2f2f14a","","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","L05","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"08f7812c-776d-4b64-a8d3-d321a8d8df57","","work-in-progress","","folder","TRUE","FALSE","Level 06 Carstacker"
"18a8153f-8e01-4407-86a2-1c3b700a60e5","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Level 06 Carstacker","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"a6c9e1df-a035-4c51-82e1-1d5aaa049deb","","not-started","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Level 06 Carstacker","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"d0fe5bd7-afb8-4211-b583-1cd41d9a1ee8","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Level 06 Carstacker","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"a8b336fb-3241-4404-bafe-ec4381082b59","","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Level 06 Carstacker","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"12993346-7054-4e42-8f10-acb3fa7ba4da","","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Level 06 Carstacker","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"6ba75de7-d5a7-4c4e-b1b0-7d154436cdd5","","work-in-progress","","folder","TRUE","FALSE","L06"
"ef64ba1a-3d4a-4a5e-a470-a7b0df48fa58","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L06","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"8f8e10b6-2fab-47f3-a36d-3eb5825da851","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L06","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"bb40e8da-0d49-45bb-a242-387d72d00e85","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L06","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"498d135a-ed34-4eac-9fcb-965aad557323","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L06","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"9d50be57-9618-4ed5-81f0-5be66ca53b3f","","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","L06","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"8ebd3164-3242-4550-be88-457ea7ebec3b","","work-in-progress","","folder","TRUE","FALSE","L07"
"9f78eeaf-1c9f-47f4-b4c4-d75688eec490","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L07","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"f760161e-a715-4560-9469-e146db3071cd","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L07","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"16b6eca3-b064-4cc4-8d44-4043d8f93f14","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L07","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"9ca73cb3-11ce-442f-8f81-272d24b064d5","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L07","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"705af496-d0b2-45e4-957b-56f44a01de9b","","work-in-progress","","folder","TRUE","FALSE","Level 08 Carstacker"
"998d3131-dc60-4353-b80d-56451a83052b","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Level 08 Carstacker","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"fe16b049-6fb0-44d7-8d7a-6d09f6d63dff","","not-started","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Level 08 Carstacker","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"000b8723-7e4a-4a30-acfa-ef2873fda67a","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Level 08 Carstacker","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"a16cd88b-a228-47c1-90a2-3f16eeeb16a4","","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Level 08 Carstacker","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"5e2ffbdc-8106-4a64-8a5a-5a014f1358ba","","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Level 08 Carstacker","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"302623e4-b0f8-497b-945f-c7901412861b","","work-in-progress","","folder","TRUE","FALSE","L08"
"ce8f03e7-77aa-4c98-83ad-0f6d191d1cf4","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L08","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"724030c6-5f53-4e31-ae94-9a9dad197ede","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L08","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"53a8e80b-a8d6-41a0-973c-d80e6fe887d5","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L08","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"403cd9ea-8dcb-4ef3-8f77-484b3dd878b1","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L08","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"e3011991-648a-4013-ad5c-4e3eefc875d3","","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","L08","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"9eb092ae-cefe-4fda-8e72-8d4fb885483d","","work-in-progress","","folder","TRUE","FALSE","L09"
"d5d13489-61cd-4614-89cd-3e4381dd341a","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L09","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"8f61ec4b-9dd0-4092-ad08-552b40fdf0e9","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L09","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"244064c9-c064-4ee7-a22c-751f7b1c91df","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L09","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"03195b12-94f1-4784-8cc2-6d35b3c65dc0","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L09","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"c85fa5f0-9af5-4acd-97c9-fb991743ab8d","","work-in-progress","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","L09","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"aa4024ea-df1b-42ea-8e40-3f95eb0321a5","","work-in-progress","","folder","TRUE","FALSE","Level 09/10 Window Drenchers"
"9b9e66b5-3be0-40a1-962f-570c2e30d8e6","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Level 09/10 Window Drenchers","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"3d7c8d19-9aa3-467e-a54d-a5326a4f6047","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Level 09/10 Window Drenchers","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"1fd426df-3462-4a3d-9100-bd4864827397","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Level 09/10 Window Drenchers","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"9b266414-f1ab-4643-a761-ca26c99cb468","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Level 09/10 Window Drenchers","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"44118a83-ec17-4d06-b790-2173d642f732","","work-in-progress","","folder","TRUE","FALSE","L10"
"24a99503-ad5a-4808-baeb-5a24303d722a","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L10","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"ce8a4ec4-33b0-47eb-aa41-12e65390c9c0","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L10","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"8e687925-148f-4d42-8699-4891e8341e60","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L10","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"457ccdab-7ac8-4292-a7f7-0a33f63a78d2","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L10","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"90e1ffd2-7baf-4743-98a4-1eaf74add2de","","work-in-progress","","folder","TRUE","FALSE","L11"
"2c0dfb46-3196-4ebf-a635-c10e5aedbb07","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L11","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"b90fcd46-784d-4f0b-af81-1b9dd7c59849","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L11","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"da47d12b-38de-4371-a246-bf73a98e433a","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L11","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"6a05c087-da9f-4d66-9876-10aa193cd76c","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L11","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"7f5fc2a0-2fda-4080-bf0a-cfcf4e787528","","work-in-progress","","folder","TRUE","FALSE","L12"
"857f5571-6fa6-424a-9c4b-ed0ab65c78f3","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L12","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"567f646c-5a3b-409d-8b17-f7f6b4755c49","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L12","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"39a692b3-8124-4ee1-94ea-86dcd0a1f008","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","L12","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"de548767-b276-49fa-a747-4d6bb8b1b4a3","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","L12","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"7939544b-b519-415f-9397-75969bbdbc7b","","work-in-progress","","folder","TRUE","FALSE","L13"
"20b4b3c4-3e75-450f-835c-2d63e7791a68","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","L13","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"376cf082-14cb-42d2-8e86-e7bc18a7e13f","","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","L13","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
