Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
FT01 - Ground Floor - Level 02,,,,,,
,Scope,,,Site QA,FT01,Ground Floor - Level 02
,Rows,,,,,
,,Ground Floor - Level 02,dynamic,Ground Floor - Level 02,FT01,Site QA
,Columns,,,,,
,,Panel installed correctly & free from defects,,Panel has been installed correctly and is free from defects,,
,,Window Wall,Window Wall,Panel has been installed correctly and is free from defects,,
,,Curtain Wall,Curtain Wall,Panel has been installed correctly and is free from defects,,
,,Mullion Set Out,Mullion Set Out,Panel has been installed correctly and is free from defects,,
,,Steel,Steel,Panel has been installed correctly and is free from defects,,
,,Grids & RL's in place,,Grids and RL's in place,Panel completion,
,,Structural tolerance check,,Structural tolerance check,Panel completion,
,,Sub Frame/Brackets installed correctly,,Sub Frame/Brackets installed correctly,Panel completion,
,,Panel installed & secured with approved methods,,Panel installed and secured with approved methods,Panel completion,
,,Head bead/temp fixings installed,,Head bead/temp fixings installed,Panel completion,
,,Smoke flashing/Area caulked,,Smoke flashing/Area caulked,Panel completion,
,,Panel free from damage/scratches,,Panel free from damage/scratches,Panel completion,
,,All panels inspected & installed correctly,,All panels have been inspected and installed correctly.,Final Sign Off,
,,All variations/modification closed out,,All variations/modification have been closed out,Final Sign Off,
,,,,,,
FT01 - Level 03p1,,,,,,
,Scope,,,Site QA,FT01,Level 03p1
,Rows,,,,,
,,Level 03p1,dynamic,Level 03p1,FT01,Site QA
,Columns,,,,,
,,Panel installed correctly & free from defects,,Panel has been installed correctly and is free from defects,,
,,Window Wall,Window Wall,Panel has been installed correctly and is free from defects,,
,,Curtain Wall,Curtain Wall,Panel has been installed correctly and is free from defects,,
,,Mullion Set Out,Mullion Set Out,Panel has been installed correctly and is free from defects,,
,,Steel,Steel,Panel has been installed correctly and is free from defects,,
,,Grids & RL's in place,,Grids and RL's in place,Panel completion,
,,Structural tolerance check,,Structural tolerance check,Panel completion,
,,Sub Frame/Brackets installed correctly,,Sub Frame/Brackets installed correctly,Panel completion,
,,Panel installed & secured with approved methods,,Panel installed and secured with approved methods,Panel completion,
,,Head bead/temp fixings installed,,Head bead/temp fixings installed,Panel completion,
,,Smoke flashing/Area caulked,,Smoke flashing/Area caulked,Panel completion,
,,Panel free from damage/scratches,,Panel free from damage/scratches,Panel completion,
,,All panels inspected & installed correctly,,All panels have been inspected and installed correctly.,Final Sign Off,
,,All variations/modification closed out,,All variations/modification have been closed out,Final Sign Off,
,,,,,,
FT01 - Level 03p2,,,,,,
,Scope,,,Site QA,FT01,Level 03p2
,Rows,,,,,
,,Level 03p2,dynamic,Level 03p2,FT01,Site QA
,Columns,,,,,
,,Panel installed correctly & free from defects,,Panel has been installed correctly and is free from defects,,
,,Window Wall,Window Wall,Panel has been installed correctly and is free from defects,,
,,Curtain Wall,Curtain Wall,Panel has been installed correctly and is free from defects,,
,,Mullion Set Out,Mullion Set Out,Panel has been installed correctly and is free from defects,,
,,Steel,Steel,Panel has been installed correctly and is free from defects,,
,,Grids & RL's in place,,Grids and RL's in place,Panel completion,
,,Structural tolerance check,,Structural tolerance check,Panel completion,
,,Sub Frame/Brackets installed correctly,,Sub Frame/Brackets installed correctly,Panel completion,
,,Panel installed & secured with approved methods,,Panel installed and secured with approved methods,Panel completion,
,,Head bead/temp fixings installed,,Head bead/temp fixings installed,Panel completion,
,,Smoke flashing/Area caulked,,Smoke flashing/Area caulked,Panel completion,
,,Panel free from damage/scratches,,Panel free from damage/scratches,Panel completion,
,,All panels inspected & installed correctly,,All panels have been inspected and installed correctly.,Final Sign Off,
,,All variations/modification closed out,,All variations/modification have been closed out,Final Sign Off,
,,,,,,
FT01 - Level 03p3,,,,,,
,Scope,,,Site QA,FT01,Level 03p3
,Rows,,,,,
,,Level 03p3,dynamic,Level 03p3,FT01,Site QA
,Columns,,,,,
,,Panel installed correctly & free from defects,,Panel has been installed correctly and is free from defects,,
,,Window Wall,Window Wall,Panel has been installed correctly and is free from defects,,
,,Curtain Wall,Curtain Wall,Panel has been installed correctly and is free from defects,,
,,Mullion Set Out,Mullion Set Out,Panel has been installed correctly and is free from defects,,
,,Steel,Steel,Panel has been installed correctly and is free from defects,,
,,Grids & RL's in place,,Grids and RL's in place,Panel completion,
,,Structural tolerance check,,Structural tolerance check,Panel completion,
,,Sub Frame/Brackets installed correctly,,Sub Frame/Brackets installed correctly,Panel completion,
,,Panel installed & secured with approved methods,,Panel installed and secured with approved methods,Panel completion,
,,Head bead/temp fixings installed,,Head bead/temp fixings installed,Panel completion,
,,Smoke flashing/Area caulked,,Smoke flashing/Area caulked,Panel completion,
,,Panel free from damage/scratches,,Panel free from damage/scratches,Panel completion,
,,All panels inspected & installed correctly,,All panels have been inspected and installed correctly.,Final Sign Off,
,,All variations/modification closed out,,All variations/modification have been closed out,Final Sign Off,
,,,,,,
FT01 - Level 03p4,,,,,,
,Scope,,,Site QA,FT01,Level 03p4
,Rows,,,,,
,,Level 03p4,dynamic,Level 03p4,FT01,Site QA
,Columns,,,,,
,,Panel installed correctly & free from defects,,Panel has been installed correctly and is free from defects,,
,,Window Wall,Window Wall,Panel has been installed correctly and is free from defects,,
,,Curtain Wall,Curtain Wall,Panel has been installed correctly and is free from defects,,
,,Mullion Set Out,Mullion Set Out,Panel has been installed correctly and is free from defects,,
,,Steel,Steel,Panel has been installed correctly and is free from defects,,
,,Grids & RL's in place,,Grids and RL's in place,Panel completion,
,,Structural tolerance check,,Structural tolerance check,Panel completion,
,,Sub Frame/Brackets installed correctly,,Sub Frame/Brackets installed correctly,Panel completion,
,,Panel installed & secured with approved methods,,Panel installed and secured with approved methods,Panel completion,
,,Head bead/temp fixings installed,,Head bead/temp fixings installed,Panel completion,
,,Smoke flashing/Area caulked,,Smoke flashing/Area caulked,Panel completion,
,,Panel free from damage/scratches,,Panel free from damage/scratches,Panel completion,
,,All panels inspected & installed correctly,,All panels have been inspected and installed correctly.,Final Sign Off,
,,All variations/modification closed out,,All variations/modification have been closed out,Final Sign Off,
,,,,,,
FT02 / FT04 - FT02 Level 01S,,,,,,
,Scope,,,Site QA,FT02 / FT04,FT02 Level 01S
,Rows,,,,,
,,FT02 Level 01S,dynamic,FT02 Level 01S,FT02 / FT04,Site QA
,Columns,,,,,
,,Panel installed correctly & free from defects,,Panel has been installed correctly and is free from defects,,
,,Window Wall,Window Wall,Panel has been installed correctly and is free from defects,,
,,Curtain Wall,Curtain Wall,Panel has been installed correctly and is free from defects,,
,,Mullion Set Out,Mullion Set Out,Panel has been installed correctly and is free from defects,,
,,Steel,Steel,Panel has been installed correctly and is free from defects,,
