"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1b567945-cc4d-4c95-9e02-0c0f77016470","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"899f270a-ab42-55a3-8bfc-65a3fd27c24b","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"2bc6cf37-d992-4c11-b722-a9ca50618c8a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"c3bd9002-5cfb-4196-9e04-d053884f1d64","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Weld plate detail"
"55ca1397-76ca-51cb-bd00-90dbf1e5616a","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check"
"2d091dfe-de12-507e-9931-dfe1c9f333f6","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Dimensions"
"52f58593-19cd-5f0b-b5f5-a8c6c8ce5add","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Mould Clean"
"c4aa49fa-a4b7-51e1-a5c0-82ee2d6f435f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Mould Oiled"
"80ea9a10-1ba9-5eea-ae84-26cf73993118","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Mould - Workmanship"
"2647aa46-b501-5a5e-aefa-1637339f7711","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Reinforcing"
"5df8921c-6481-5630-b4bb-020619a83912","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Cast In Items"
"9762f098-edc2-5e3e-9ba7-97fa19c3ea3f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Marker Position and No."
"a20d9f80-559d-5fe1-abab-b7196219f4ed","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Pre-Pour Check","Make mould to Green Status"
"3fbb45d0-d797-5387-8e64-ecddbad6ca6a","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Concrete Works"
"71df578b-acff-5fa7-99ea-a0366a9bebaa","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Concrete Works","Concrete Works Details"
"611e2ee8-eada-5c91-8639-cd76ec891cad","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Concrete Works","Wilco Sample Taken"
"63cc683a-8ca5-5b86-8c3a-dce72742166c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Concrete Works","Bridgeman Sample Taken"
"54e0763a-14c6-5d56-a07a-9759264a73da","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Concrete Works","Supervisor Approval"
"4bcef869-49d0-5d5e-a7c3-17f750cc4faa","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Post Pour Check"
"c8d04e77-f593-59d9-b05c-402945e1dc4a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Post Pour Check","Edge Detail"
"b6a197e3-8b1e-543b-b5fe-1b6c5c752a5d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Post Pour Check","Bar Projections"
"0428ff38-4f77-58bd-b19e-c3ba9a506825","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Post Pour Check","Cast in items"
"fbe05c86-0eac-5c95-869e-944b4b6f3f24","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Stripping and Stacking"
"5071f3f5-fb27-5e62-9be4-07ac3860af85","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Weld plate detail","Stripping and Stacking","Stripping & Stacking"
"d90c67c8-38c9-4f0f-9d71-b2540d61d716","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 30 "
"40a2c4d5-dd4c-4026-a990-56478b55e297","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30 ","Panel -1"
"4f1b1026-c479-5957-8ecd-78316d815723","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check"
"b431c9f3-3f65-5113-8e5c-18b43f48ee42","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Dimensions"
"e285cf5c-93ee-5f9d-b4ec-6077f6c1ba50","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Mould Clean"
"13dc73cf-e91a-5d15-85d9-5e8183d90b45","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Mould Oiled"
"4ff11bd0-bc36-5a97-ae56-13176032648e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Mould - Workmanship"
"b2149f3b-e97b-59ea-a8ec-da4115082fdb","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Reinforcing"
"625a7755-726a-5bd0-b806-0da814e65ff5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Cast In Items"
"5f860832-d11f-5b04-a412-5401e71f6b5a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Marker Position and No."
"dbfe5e37-bcea-5988-8dbf-e090c20d0416","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Pre-Pour Check","Make mould to Green Status"
"845ed129-5a08-5b2e-b202-da46d02141a0","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Concrete Works"
"a808d05d-9db5-576f-bd7f-027c76c7b01f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Concrete Works","Concrete Works Details"
"c3277931-3285-5a9d-b7cd-772018c361db","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Concrete Works","Wilco Sample Taken"
"083f1e34-a1ee-5902-8abd-34de7ccee86e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Concrete Works","Bridgeman Sample Taken"
"d4b164a7-a4bb-5878-85e0-bdbe61baa1cf","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Concrete Works","Supervisor Approval"
"37e6d3ee-995d-5a97-a950-89314c87331d","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Post Pour Check"
"ceb996ac-c6b5-57d7-8ca7-afb57ca39dae","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Post Pour Check","Edge Detail"
"a8fbb9dc-d9e9-5d10-a58f-28b57f57710e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Post Pour Check","Bar Projections"
"8cd97710-d535-5c5d-a92a-d4e9c700e0e2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Post Pour Check","Cast in items"
"3b12fa25-f483-5f8c-8866-7c533dc46c8a","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Stripping and Stacking"
"1ce3f062-507e-520a-bd6d-59097bb1882a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -1","Stripping and Stacking","Stripping & Stacking"
"1ac24705-a11f-4e82-bb5a-ab6c5102ca5a","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 30 ","Panel -2"
"52c97233-96a1-521c-aeba-615799a70dfa","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -2","Pre-Pour Check"
"f12388a5-666b-5388-9dfc-97eaf5a47de7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -2","Pre-Pour Check","Dimensions"
"9c429ee3-3223-55ce-8cdb-aa6b729ca625","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -2","Pre-Pour Check","Mould Clean"
"fb006298-caac-5a90-866b-1f8871af1dfa","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 30 ","Panel -2","Pre-Pour Check","Mould Oiled"
