"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4a248a89-b2b5-4ea8-9d4e-44bd99f9515e","","checklist-flat","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283","checklist-flat","FALSE","FALSE","Allsheet & Voltex : Upper Level"
"c529943f-6f94-5673-8e90-11e7e9e75d9d","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:5a931ba8-70d6-45eb-a601-15e49fd55404","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Substrate to manufacturer's specifications (are there any voids that need filling, clean, etc.)"
"faaa4189-775e-5ab4-90a2-38ee024fc07d","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:b34989e8-2017-4465-a8ab-44c95bdd9247","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Form work acceptable"
"89ec118b-5130-5497-9b60-9b458bfa495c","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:7da676a7-502c-4860-8644-70d24dc1a34c","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Allsheet installed as per specification"
"fe4a663d-cf05-515e-8472-14d621e52dc7","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:27f53d76-18df-425b-a098-c7189aaa2246","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Penetration(s) detailed as per specification"
"f83fb08d-b299-5009-8de7-cc68a9da893a","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:816974d9-f77e-4bd7-9a31-532f9b1193a5","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Waterstop RX to construction joints"
"a2b6fb9b-c134-53eb-9e7b-ca25bdca335e","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:9dfad410-6503-4c39-8c9e-363b9224ca26","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Waterbar around piles"
"8d41cb0b-e561-5ba6-9dc8-614343b0f686","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:35aab054-c64c-47ce-a1e1-deddb02fa75b","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Swelltite installed to backfilled walls as per specification"
"92cb4fe2-ac22-5dac-8306-442a6895d033","","checkpoint-status","not-applicable","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:7cf9274e-d65b-4cfe-abdb-3a9af41f63cb","","TRUE","TRUE","Allsheet & Voltex : Upper Level","Photo of highlighted drawing showing locations of work"
"a36b854d-95b3-49c8-bf89-dea87e289afb","","checklist-flat","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283","checklist-flat","FALSE","FALSE","Allsheet & Voltex : Lower Level"
"d43344d0-a4d3-5561-87b1-dafaaf71d0f0","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:5a931ba8-70d6-45eb-a601-15e49fd55404","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Substrate to manufacturer's specifications (are there any voids that need filling, clean, etc.)"
"6e4c760d-c927-5b63-8a00-96705101ac56","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:b34989e8-2017-4465-a8ab-44c95bdd9247","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Form work acceptable"
"4a3c3797-f929-5835-b858-7ae42a056411","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:7da676a7-502c-4860-8644-70d24dc1a34c","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Allsheet installed as per specification"
"1003f76f-713a-5a1c-a817-3f118de6b2ac","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:27f53d76-18df-425b-a098-c7189aaa2246","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Penetration(s) detailed as per specification"
"30563304-5b51-5f56-83d4-7316a9c451e2","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:816974d9-f77e-4bd7-9a31-532f9b1193a5","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Waterstop RX to construction joints"
"a9886f54-cc62-5069-b28f-2615bbe7debb","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:9dfad410-6503-4c39-8c9e-363b9224ca26","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Waterbar around piles"
"b9546a68-5fff-56d8-b72c-59dc7d96af2e","","checkpoint-status","not-applicable","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:35aab054-c64c-47ce-a1e1-deddb02fa75b","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Swelltite installed to backfilled walls as per specification"
"3bad50c5-2701-52c6-80bc-bd6fa4e9e031","","checkpoint-status","pass","e189147a317e00ab0ef8bce6b9804ba174762cc9c2e87fcd0468d3a59bec5283:7cf9274e-d65b-4cfe-abdb-3a9af41f63cb","","TRUE","TRUE","Allsheet & Voltex : Lower Level","Photo of highlighted drawing showing locations of work"
