"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"969b2b4c-948f-4b0b-a113-9de1b10e4410","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"c0078c4c-bd1f-4221-b1cc-1773f077cde5","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Ground Floor","North"
"ca5b406f-93df-4b0c-a3e5-4c605b6d5cb4","","checklist-sectioned","fail","Cladding Checklist","checklist","FALSE","FALSE","Ground Floor","West"
"73fe7d63-be1b-40e0-9b42-55167842dcb1","","checklist-sectioned","fail","Cladding Checklist","checklist","FALSE","FALSE","Ground Floor","South"
"9a8ffa59-8af8-49e7-8b4e-7964c7feaf3b","","checklist-sectioned","fail","Cladding Checklist","checklist","FALSE","FALSE","Ground Floor","East"
"8aec8b5c-07bc-401a-8480-7226abdde107","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lv 1"
"5396cc85-0a7c-4b77-b147-ba6c607f6e5f","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 1","North"
"bdfb863c-0c7b-45f8-afd2-5ee32236c260","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 1","West"
"5f225a9f-d474-4d54-91ca-aa1fcb618922","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 1","South"
"f6c7b9e0-7ebd-4eab-976a-5b9305240543","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 1","East"
"5ca2b0df-f2df-4875-8504-259cd03951c5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lv 2"
"2431619e-d520-43b5-9b00-74b904faf5ea","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 2","North"
"4de1afef-1a65-4381-b262-73521dd658f2","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 2","West"
"98a48be2-7a88-4b70-a1dd-1647c002b71a","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 2","South"
"f8e4e64b-1249-4bc6-a643-7973d085a54d","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 2","East"
"e441f724-45ec-4fc4-8bdd-9961509c9031","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lv 3"
"51a78209-fb02-4aa0-b0ec-e9d314eb10b1","","checklist-sectioned","not-started","Cladding Checklist","checklist","FALSE","FALSE","Lv 3","North"
"603d8580-9dfc-4d5b-b636-6803926820a6","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 3","West"
"821eca80-823b-4792-94ed-18237571b15e","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 3","South"
"dae806f1-f0cf-41ec-9bd5-7cacd4fa02fe","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv 3","East"
"6715e9c0-195a-4045-bd4d-6523ea7d6121","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lv4"
"a791dd57-4a7d-429a-90b5-6d92d9e2c35c","","checklist-sectioned","not-started","Cladding Checklist","checklist","FALSE","FALSE","Lv4","North"
"34265e2f-ee84-416d-aa1d-c0ee5a88489e","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv4","West"
"377b1b0c-a0e1-4be6-b92e-9bdbde5cee32","","checklist-sectioned","not-started","Cladding Checklist","checklist","FALSE","FALSE","Lv4","South"
"d8bf0055-87f0-4eeb-813f-057e540b4b41","","checklist-sectioned","work-in-progress","Cladding Checklist","checklist","FALSE","FALSE","Lv4","East"
