type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-112-STR Precast L-shape Wall Rev1,itp,,,,,ITP-112-STR Precast L-shape Wall Rev1,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-STR-Precast L-Shape Wall (Supply & Installation),,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: Precast L-Shape Wall (Supply & Installation),,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 1,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 4/12/2023,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Matthew Dib/Jason Quan,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 610,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 620 ,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Precast Elements,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings 610.47 (a) Table 610.474,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Precast supplier is required to provide the following Quality Assurance documentation for each element, typically this consists of:",,,,,,,,,,,,,,,,,,,,,,
label,i. Certificate of Compliance / Birth Certificate,,,,,,,,,,,,,,,,,,,,,,
label,ii. Compressive strength test results,,,,,,,,,,,,,,,,,,,,,,
label,iii. Precast Lifting Design,,,,,,,,,,,,,,,,,,,,,,
label,iv. Pre-pour check sheet / ITP,,,,,,,,,,,,,,,,,,,,,,
label,v. Post-pour check sheet / ITP,,,,,,,,,,,,,,,,,,,,,,
