"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ac1e80f6-7d2c-4ea3-bd5d-947529ddc55e","","fail","","folder","TRUE","FALSE","Building B"
"f897c01c-597d-447f-9e97-a494b80e1084","","fail","","folder","TRUE","FALSE","Building B","Basement 1"
"57d1f404-9633-467e-a0b7-0257eb56cf34","","pass","Reference Drawing","checklist","FALSE","FALSE","Building B","Basement 1","Reference Drawing"
"d2de7f6c-1599-4aed-8e50-be76aa98c95c","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Blue (Superceded)"
"b7c1fd55-958e-548f-95d3-51d1341ceb81","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Blue (Superceded)","Lunch room (B.029)"
"a11b4edb-8634-5e87-8a5a-2dfb17ee7394","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Blue (Superceded)","Lunch room (B.029)","Pre Sheet Sign off"
"cb81b535-602d-51e3-9a92-a6bb38a517e4","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)"
"bd0cae32-c3be-5cf7-85e9-8a86168c436d","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","FM Control room (B.002)"
"5dc2bab0-57b9-51ba-81d5-8216a0677f21","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","FM Control room (B.002)","Pre Sheet Sign off"
"21fbe0d4-1fd9-52d2-a834-620e96d615b5","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","Training room (B.014)"
"a22ca948-814c-55fd-9bef-664887817ca9","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","Training room (B.014)","Pre Sheet Sign off"
"dddfb7c4-fdc0-57a0-884a-95d5b96899d7","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.039)"
"3a877fc7-f115-5319-888d-6a2342bd3883","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.039)","Pre Sheet Sign off"
"ce5cb3e1-eaf4-54c1-b183-62a47f51b74b","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.040)"
"9d61f700-210f-56d3-b35c-d65f66a09d09","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.040)","Pre Sheet Sign off"
"ca5397bd-b825-5c9d-babd-b36c25300fd7","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","Workstation (B.044)"
"48748403-2bab-5f32-ae5b-d0db216515d1","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","Workstation (B.044)","Pre Sheet Sign off"
"fb2c33cc-4b3b-5150-9ff8-1ebf2098d6dc","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","Meeting room (M) (B.048)"
"2f2b4945-5563-59a1-9b2b-3f543e6c9ce5","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","Meeting room (M) (B.048)","Pre Sheet Sign off"
"d45dcdaa-245c-53c9-8acb-d16be5191ba4","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.049)"
"7f50dcb6-857f-5239-940f-0d4cc396e517","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.049)","Pre Sheet Sign off"
"09aaaba1-8279-5ca1-abd5-fd5c15689617","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.050)"
"b84dadb2-aa0c-5e93-9e5a-0c72481eb4e5","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","Office (B.050)","Pre Sheet Sign off"
"2d3254ba-b0f7-52c0-ad48-57aea8a259e9","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Brown (Superceded)","File room (B.170)"
"c5258332-dcc2-55ff-873b-3bbc5102c7c1","","work-in-progress","Pre Sheet Sign Off - Basement 1/Lower Ground - old format","checklist","FALSE","FALSE","Building B","Basement 1","Brown (Superceded)","File room (B.170)","Pre Sheet Sign off"
"76b05f5f-7f50-4d10-83d8-0e23ce85d12d","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2"
"16f602de-225c-4a6b-bf7b-bafbc953836c","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Bin wash room (B.114)"
"8bcec24c-9468-4eae-9019-f0bf1f8739db","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Bin wash room (B.114)","Pre Sheet Sign off"
"c73bb28d-d684-4c1a-b355-7a61daf06eac","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Bin wash room (B.114)","Pre Grid Sign off"
