"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c4bcc5eb-6f48-43b2-a775-2e16a0b251fa","","fail","","folder","TRUE","FALSE","Building A"
"d1d08869-42cd-451a-8cb4-e455493875ae","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1"
"7e8f85a8-8301-4e2a-81c8-463fa3968dee","","pass","Reference Drawing","checklist","FALSE","FALSE","Building A","Basement 1","Reference Drawing"
"86b673b6-f71b-412b-8c60-bea208520996","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1"
"6a4a3a7e-767e-42d2-a7bd-37318929fe99","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1","Waste (A.184)"
"384bfd79-bb5e-4acf-927e-c357c42fb5dd","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Waste (A.184)","Pre Sheet Sign off"
"83c1f70b-d274-40b3-b324-b4621ad6151a","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Waste (A.184)","Pre Grid Sign off"
"467f1903-e5e7-4d47-982e-a13f48f12dab","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Waste (A.184)","Pre Ceiling Sign off"
"f2207d83-2e1d-424a-b31e-cfb4ecb6c58f","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1","Lobby (A.186)"
"3194b105-4349-49b1-a2ce-8502d51ffe60","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Lobby (A.186)","Pre Sheet Sign off"
"749db68b-2656-497b-af41-ba2213afb08e","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Lobby (A.186)","Pre Grid Sign off"
"9b15d14a-3129-4877-b308-f0b29d9f9f01","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Lobby (A.186)","Pre Ceiling Sign off"
"2ae2515b-2d7a-4f2b-ad89-b9f056bca408","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1","Supply Fan room (A.208)"
"afc808f1-60b4-475b-9547-96f89888b1d7","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Supply Fan room (A.208)","Pre Sheet Sign off"
"1e0e7abb-917e-4143-990f-37019994cb90","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Supply Fan room (A.208)","Pre Grid Sign off"
"32c0b1e4-785d-4c4b-8e7b-067d1b84b020","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Supply Fan room (A.208)","Pre Ceiling Sign off"
"ee05db4f-a409-4d8e-ab35-5118141452e1","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1","Air Plenum (A.209)"
"7df4c905-6865-4987-a8d8-63012a6e074f","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Air Plenum (A.209)","Pre Sheet Sign off"
"1f5126a4-584d-498f-ba40-d27c17a81c7f","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Air Plenum (A.209)","Pre Grid Sign off"
"ca21bc02-df85-46f5-a761-5bf4a754ea8d","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 1","Air Plenum (A.209)","Pre Ceiling Sign off"
"44a4ebb0-7454-43a2-a283-bdb08740d8fb","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2"
"b680a53f-ccd0-419d-84a0-c4387193dd84","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","DB Room (A.226)"
