Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Overall Progress,,,,,,,
,Scope,,,,,,
,Rows,,,,,,
,,Interior Fitout - Containment,grouping,Interior Fitout - Containment,,,
,,Containment,,Containment,Interior Fitout,,
,,Interior Fitout - Room,dynamic,Room,Interior Fitout,,
,,Interior Fitout - Distribution Switchboard,grouping,Interior Fitout - Distribution Switchboard,,,
,,Distribution Switchboard,,Distribution Switchboard,Interior Fitout,,
,Columns,,,,,,
,,IT Room,,IT Room,,,
,,Reception/Seating,,Reception/Seating,,,
,,Hallway,,Hallway,,,
,,WC 1-B,,WC 1-B,,,
,,WC 2-B,,WC 2-B,,,
,,Admin Office,,Admin Office,,,
,,Change Room 01,,Change Room 01,,,
,,Change Room 02,,Change Room 02,,,
,,Staff Break Outroom,,Staff Break Outroom,,,
,,X-ray & Control Room ,,X-ray & Control Room ,,,
,,Ultrasound 1,,Ultrasound 1,,,
,,Ultrasound 2,,Ultrasound 2,,,
,,Ultrasound 3,,Ultrasound 3,,,
,,Ultrasound 4,,Ultrasound 4,,,
,,1st Fix,,1st Fix,,,
,,2nd Fix,,2nd Fix,,,
,,Distribution Board DB-O-PG,,Distribution Board DB-O-PG,,,
,,Commissioning - Distribution Board DB-O-PG,,Commissioning - Distribution Board DB-O-PG,,,
,,,,,,,
INTERIOR - Containment,,,,,,,
,Scope,,,Containment,,,
,Rows,,,,,,
,,Containment - Catenery Wire Install,grouping,Containment - Catenery Wire Install,,,
,,Wood eye/concrete anchors installed & correctly fixed onto concrete slabs,,Wood eye/concrete anchors installed and correctly fixed onto concrete slabs,,,
,,Sufficient catenery wire supports installed at approx 1.2m intervals,,Sufficient catenery wire supports installed at approx 1.2m intervals,,,
,,Catenery wires installed at high level & meets clearence from other services ,,Catenery wires installed at high level and meets clearence from other services ,,,
,,Turnbuckles is tightened & catenery wire is well secured,,Turnbuckles is tightened and catenery wire is well secured,,,
,,Existing catnery wires are supported & fixed correctly where required,,Existing catnery wires are supported and fixed correctly where required,,,
,Columns,,,,,,
,,IT Room,,IT Room,Containment,Interior Fitout,
,,Reception/Seating,,Reception/Seating,Containment,Interior Fitout,
,,Hallway,,Hallway,Containment,Interior Fitout,
,,WC 1-B,,WC 1-B,Containment,Interior Fitout,
,,WC 2-B,,WC 2-B,Containment,Interior Fitout,
,,Admin Office,,Admin Office,Containment,Interior Fitout,
,,Change Room 01,,Change Room 01,Containment,Interior Fitout,
,,Change Room 02,,Change Room 02,Containment,Interior Fitout,
,,Staff Break Outroom,,Staff Break Outroom,Containment,Interior Fitout,
,,X-ray & Control Room ,,X-ray & Control Room ,Containment,Interior Fitout,
,,Ultrasound 1,,Ultrasound 1,Containment,Interior Fitout,
,,Ultrasound 2,,Ultrasound 2,Containment,Interior Fitout,
,,Ultrasound 3,,Ultrasound 3,Containment,Interior Fitout,
,,Ultrasound 4,,Ultrasound 4,Containment,Interior Fitout,
,,,,,,,
INTERIOR - Room,,,,,,,
,Scope,,,Room,,,
,Rows,,,,,,
,,Room - 1st Fix,grouping,Room - 1st Fix,,,
,,Cabling installed as per lghting & power locations reflected,,Cabling installed as per lghting and power locations reflected,1st Fix,,
,,"Data cables installed, cable labelled & confirmed as per data layout",,"Data cables installed, cable labelled and confirmed as per data layout",1st Fix,,
,,"Data cables are run on a separate cat wire, velcro tied in 24 data cables per bundle",,"Data cables are run on a separate cat wire, velcro tied in 24 data cables per bundle",1st Fix,,
,,Data cables ran back to comms cabinet,,Data cables ran back to comms cabinet,1st Fix,,
,,Correct size power/lighting cable installed as per cable calc to loads & voltage drop,,Correct size power/lighting cable installed as per cable calc to loads and voltage drop,1st Fix,,
,,Flush boxes mounted as per architectural elevation,,Flush boxes mounted as per architectural elevation,1st Fix,,
,,RFIS to set out & location are confirmed,,RFIS to set out and location are confirmed,1st Fix,,
,,Flush boxes for isolators installed above bench or at accessible location to appliance,,Flush boxes for isolators installed above bench or at accessible location to appliance,1st Fix,,
