resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 21,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 22,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 23,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 24,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 25,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 26,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 27,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 28,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 29,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 30,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 31,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 32,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 33,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 34,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 35,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 36,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 37,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 38,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 39,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 40,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 41,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 42,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 43,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 44,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 45,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 46,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Roof,,,,,,,,,,
,step,,,,Rough In,,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,Basement 5,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,Basement 4,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,Basement 3,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,Basement 2,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,Basement 1,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,Ground Floor,,,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,Corridor,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,101,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,102,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,103,,,,,,,,,
,step,,,,,Level 2,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,201,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,202,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,203,,,,,,,,,
,step,,,,,Level 3,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,301,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,302,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,303,,,,,,,,,
,step,,,,,Level 4,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,401,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,402,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,403,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,404,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,405,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,406,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,407,,,,,,,,,
,step,,,,,Level 5,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,501,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,502,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,503,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,504,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,505,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,506,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,507,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,508,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,509,,,,,,,,,
,step,,,,,Level 6,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,601,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,602,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,603,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,604,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,605,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,606,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,607,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,608,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,609,,,,,,,,,
,step,,,,,Level 7,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,701,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,702,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,703,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,704,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,705,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,706,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,707,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,708,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,709,,,,,,,,,
,step,,,,,Level 8,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,801,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,802,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,803,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,804,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,805,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,806,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,807,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,808,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,809,,,,,,,,,
,step,,,,,Level 9,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,902,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,903,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,904,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,905,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,906,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,907,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,908,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,909,,,,,,,,,
,step,,,,,Level 10,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1001,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1002,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1003,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1004,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1005,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1006,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1007,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1008,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1009,,,,,,,,,
,step,,,,,Level 11,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1101,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1102,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1103,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1104,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1105,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1106,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1107,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1108,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1109,,,,,,,,,
,step,,,,,Level 12,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1201,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1202,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1203,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1204,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1205,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1206,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1207,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1208,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1209,,,,,,,,,
,step,,,,,Level 13,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1301,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1302,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1303,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1304,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1305,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1306,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1307,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1308,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1309,,,,,,,,,
,step,,,,,Level 14,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1401,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1402,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1403,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1404,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1405,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1406,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1407,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1408,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1409,,,,,,,,,
,step,,,,,Level 15,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1501,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1502,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1503,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1504,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1505,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1506,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1507,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1508,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1509,,,,,,,,,
,step,,,,,Level 16,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1601,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1602,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1603,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1604,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1605,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1606,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1607,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1608,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1609,,,,,,,,,
,step,,,,,Level 17,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1701,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1702,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1703,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1704,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1705,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1706,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1707,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1708,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1709,,,,,,,,,
,step,,,,,Level 18,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1801,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1802,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1803,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1804,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1805,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1806,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1807,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1808,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1809,,,,,,,,,
,step,,,,,Level 19,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1902,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1903,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1904,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1905,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1906,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1907,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1908,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,1909,,,,,,,,,
,step,,,,,Level 20,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2001,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2002,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2003,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2004,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2005,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2006,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2007,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2008,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2009,,,,,,,,,
,step,,,,,Level 21,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2101,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2102,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2103,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2104,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2105,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2106,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2107,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2108,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2109,,,,,,,,,
,step,,,,,Level 22,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2201,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2202,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2203,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2204,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2205,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2206,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2207,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2208,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2209,,,,,,,,,
,step,,,,,Level 23,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2301,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2302,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2303,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2304,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2305,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2306,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2307,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2308,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2309,,,,,,,,,
,step,,,,,Level 24,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2401,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2402,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2403,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2404,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2405,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2406,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2407,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2408,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2409,,,,,,,,,
,step,,,,,Level 25,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2501,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2502,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2503,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2504,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2505,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2506,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2507,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2508,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2509,,,,,,,,,
,step,,,,,Level 26,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2601,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2602,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2603,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2604,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2605,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2606,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2607,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2608,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2609,,,,,,,,,
,step,,,,,Level 27,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2701,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2702,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2703,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2704,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2705,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2706,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2707,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2708,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2709,,,,,,,,,
,step,,,,,Level 28,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2801,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2802,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2803,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2804,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2805,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2806,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2807,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2808,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2809,,,,,,,,,
,step,,,,,Level 29,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,2901,,,,,,,,,
,step,,,,,Level 30,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3001,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3002,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3003,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3004,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3005,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3006,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3007,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3008,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3009,,,,,,,,,
,step,,,,,Level 31,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3101,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3102,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3103,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3104,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3105,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3106,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3107,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3108,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3109,,,,,,,,,
,step,,,,,Level 32,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3201,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3202,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3203,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3204,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3205,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3206,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3207,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3208,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3209,,,,,,,,,
,step,,,,,Level 33,,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3301,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3302,,,,,,,,,
ITR-001 Sprinkler System – Rough in,checklist,,,,,,3303,,,,,,,,,
