"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27ee9fee-b299-4a24-a658-b61604603e9f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Below Ground"
"c7f8442c-6c07-4001-97bb-48882a602ef2","","folder-normal","pass","","step","TRUE","FALSE","Below Ground","Site/Early Works"
"bd2a7657-8525-48ac-b936-f93f32822148","","checklist-flat","pass","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Document Upload"
"588dec42-855f-46a5-9185-0c459c4c7335","","checklist-flat","pass","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Below Ground Sewer Drainage"
"089cd6d3-a335-4cc9-a09d-a67d8a656aa3","","checklist-flat","pass","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Cold Water"
"4065cd66-543e-4f92-bff8-076825af82c0","","checklist-flat","pass","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Fire Service Inground"
"d247f892-2d4b-4b70-8787-448925794c79","","folder-normal","work-in-progress","","step","TRUE","FALSE","Below Ground","Zone 1"
"4e6e568c-fc43-4d9e-9d2a-238f0ea57e3a","","checklist-flat","pass","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Zone Plan Upload"
"39c125d8-8e45-424f-a7f2-5fd1ae4565fa","","checklist-flat","pass","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Below Ground Sewer Drainage"
"b1edaf99-5cb2-45f0-a11a-93e12952e3d9","","checklist-flat","pass","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Cold Water"
"fb253eb1-2d17-4598-8e93-296256f0df8b","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Sanitary Waste & Vents"
"618eec8d-c9aa-4b89-bd71-7d47f8224871","","checklist-flat","pass","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Stormwater Below Ground"
"b062cc1a-8a58-4165-9806-27c655b164b0","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Penetrations"
"6ffe41fc-94cd-4aa6-beed-ccf9d5d57dc5","","folder-normal","not-started","","step","TRUE","FALSE","Below Ground","Zone 1","Below Ground Sewer"
"d20fed61-203d-4fb7-b7a6-c33b51afd87d","","checklist-flat","not-started","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Below Ground Sewer","Below Ground Sewer Drainage - State Basketball Centre"
"cdeaafd4-e3a7-4aee-a3d6-b50157d11130","","folder-normal","work-in-progress","","step","TRUE","FALSE","Below Ground","Zone 2"
"fc82d6c7-eb04-449c-bf1f-8afe0fa4ddde","","checklist-flat","pass","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Document Upload"
"3a43468e-50fd-4a18-a698-d32fa24aefb5","","checklist-flat","pass","914107816cd413f3b4c6169cd44e5402aa0892e51c509a53134d0ae3bbce6634","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Below Ground Sewer Drainage"
"afc1c7ee-23a5-4f50-89b2-09bbaa507a99","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Cold Water"
"e80d7edc-c336-4cce-8b1c-ed7a463301ed","","checklist-flat","work-in-progress","03cdff6ea6e370dff0fdef82a6887473e96211bd5a7d455248a9f00af16109f8","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Stormwater Below Ground"
"934a06aa-6405-4373-9979-9f84ec50fbfa","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Penetrations"
"3147dd33-fee3-468d-a42b-aa8c2e3ba8c3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Below Ground","Zone 3"
"1d726641-271e-4e61-8534-437cbecb00a5","","checklist-flat","work-in-progress","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Document Upload"
"9d77b2f3-e43d-47e0-a320-2ec27c885ebe","","checklist-flat","not-started","914107816cd413f3b4c6169cd44e5402aa0892e51c509a53134d0ae3bbce6634","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Below Ground Sewer Drainage"
"e41dbc18-657a-4a85-b9c4-02965e9c9f2c","","checklist-flat","work-in-progress","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Cold Water"
"47cf8755-5d43-480b-9aff-d5f4a10d03fd","","checklist-flat","pass","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Stormwater Below Ground"
"6253dbfa-e480-4a30-93c0-3b5bcd392575","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Penetrations"
"7ac87083-c8a8-456c-b3f4-56cce6335974","","folder-normal","work-in-progress","","step","TRUE","FALSE","Below Ground","Zone 4"
"36920549-abdd-47f3-910b-ad6da58365dc","","checklist-flat","work-in-progress","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Document Upload"
"3d989c2a-46de-4be2-8215-3791b6a739a4","","checklist-flat","pass","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Below Ground Sewer Drainage"
"53db4306-e069-4f09-9dec-0543717b97dc","","checklist-flat","work-in-progress","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Cold Water"
"c54756ba-eef4-4e94-884e-f52d76a25a61","","checklist-flat","pass","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Stormwater Below Ground"
"c0b5fb2f-ed75-4cb8-a2c0-5690cce30c9c","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Penetrations"
