"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hydraulic Progress Overview"
,"Scope",,
,"Rows"
,,"Below Ground","dynamic","below ground"
,,"Ground Floor","dynamic","ground floor"
,,"Level 1","dynamic","level 1"
,,"Level 2","dynamic","level 2"
,,"Level 3","dynamic","level 3"
,,"Level 4 (Roof)","dynamic","level 4 (roof)"
,"Columns"
,,"Below Ground Sewer Drainage",,"below ground sewer drainage"
,,"Above Ground Sewer Drainage",,"above ground sewer drainage"
,,"Cold Water",,"cold water"
,,"Hot Water",,"hot water"
,,"Sanitary Waste & Vents",,"sanitary waste & vents"
,,"Sanitary Fixture",,"sanitary fixture"
,,"Stormwater Below Ground",,"stormwater below ground"
,,"Stormwater Above Ground",,"stormwater above ground"
,,"Downpipe Installation",,"downpipe installation"
,,"Recycled Water",,"recycled water"
,,"Syphonic Systems",,"syphonic systems"
,,"Pour 1",,"pour 1"
,,"Pour 2",,"pour 2"
,,"Pour 3",,"pour 3"
,,"Pour 4",,"pour 4"
,,"Pour 5",,"pour 5"
,,"Pour 6",,"pour 6"
,,"Pour 7",,"pour 7"

