type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,1630-P200-SYM-QAC-ITP-0015 Precast Stormwater Drainage Pits,,,,,Yes,1630-P200-SYM-QAC-ITP-0015 Precast Stormwater Drainage Pits,2451c140-96d4-4351-8545-ddea0bf57254,,,,,,,,,,,,,,,,,,,,
checkpoint-group,1.0 Pre-start activities,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.1 - Design,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.08(a),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Design has been provided, including Proof Engineering (by prequalified VicRoads engineer) to confirm that all requirements of AS5100 and additional loading requirements have been met.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Design,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Proof Engineer Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Lot map,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1.1.2 - Environmental Permit,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Environmental permit,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.2 - Concrete Mix Design,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.04(b),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - The concrete mix design used by the pre-cast supplier is approved and current in accordance with the requirements of VR610.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Concrete mix design,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.3 - Concrete Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.04(a),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Concrete has been provided in accordance with VR610 and VR705. The minimum grade of concrete is VR450/50.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Compliance Certificates or Dockets by Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.4 - Fibres,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.04(f) 705.08(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Fibres comply with the requirements of ASTM C1116 and have been supported with documentary evidence confirming their long term resistance to deterioration when in contact with the moisture and alkalis present in cementitious paste or the substances present in chemical admixtures.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Fibres have been tested to the requirements of ASTM C1609 (flexural toughness) and ASTM C1399 (average residual strength of fibre reinforced concrete) and comply with the requirements of AS 5100.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Evidence has been provided by the supplier than the minimum fibre content has been achieved.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• The worksheet and/or report for determination of fibre content shall be submitted to review by the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Compliance Certificates and/or Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Worksheet for determination of fibre content,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.5 - Wall thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - BTN033,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - For concrete drainage pits up to 2 m deep, the minimum wall and base thickness must be 100 mm. For concrete drainage pits more than 2 m deep, the minimum wall and base thickness must be 150 mm or thicker if required.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Where the depth of the concrete drainage pit exceeds 2 m there may be a need to adopt two different wall thicknesses in the construction of the complete pit. The wall thickness at the bottom will need to be a minimum of 150 mm thick whilst the wall thickness of the riser must be a minimum of 100 mm thick.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• The depth of drainage pit must be measured from the bottom of the pit towards the surface. The bottom 2 m must have 150 mm minimum wall thickness.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Where the depth of the drainage pit is over 2 m in height then it is acceptable to construct the complete pit as one section with 150 mm wall thickness.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Where the depth of the drainage pit is greater than 4 m, the wall thickness and reinforcement requirements must be structurally designed and Proof Engineered, but not less what has been specified under Section 5 for unhaunched concrete drainage pits up to 4 m in depth.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
