"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned",,"","checklist","CC0394 - ITP-009 - Fire Service Installation & Commissioning","itp",,,6,"Yes","CC0394 - ITP-009 - Fire Service Installation & Commissioning REV1","0667404f-8101-4c6f-8b80-3f8b8d570e71"
"checkpoint-group",,"","section","Lot Conformance."
"checkpoint-status",,"","checkpoint","Lot Conformance"
"select","b8be2ebd-6cd4-54a8-8781-29a47e12b83f","","dropdown","Lot Status","Awaiting Hold Point Release, Awaiting NCR Closure, Awaiting Test Results, Awaiting Verification, Cancelled, Closed-out, Outstanding, Work In Progress",,
"text","2d8e2d58-e542-5428-ae49-7a8a141bcb37","","textbox","Lot opened date:",,,
"text","4964beea-efd9-5d31-9b96-e1663a52988f","","textbox","Lot opened by:",,,
"text","751baec0-5312-59cb-948c-5d82457e4b3a","","textbox","Date lot closed:",,,
"button","0942d1ce-a0cc-5e02-8175-b9957420342e","","button","NCR raised?","Yes, No",,
"text","af430739-b5f4-5314-aaaa-161f8fcf2527","","textbox","NCR Raised Date:",,,
"button","1cc4689d-4350-5f1c-8aae-a92711446188","","button","NCR closed?","Yes, No",,
"text","3ed1e243-cd4e-592b-9300-ad320ac13f30","","textbox","NCR Closed Date:",,,
"text","3cd398a8-3ca7-5af1-9726-1837dcd26390","","textbox","NCR Number:",,,
"text","ac9f0e33-c8bf-511e-a9fe-21141b03d141","","textbox","Comments",,,
"holdpoint",,"","signoff","AUTHORITY HOLDPOINT"
"checkpoint-group",,"","section","1.0 Preliminaries"
"checkpoint-status",,"","checkpoint","1.1 - Determine Lot Size"
"label","fd6970a7-2806-5363-a690-1ef9801eacde","","note","Ref docs - AS3500",,,
"label","dfb95725-d98a-5953-bd2e-f906677235c2","","note","Acceptance criteria -",,,
"text","9c78cf3e-d527-5eb1-a3ad-884bcaba6a25","","textbox","Pipe / lot length:",,,
"button","ac109432-f2d5-57e4-a28c-7f810e67ead1","","button","Acceptance","Yes,No,N/A",,
"label","62673b66-a52f-575b-b40f-ecb60f982440","","note","See Work Lot Map",,,
"label","5eed4e49-2b92-54d5-adc9-6ce181483447","","note","Resp - SE",,,
"label","5e41677f-2789-577c-b67e-7a0298ae39be","","note","Remarks / record (eg. test frequency, reports, certificates, checklist etc) -",,,
"boolean","83e8020e-9713-5eb5-a4dd-0727153b2973","","tickbox","Work Lot Map",,,
"checkpoint-status",,"","checkpoint","1.2 - Survey Set-out"
"label","5ada8f38-23a4-5464-99f4-b45c0042d4c1","","note","Ref docs - IFC Drawings",,,
"label","2def0bcc-7427-52a6-a0f4-1b37eee7f84b","","note","Acceptance criteria - Prior to excavations being carried out, the contractor shall engage a suitably qualified surveyor to set out all fire lines including hydrants and risers.",,,
"button","c18132ec-faae-5580-a01e-8ea16809fc6c","","button","Acceptance","Yes,No,N/A",,
"label","e370f665-f5a1-5e7b-9ffa-1874a410622e","","note","Key - W",,,
"label","fd6d3171-e549-5d42-8006-d14ebe1d83fd","","note","Resp - SE",,,
"checkpoint-status",,"","checkpoint","1.3 - Approved Material Type"
"label","4728cf02-6dfe-57a6-8017-9bf3b58e6406","","note","Ref docs - IFC Drawings AS3500",,,
"label","7b745eaf-1b45-599f-aeda-a2b78b06238e","","note","Acceptance criteria - All materials selected in accordance with AS4130 and RJE civil specification and drawings.",,,
"button","a4b1c1dd-2f51-5ded-a641-56d9969fef1a","","button","Acceptance","Yes,No,N/A",,
"label","0657f73c-3283-593c-9899-06bf88b8606a","","note","Key - H",,,
"label","f03ab2d7-53a9-51c5-82f9-34e705a29ed0","","note","Resp - SE",,,
"checkpoint-group",,"","section","2.0 In Process Works"
"checkpoint-status",,"","checkpoint","2.1 - Excavation"
"label","b5907fa2-a94f-5dae-9056-988acaf58abb","","note","Ref docs - IFC Drawings AS3500, Excavation permit",,,
"label","8a6a9761-34c8-59e8-a736-d178990b07cb","","note","Acceptance criteria - All excavations subject to inspection prior to the installation of services and throughout the duration of the excavation.",,,
"label","e6471d14-00e4-568d-aa64-fd46e0c64e1d","","note","○ Excavate to the lines, levels and grades as required for in ground services specified in accordance with the requirements of AS 3500.",,,
"button","e31c736d-804f-5ce5-a7db-ee33ffd79b01","","button","Acceptance","Yes,No,N/A",,
"label","dc8daeee-820d-5e33-a017-7ed495d970b1","","note","Key - S",,,
"label","589b2a74-fea2-583a-b4b4-a317ff133d34","","note","Resp - SE",,,
"checkpoint-status",,"","checkpoint","2.2 - Removal of Obstructions"
"label","e6b95414-3a7c-5c12-bd3a-478087fff4c3","","note","Ref docs - IFC Drawings and specifications",,,
"label","c2ae272c-5296-5d63-a835-b68d55bc71fe","","note","Acceptance criteria - Remove obstructions including roots, stumps, boulders, and the like which may, in the opinion of Symal, interfere with the proper functioning of the service.",,,
"button","ca62dce9-ea90-5609-8633-e3fbc03eae10","","button","Acceptance","Yes,No,N/A",,
"label","532b1d69-6f4e-599d-b395-e9d77246fe11","","note","Key - S",,,
"label","6ee8fcc5-b888-5f0f-b76c-f74ac4936cac","","note","Resp - SE",,,
"checkpoint-status",,"","checkpoint","2.3 - Bedding"
"label","91c6be5b-2dd1-5653-83bf-2d0ff9e8ae94","","note","Ref docs - IFC Drawings and specifications",,,
"label","796da4ed-ffd8-51f8-b77d-e6bffeb5795d","","note","Acceptance criteria - Pipes should be bedded and supported by class 3 quarry material with a minimum thickness of 75mm.",,,
"label","34bd2350-6d19-50ca-9a9f-a5784c77136c","","note","○ 5-10mm crushed rock or sand shall be used as the haunching material.",,,
